record_date,transaction_today_amt
2016-01-04,7
2016-01-05,1
2016-01-06,1
2016-01-07,2
2016-01-08,1
2016-01-11,1
2016-01-12,2
2016-01-13,1
2016-01-14,1
2016-01-15,1
2016-01-19,1
2016-01-20,2
2016-01-21,1
2016-01-22,18
2016-01-25,2
2016-01-26,2
2016-01-27,2
2016-01-28,10
2016-01-29,202
2016-02-01,1
2016-02-02,1
2016-02-03,1
2016-02-04,1
2016-02-05,1
2016-02-08,1
2016-02-09,1
2016-02-10,1
2016-02-11,1
2016-02-12,1
2016-02-16,1
2016-02-17,1
2016-02-18,1
2016-02-19,2
2016-02-22,7
2016-02-23,2
2016-02-24,3
2016-02-25,8
2016-02-26,97
2016-02-29,210
2016-03-01,9
2016-03-02,1
2016-03-03,1
2016-03-04,1
2016-03-07,1
2016-03-08,1
2016-03-09,1
2016-03-10,1
2016-03-11,1
2016-03-14,1
2016-03-15,1
2016-03-16,1
2016-03-17,1
2016-03-18,1
2016-03-21,3
2016-03-22,2
2016-03-23,2
2016-03-24,8
2016-03-25,30
2016-03-28,5
2016-03-29,2
2016-03-30,15
2016-03-31,260
2016-04-01,1
2016-04-04,1
2016-04-05,1
2016-04-06,1
2016-04-07,1
2016-04-08,1
2016-04-11,1
2016-04-12,1
2016-04-13,1
2016-04-14,1
2016-04-15,3
2016-04-18,1
2016-04-19,1
2016-04-20,4
2016-04-21,1
2016-04-22,18
2016-04-25,2
2016-04-26,2
2016-04-27,4
2016-04-28,21
2016-04-29,285
2016-05-02,6
2016-05-03,7
2016-05-04,1
2016-05-05,1
2016-05-06,1
2016-05-09,1
2016-05-10,1
2016-05-11,1
2016-05-12,1
2016-05-13,1
2016-05-16,1
2016-05-17,1
2016-05-18,1
2016-05-19,3
2016-05-20,1
2016-05-23,2
2016-05-24,4
2016-05-25,6
2016-05-26,17
2016-05-27,21
2016-05-31,275
2016-06-01,3
2016-06-02,1
2016-06-03,1
2016-06-06,1
2016-06-07,1
2016-06-08,1
2016-06-09,1
2016-06-10,1
2016-06-13,1
2016-06-14,1
2016-06-15,1
2016-06-16,1
2016-06-17,1
2016-06-20,2
2016-06-21,1
2016-06-22,2
2016-06-23,3
2016-06-24,4
2016-06-27,2
2016-06-28,14
2016-06-29,13
2016-06-30,270
2016-07-01,17
2016-07-05,1
2016-07-06,1
2016-07-07,1
2016-07-08,1
2016-07-11,1
2016-07-12,1
2016-07-13,1
2016-07-14,1
2016-07-15,1
2016-07-18,2
2016-07-19,3
2016-07-20,2
2016-07-21,1
2016-07-22,3
2016-07-25,4
2016-07-26,3
2016-07-27,2
2016-07-28,24
2016-07-29,279
2016-08-01,5
2016-08-02,1
2016-08-03,1
2016-08-04,1
2016-08-05,1
2016-08-08,1
2016-08-09,1
2016-08-10,1
2016-08-11,1
2016-08-12,1
2016-08-15,1
2016-08-16,1
2016-08-17,1
2016-08-18,2
2016-08-19,2
2016-08-22,2
2016-08-23,2
2016-08-24,1
2016-08-25,4
2016-08-26,17
2016-08-29,11
2016-08-30,19
2016-08-31,250
2016-09-01,8
2016-09-02,1
2016-09-06,1
2016-09-07,2
2016-09-08,1
2016-09-09,1
2016-09-12,1
2016-09-13,1
2016-09-14,1
2016-09-15,1
2016-09-16,1
2016-09-19,1
2016-09-20,2
2016-09-21,2
2016-09-22,1
2016-09-23,4
2016-09-26,2
2016-09-27,6
2016-09-28,8
2016-09-29,14
2016-09-30,289
2016-10-03,1
2016-10-04,1
2016-10-05,1
2016-10-06,1
2016-10-07,1
2016-10-11,1
2016-10-12,1
2016-10-13,1
2016-10-14,1
2016-10-17,1
2016-10-18,1
2016-10-19,1
2016-10-20,1
2016-10-21,2
2016-10-24,3
2016-10-25,3
2016-10-26,3
2016-10-27,7
2016-10-28,31
2016-10-31,266
2016-11-01,1
2016-11-02,1
2016-11-03,1
2016-11-04,0
2016-11-07,1
2016-11-08,1
2016-11-09,1
2016-11-10,1
2016-11-14,1
2016-11-15,2
2016-11-16,1
2016-11-17,1
2016-11-18,2
2016-11-21,1
2016-11-22,1
2016-11-23,4
2016-11-25,2
2016-11-28,7
2016-11-29,35
2016-11-30,262
2016-12-01,1
2016-12-02,1
2016-12-05,1
2016-12-06,1
2016-12-07,1
2016-12-08,1
2016-12-09,1
2016-12-12,1
2016-12-13,1
2016-12-14,1
2016-12-15,2
2016-12-16,17
2016-12-19,1
2016-12-20,1
2016-12-21,1
2016-12-22,5
2016-12-23,5
2016-12-27,1
2016-12-28,8
2016-12-29,12
2016-12-30,234
2017-01-03,4
2017-01-04,1
2017-01-05,1
2017-01-06,1
2017-01-09,1
2017-01-10,1
2017-01-11,1
2017-01-12,1
2017-01-13,1
2017-01-17,1
2017-01-18,1
2017-01-19,1
2017-01-20,1
2017-01-23,2
2017-01-24,3
2017-01-25,2
2017-01-26,2
2017-01-27,24
2017-01-30,14
2017-01-31,192
2017-02-01,7
2017-02-02,1
2017-02-03,1
2017-02-06,1
2017-02-07,3
2017-02-08,1
2017-02-09,1
2017-02-10,1
2017-02-13,1
2017-02-14,1
2017-02-15,1
2017-02-16,6
2017-02-17,1
2017-02-21,1
2017-02-22,5
2017-02-23,4
2017-02-24,32
2017-02-27,14
2017-02-28,310
2017-03-01,1
2017-03-02,1
2017-03-03,1
2017-03-06,1
2017-03-07,1
2017-03-08,1
2017-03-09,1
2017-03-10,1
2017-03-13,1
2017-03-14,1
2017-03-15,1
2017-03-16,4
2017-03-17,1
2017-03-20,2
2017-03-21,3
2017-03-22,2
2017-03-23,1
2017-03-24,17
2017-03-27,1
2017-03-28,12
2017-03-29,3
2017-03-30,4
2017-03-31,282
2017-04-03,1
2017-04-04,1
2017-04-05,1
2017-04-06,1
2017-04-07,1
2017-04-10,1
2017-04-11,1
2017-04-12,1
2017-04-13,1
2017-04-14,1
2017-04-17,1
2017-04-18,1
2017-04-19,1
2017-04-20,2
2017-04-21,22
2017-04-24,2
2017-04-25,7
2017-04-26,2
2017-04-27,18
2017-04-28,316
2017-05-01,2
2017-05-02,1
2017-05-03,1
2017-05-04,1
2017-05-05,1
2017-05-08,1
2017-05-09,1
2017-05-10,1
2017-05-11,1
2017-05-12,1
2017-05-15,1
2017-05-16,1
2017-05-17,1
2017-05-18,1
2017-05-19,1
2017-05-22,2
2017-05-23,7
2017-05-24,2
2017-05-25,2
2017-05-26,20
2017-05-30,24
2017-05-31,266
2017-06-01,9
2017-06-02,1
2017-06-05,1
2017-06-06,1
2017-06-07,1
2017-06-08,1
2017-06-09,1
2017-06-12,2
2017-06-13,1
2017-06-14,1
2017-06-15,1
2017-06-16,1
2017-06-19,2
2017-06-20,1
2017-06-21,1
2017-06-22,1
2017-06-23,7
2017-06-26,3
2017-06-27,1
2017-06-28,9
2017-06-29,18
2017-06-30,300
2017-07-03,1
2017-07-05,1
2017-07-06,1
2017-07-07,1
2017-07-10,1
2017-07-11,1
2017-07-12,1
2017-07-13,1
2017-07-14,1
2017-07-17,1
2017-07-18,1
2017-07-19,1
2017-07-20,5
2017-07-21,2
2017-07-24,3
2017-07-25,5
2017-07-26,1
2017-07-27,4
2017-07-28,37
2017-07-31,267
2017-08-01,11
2017-08-02,1
2017-08-03,1
2017-08-04,0
2017-08-07,1
2017-08-08,1
2017-08-09,1
2017-08-10,1
2017-08-11,1
2017-08-14,1
2017-08-15,2
2017-08-16,1
2017-08-17,2
2017-08-18,18
2017-08-21,1
2017-08-22,2
2017-08-23,1
2017-08-24,7
2017-08-25,1
2017-08-28,9
2017-08-29,2
2017-08-30,17
2017-08-31,266
2017-09-01,1
2017-09-05,1
2017-09-06,9
2017-09-07,1
2017-09-08,1
2017-09-11,1
2017-09-12,1
2017-09-13,0
