record_date,transaction_today_amt
2016-01-04,74
2016-01-04,66
2016-01-05,1
2016-01-05,69
2016-01-06,1
2016-01-06,158
2016-01-07,1
2016-01-07,109
2016-01-08,102
2016-01-08,4
2016-01-11,4
2016-01-11,83
2016-01-12,3
2016-01-12,40
2016-01-13,2
2016-01-13,75
2016-01-14,87
2016-01-14,3
2016-01-15,60
2016-01-15,8
2016-01-19,11
2016-01-19,71
2016-01-20,2
2016-01-20,82
2016-01-21,12
2016-01-21,36
2016-01-22,6
2016-01-22,67
2016-01-25,46
2016-01-25,2
2016-01-26,2
2016-01-26,40
2016-01-27,1
2016-01-27,35
2016-01-28,2
2016-01-28,42
2016-01-29,10
2016-01-29,8
2016-02-01,1
2016-02-01,46
2016-02-02,3
2016-02-02,61
2016-02-03,2
2016-02-03,47
2016-02-04,1
2016-02-04,36
2016-02-05,8
2016-02-05,33
2016-02-08,4
2016-02-08,75
2016-02-09,4
2016-02-09,40
2016-02-10,4
2016-02-10,25
2016-02-11,37
2016-02-11,6
2016-02-12,13
2016-02-12,34
2016-02-16,3
2016-02-16,30
2016-02-17,7
2016-02-17,37
2016-02-18,22
2016-02-18,1
2016-02-19,30
2016-02-19,13
2016-02-22,6
2016-02-22,38
2016-02-23,8
2016-02-23,37
2016-02-24,3
2016-02-24,25
2016-02-25,4
2016-02-25,40
2016-02-26,55
2016-02-26,17
2016-02-29,4
2016-02-29,36
2016-03-01,2
2016-03-01,39
2016-03-02,1
2016-03-02,17
2016-03-03,46
2016-03-03,4
2016-03-04,14
2016-03-04,25
2016-03-07,9
2016-03-07,22
2016-03-08,2
2016-03-08,44
2016-03-09,61
2016-03-09,20
2016-03-10,16
2016-03-10,45
2016-03-11,74
2016-03-11,21
2016-03-14,4
2016-03-14,26
2016-03-15,8
2016-03-15,79
2016-03-16,8
2016-03-16,8
2016-03-17,24
2016-03-17,49
2016-03-18,167
2016-03-18,24
2016-03-21,2
2016-03-21,27
2016-03-22,8
2016-03-22,41
2016-03-23,13
2016-03-23,3
2016-03-24,24
2016-03-24,2
2016-03-25,1
2016-03-25,23
2016-03-28,4
2016-03-28,14
2016-03-29,1
2016-03-29,23
2016-03-30,10
2016-03-30,8
2016-03-31,4
2016-03-31,20
2016-04-01,12
2016-04-01,36
2016-04-04,7
2016-04-04,12
2016-04-05,5
2016-04-05,33
2016-04-06,34
2016-04-06,3
2016-04-07,22
2016-04-07,15
2016-04-08,75
2016-04-08,20
2016-04-11,5
2016-04-11,37
2016-04-12,62
2016-04-12,18
2016-04-13,39
2016-04-13,7
2016-04-14,42
2016-04-14,13
2016-04-15,257
2016-04-15,21
2016-04-18,7
2016-04-18,12
2016-04-19,17
2016-04-19,31
2016-04-20,13
2016-04-20,11
2016-04-21,20
2016-04-21,8
2016-04-22,22
2016-04-22,8
2016-04-25,4
2016-04-25,15
2016-04-26,2
2016-04-26,20
2016-04-27,7
2016-04-27,3
2016-04-28,4
2016-04-28,12
2016-04-29,7
2016-04-29,21
2016-05-02,5
2016-05-02,21
2016-05-03,8
2016-05-03,13
2016-05-04,10
2016-05-04,16
2016-05-05,1
2016-05-05,18
2016-05-06,1
2016-05-06,6
2016-05-09,8
2016-05-09,15
2016-05-10,36
2016-05-10,4
2016-05-11,8
2016-05-11,5
2016-05-12,3
2016-05-12,20
2016-05-13,3
2016-05-13,10
2016-05-16,7
2016-05-16,11
2016-05-17,19
2016-05-17,11
2016-05-18,5
2016-05-18,3
2016-05-19,13
2016-05-19,9
2016-05-20,7
2016-05-20,16
2016-05-23,3
2016-05-23,15
2016-05-24,15
2016-05-24,17
2016-05-25,4
2016-05-25,4
2016-05-26,44
2016-05-26,15
2016-05-27,44
2016-05-27,10
2016-05-31,20
2016-05-31,9
2016-06-01,18
2016-06-01,18
2016-06-02,6
2016-06-02,5
2016-06-03,11
2016-06-03,10
2016-06-06,2
2016-06-06,10
2016-06-07,5
2016-06-07,22
2016-06-08,12
2016-06-08,4
2016-06-09,16
2016-06-09,14
2016-06-10,4
2016-06-10,10
2016-06-13,5
2016-06-13,8
2016-06-14,8
2016-06-14,25
2016-06-15,40
2016-06-15,7
2016-06-16,16
2016-06-16,11
2016-06-17,6
2016-06-17,13
2016-06-20,4
2016-06-20,13
2016-06-21,20
2016-06-21,26
2016-06-22,23
2016-06-22,3
2016-06-23,4
2016-06-23,11
2016-06-24,14
2016-06-24,17
2016-06-27,3
2016-06-27,11
2016-06-28,12
2016-06-28,17
2016-06-29,8
2016-06-29,28
2016-06-30,10
2016-06-30,10
2016-07-01,71
2016-07-01,15
2016-07-05,4
2016-07-05,62
2016-07-06,3
2016-07-06,47
2016-07-07,23
2016-07-07,15
2016-07-08,1
2016-07-08,33
2016-07-11,7
2016-07-11,47
2016-07-12,6
2016-07-12,60
2016-07-13,20
2016-07-13,25
2016-07-14,53
2016-07-14,33
2016-07-15,12
2016-07-15,26
2016-07-18,18
2016-07-18,19
2016-07-19,24
2016-07-19,57
2016-07-20,23
2016-07-20,25
2016-07-21,15
2016-07-21,21
2016-07-22,7
2016-07-22,28
2016-07-25,6
2016-07-25,39
2016-07-26,29
2016-07-26,4
2016-07-27,7
2016-07-27,11
2016-07-28,24
2016-07-28,32
2016-07-29,9
2016-07-29,28
2016-08-01,11
2016-08-01,9
2016-08-02,23
2016-08-02,8
2016-08-03,5
2016-08-03,11
2016-08-04,7
2016-08-04,34
2016-08-05,1
2016-08-05,28
2016-08-08,7
2016-08-08,87
2016-08-09,24
2016-08-09,23
2016-08-10,11
2016-08-10,20
2016-08-11,3
2016-08-11,18
2016-08-12,4
2016-08-12,15
2016-08-15,6
2016-08-15,22
2016-08-16,9
2016-08-16,21
2016-08-17,9
2016-08-17,17
2016-08-18,13
2016-08-18,22
2016-08-19,10
2016-08-19,21
2016-08-22,3
2016-08-22,19
2016-08-23,15
2016-08-23,32
2016-08-24,14
2016-08-24,3
2016-08-25,21
2016-08-25,34
2016-08-26,7
2016-08-26,28
2016-08-29,27
2016-08-29,18
2016-08-30,34
2016-08-30,8
2016-08-31,23
2016-08-31,50
2016-09-01,2
2016-09-01,17
2016-09-02,12
2016-09-02,51
2016-09-06,16
2016-09-06,34
2016-09-07,36
2016-09-07,12
2016-09-08,47
2016-09-08,20
2016-09-09,23
2016-09-09,31
2016-09-12,14
2016-09-12,30
2016-09-13,19
2016-09-13,55
2016-09-14,6
2016-09-14,18
2016-09-15,33
2016-09-15,25
2016-09-16,4
2016-09-16,30
2016-09-19,6
2016-09-19,20
2016-09-20,14
2016-09-20,61
2016-09-21,19
2016-09-21,14
2016-09-22,65
2016-09-22,16
2016-09-23,6
2016-09-23,37
2016-09-26,3
2016-09-26,27
2016-09-27,52
2016-09-27,27
2016-09-28,20
2016-09-28,17
2016-09-29,38
2016-09-29,14
2016-09-30,122
2016-09-30,42
2016-10-03,10
2016-10-03,36
2016-10-04,3
2016-10-04,55
2016-10-05,167
2016-10-05,4
2016-10-06,2
2016-10-06,156
2016-10-07,6
2016-10-07,1665
2016-10-11,7
2016-10-11,2545
2016-10-12,3
2016-10-12,1089
2016-10-13,5
2016-10-13,433
2016-10-14,10
2016-10-14,276
2016-10-17,3
2016-10-17,233
2016-10-18,9
2016-10-18,459
2016-10-19,400
2016-10-19,2
2016-10-20,6
2016-10-20,261
2016-10-21,11
2016-10-21,235
2016-10-24,4
2016-10-24,181
2016-10-25,130
2016-10-25,4
2016-10-26,86
2016-10-26,10
2016-10-27,14
2016-10-27,92
2016-10-28,17
2016-10-28,144
2016-10-31,1
2016-10-31,116
2016-11-01,6
2016-11-01,120
2016-11-02,75
2016-11-02,8
2016-11-03,25
2016-11-03,316
2016-11-04,27
2016-11-04,187
2016-11-07,8
2016-11-07,123
2016-11-08,148
2016-11-08,10
2016-11-09,5
2016-11-09,83
2016-11-10,12
2016-11-10,149
2016-11-14,30
2016-11-14,158
2016-11-15,114
2016-11-15,13
2016-11-16,123
2016-11-16,9
2016-11-17,15
2016-11-17,92
2016-11-18,18
2016-11-18,131
2016-11-21,19
2016-11-21,150
2016-11-22,10
2016-11-22,163
2016-11-23,12
2016-11-23,107
2016-11-25,26
2016-11-25,131
2016-11-28,9
2016-11-28,153
2016-11-29,13
2016-11-29,73
2016-11-30,86
2016-11-30,32
2016-12-01,115
2016-12-01,34
2016-12-02,30
2016-12-02,118
2016-12-05,6
2016-12-05,179
2016-12-06,12
2016-12-06,150
2016-12-07,20
2016-12-07,118
2016-12-08,159
2016-12-08,28
2016-12-09,37
2016-12-09,93
2016-12-12,13
2016-12-12,122
2016-12-13,22
2016-12-13,107
2016-12-14,78
2016-12-14,23
2016-12-15,85
2016-12-15,22
2016-12-16,25
2016-12-16,89
2016-12-19,10
2016-12-19,97
2016-12-20,14
2016-12-20,112
2016-12-21,10
2016-12-21,47
2016-12-22,55
2016-12-22,19
2016-12-23,29
2016-12-23,191
2016-12-27,8
2016-12-27,176
2016-12-28,18
2016-12-28,114
2016-12-29,51
2016-12-29,15
2016-12-30,26
2016-12-30,126
2017-01-03,75
2017-01-03,52
2017-01-04,19
2017-01-04,64
2017-01-05,18
2017-01-05,117
2017-01-06,51
2017-01-06,116
2017-01-09,14
2017-01-09,87
2017-01-10,11
2017-01-10,87
2017-01-11,28
2017-01-11,51
2017-01-12,90
2017-01-12,23
2017-01-13,31
2017-01-13,56
2017-01-17,19
2017-01-17,73
2017-01-18,22
2017-01-18,70
2017-01-19,63
2017-01-19,22
2017-01-20,64
2017-01-20,30
2017-01-23,11
2017-01-23,42
2017-01-24,21
2017-01-24,76
2017-01-25,9
2017-01-25,30
2017-01-26,9
2017-01-26,26
2017-01-27,90
2017-01-27,36
2017-01-30,20
2017-01-30,36
2017-01-31,15
2017-01-31,43
2017-02-01,24
2017-02-01,31
2017-02-02,48
2017-02-02,17
2017-02-03,29
2017-02-03,54
2017-02-06,8
2017-02-06,40
2017-02-07,18
2017-02-07,82
2017-02-08,9
2017-02-08,21
2017-02-09,52
2017-02-09,28
2017-02-10,24
2017-02-10,41
2017-02-13,12
2017-02-13,36
2017-02-14,9
2017-02-14,36
2017-02-15,17
2017-02-15,14
2017-02-16,25
2017-02-16,12
2017-02-17,41
2017-02-17,22
2017-02-21,15
2017-02-21,51
2017-02-22,14
2017-02-22,38
2017-02-23,11
2017-02-23,12
2017-02-24,33
2017-02-24,41
2017-02-27,9
2017-02-27,41
2017-02-28,14
2017-02-28,26
2017-03-01,18
2017-03-01,14
2017-03-02,26
2017-03-02,37
2017-03-03,28
2017-03-03,29
2017-03-06,11
2017-03-06,33
2017-03-07,14
2017-03-07,41
2017-03-08,19
2017-03-08,10
2017-03-09,58
2017-03-09,8
2017-03-10,30
2017-03-10,26
2017-03-13,9
2017-03-13,23
2017-03-14,32
2017-03-14,34
2017-03-15,6
2017-03-15,9
2017-03-16,19
2017-03-16,24
2017-03-17,37
2017-03-17,31
2017-03-20,8
2017-03-20,20
2017-03-21,13
2017-03-21,50
2017-03-22,7
2017-03-22,8
2017-03-23,30
2017-03-23,13
2017-03-24,28
2017-03-24,60
2017-03-27,15
2017-03-27,69
2017-03-28,12
2017-03-28,24
2017-03-29,26
2017-03-29,5
2017-03-30,51
2017-03-30,24
2017-03-31,28
2017-03-31,22
2017-04-03,16
2017-04-03,15
2017-04-04,19
2017-04-04,43
2017-04-05,27
2017-04-05,23
2017-04-06,13
2017-04-06,12
2017-04-07,37
2017-04-07,20
2017-04-10,10
2017-04-10,14
2017-04-11,20
2017-04-11,13
2017-04-12,9
2017-04-12,25
2017-04-13,16
2017-04-13,62
2017-04-14,12
2017-04-14,17
2017-04-17,10
2017-04-17,19
2017-04-18,19
2017-04-18,20
2017-04-19,11
2017-04-19,22
2017-04-20,11
2017-04-20,22
2017-04-21,34
2017-04-21,21
2017-04-24,11
2017-04-24,19
2017-04-25,30
2017-04-25,21
2017-04-26,46
2017-04-26,5
2017-04-27,30
2017-04-27,13
2017-04-28,32
2017-04-28,21
2017-05-01,10
2017-05-01,14
2017-05-02,22
2017-05-02,6
2017-05-03,27
2017-05-03,10
2017-05-04,9
2017-05-04,21
2017-05-05,30
2017-05-05,16
2017-05-08,11
2017-05-08,12
2017-05-09,8
2017-05-09,16
2017-05-10,13
2017-05-10,4
2017-05-11,17
2017-05-11,9
2017-05-12,31
2017-05-12,8
2017-05-15,38
2017-05-15,14
2017-05-16,14
2017-05-16,11
2017-05-17,19
2017-05-17,3
2017-05-18,10
2017-05-18,8
2017-05-19,23
2017-05-19,16
2017-05-22,15
2017-05-22,15
2017-05-23,12
2017-05-23,10
2017-05-24,16
2017-05-24,5
2017-05-25,15
2017-05-25,22
2017-05-26,17
2017-05-26,9
2017-05-30,20
2017-05-30,20
2017-05-31,9
2017-05-31,50
2017-06-01,5
2017-06-01,3
2017-06-02,28
2017-06-02,14
2017-06-05,12
2017-06-05,48
2017-06-06,30
2017-06-06,16
2017-06-07,4
2017-06-07,6
2017-06-08,6
2017-06-08,9
2017-06-09,23
2017-06-09,7
2017-06-12,7
2017-06-12,21
2017-06-13,17
2017-06-13,11
2017-06-14,5
2017-06-14,4
2017-06-15,19
2017-06-15,8
2017-06-16,31
2017-06-16,32
2017-06-19,20
2017-06-19,19
2017-06-20,11
2017-06-20,14
2017-06-21,32
2017-06-21,3
2017-06-22,10
2017-06-22,22
2017-06-23,11
2017-06-23,19
2017-06-26,15
2017-06-26,12
2017-06-27,13
2017-06-27,30
2017-06-28,13
2017-06-28,6
2017-06-29,47
2017-06-29,9
2017-06-30,25
2017-06-30,11
2017-07-03,16
2017-07-03,70
2017-07-05,11
2017-07-05,13
2017-07-06,8
2017-07-06,9
2017-07-07,15
2017-07-07,12
2017-07-10,4
2017-07-10,21
2017-07-11,10
2017-07-11,12
2017-07-12,19
2017-07-12,4
2017-07-13,7
2017-07-13,10
2017-07-14,10
2017-07-14,10
2017-07-17,21
2017-07-17,10
2017-07-18,13
2017-07-18,11
2017-07-19,13
2017-07-19,6
2017-07-20,17
2017-07-20,88
2017-07-21,11
2017-07-21,12
2017-07-24,11
2017-07-24,10
2017-07-25,30
2017-07-25,16
2017-07-26,6
2017-07-26,6
2017-07-27,24
2017-07-27,45
2017-07-28,27
2017-07-28,42
2017-07-31,8
2017-07-31,2
2017-08-01,9
2017-08-01,16
2017-08-02,2
2017-08-02,7
2017-08-03,7
2017-08-03,25
2017-08-04,11
2017-08-04,9
2017-08-07,11
2017-08-07,12
2017-08-08,8
2017-08-08,35
2017-08-09,7
2017-08-09,7
2017-08-10,12
2017-08-10,12
2017-08-11,7
2017-08-11,16
2017-08-14,16
2017-08-14,7
2017-08-15,22
2017-08-15,33
2017-08-16,22
2017-08-16,23
2017-08-17,26
2017-08-17,30
2017-08-18,15
2017-08-18,7
2017-08-21,15
2017-08-21,29
2017-08-22,17
2017-08-22,26
2017-08-23,3
2017-08-23,5
2017-08-24,15
2017-08-24,27
2017-08-25,5
2017-08-25,22
2017-08-28,14
2017-08-28,22
2017-08-29,30
2017-08-29,18
2017-08-30,32
2017-08-30,14
2017-08-31,6
2017-08-31,26
2017-09-01,19
2017-09-01,4
2017-09-05,4
2017-09-05,22
2017-09-06,18
2017-09-06,19
2017-09-07,3
2017-09-07,18
2017-09-08,10
2017-09-08,14
2017-09-11,20
2017-09-11,11
2017-09-12,8
2017-09-12,47
2017-09-13,7
2017-09-13,12
2017-09-14,19
2017-09-14,23
2017-09-15,20
2017-09-15,5
2017-09-18,21
2017-09-18,3
2017-09-19,18
2017-09-19,40
2017-09-20,2
2017-09-20,20
2017-09-21,8
2017-09-21,38
2017-09-22,7
2017-09-22,30
2017-09-25,25
2017-09-25,19
2017-09-26,20
2017-09-26,41
2017-09-27,4
2017-09-27,14
2017-09-28,71
2017-09-28,43
2017-09-29,29
2017-09-29,16
2017-10-02,6
2017-10-02,23
2017-10-03,2
2017-10-03,61
2017-10-04,3
2017-10-04,167
2017-10-05,3
2017-10-05,164
2017-10-06,1
2017-10-06,61
2017-10-10,5
2017-10-10,2333
2017-10-11,5
2017-10-11,1817
2017-10-12,3
2017-10-12,303
2017-10-13,255
2017-10-13,3
2017-10-16,1
2017-10-16,515
2017-10-17,4
2017-10-17,609
2017-10-18,6
2017-10-18,228
2017-10-19,278
2017-10-19,4
2017-10-20,189
2017-10-20,4
2017-10-23,4
2017-10-23,104
2017-10-24,4
2017-10-24,129
2017-10-25,4
2017-10-25,91
2017-10-26,5
2017-10-26,96
2017-10-27,20
2017-10-27,149
2017-10-30,85
2017-10-30,8
2017-10-31,4
2017-10-31,111
2017-11-01,6
2017-11-01,75
2017-11-02,7
2017-11-02,286
2017-11-03,220
2017-11-03,28
2017-11-06,15
2017-11-06,193
2017-11-07,8
2017-11-07,91
2017-11-08,5
2017-11-08,99
2017-11-09,4
2017-11-09,133
2017-11-10,27
2017-11-10,24
2017-11-13,21
2017-11-13,131
2017-11-14,10
2017-11-14,119
2017-11-15,6
2017-11-15,109
2017-11-16,161
2017-11-16,6
2017-11-17,122
2017-11-17,31
2017-11-20,16
2017-11-20,155
2017-11-21,7
2017-11-21,138
2017-11-22,16
2017-11-22,125
2017-11-24,144
2017-11-24,23
2017-11-27,152
2017-11-27,14
2017-11-28,18
2017-11-28,79
2017-11-29,16
2017-11-29,102
2017-11-30,45
2017-11-30,130
2017-12-01,35
2017-12-01,145
2017-12-04,129
2017-12-04,24
2017-12-05,16
2017-12-05,208
2017-12-06,13
2017-12-06,131
2017-12-07,26
2017-12-07,231
2017-12-08,116
2017-12-08,50
2017-12-11,149
2017-12-11,10
2017-12-12,10
2017-12-12,134
2017-12-13,23
2017-12-13,93
2017-12-14,12
2017-12-14,165
2017-12-15,49
2017-12-15,116
2017-12-18,132
2017-12-18,18
2017-12-19,16
2017-12-19,123
2017-12-20,22
2017-12-20,119
2017-12-21,26
2017-12-21,187
2017-12-22,105
2017-12-22,32
2017-12-26,5
2017-12-26,126
2017-12-27,11
2017-12-27,108
2017-12-28,23
2017-12-28,74
2017-12-29,39
2017-12-29,107
2018-01-02,75
2018-01-02,52
2018-01-03,17
2018-01-03,83
2018-01-04,24
2018-01-04,125
2018-01-05,33
2018-01-05,138
2018-01-08,96
2018-01-08,33
2018-01-09,20
2018-01-09,104
2018-01-10,16
2018-01-10,53
2018-01-11,6
2018-01-11,80
2018-01-12,91
2018-01-12,28
2018-01-16,68
2018-01-16,15
2018-01-17,35
2018-01-17,48
2018-01-18,53
2018-01-18,81
2018-01-19,39
2018-01-19,60
2018-01-22,33
2018-01-22,46
2018-01-23,73
2018-01-23,44
2018-01-24,9
2018-01-24,32
2018-01-25,30
2018-01-25,37
