record_date,transaction_today_amt
2022-10-03,1
2022-10-04,4
2022-10-05,1
2022-10-06,1
2022-10-07,2
2022-10-11,1
2022-10-12,1
2022-10-13,3
2022-10-14,5
2022-10-17,0
2022-10-18,0
2022-10-19,1
2022-10-20,1
2022-10-21,2
2022-10-24,1
2022-10-25,0
2022-10-26,12
2022-10-27,1
2022-10-28,2
2022-10-31,0
2022-11-01,2
2022-11-02,3
2022-11-03,0
2022-11-04,6
2022-11-07,1
2022-11-08,2
2022-11-09,0
2022-11-10,1
2022-11-14,3
2022-11-15,4
2022-11-16,1
2022-11-17,1
2022-11-18,1
2022-11-21,2
2022-11-22,4
2022-11-23,1
2022-11-25,2
2022-11-28,0
2022-11-29,1
2022-11-30,1
2022-12-01,15
2022-12-02,0
2022-12-05,2
2022-12-06,1
2022-12-07,1
2022-12-08,1
2022-12-09,1
2022-12-12,4
2022-12-13,1
2022-12-14,1
2022-12-15,3
2022-12-16,1
2022-12-19,1
2022-12-20,1
2022-12-21,1
2022-12-22,1
2022-12-23,1
2022-12-27,2
2022-12-28,2
2022-12-29,3
2022-12-30,0
2023-01-03,0
2023-01-04,2
2023-01-05,1
2023-01-06,0
2023-01-09,1
2023-01-10,1
2023-01-11,0
2023-01-12,1
2023-01-13,1
2023-01-17,1
2023-01-18,1
2023-01-19,3
2023-01-20,5
2023-01-23,1
2023-01-24,1
2023-01-25,1
2023-01-26,1
2023-01-27,1
2023-01-30,3
2023-01-31,68
2023-02-01,2
2023-02-02,1
2023-02-03,0
2023-02-06,1
2023-02-07,0
2023-02-08,1
2023-02-09,1
2023-02-10,2
2023-02-13,5
2023-02-14,0
2023-02-15,1
2023-02-16,1
2023-02-17,11
2023-02-21,2
2023-02-22,1
2023-02-23,1
2023-02-24,1
2023-02-27,2
2023-02-28,0
2023-03-01,0
2023-03-02,2
2023-03-03,0
2023-03-06,1
2023-03-07,3
2023-03-08,3
2023-03-09,3
2023-03-10,3
2023-03-13,1
2023-03-14,1
2023-03-15,3
2023-03-16,2
2023-03-17,1
2023-03-20,2
2023-03-21,2
2023-03-22,5
2023-03-23,3
2023-03-24,13
2023-03-27,1
2023-03-28,1
2023-03-29,1
2023-03-30,1
2023-03-31,3
2023-04-03,2
2023-04-04,2
2023-04-05,0
2023-04-06,1
2023-04-07,2
2023-04-10,2
2023-04-11,2
2023-04-12,5
2023-04-13,0
2023-04-14,0
2023-04-17,1
2023-04-18,1
2023-04-19,0
2023-04-20,2
2023-04-21,3
2023-04-24,1
2023-04-25,0
2023-04-26,2
2023-04-27,2
2023-04-28,1
2023-05-01,4
2023-05-02,3
2023-05-03,0
2023-05-04,6
2023-05-05,1
2023-05-08,2
2023-05-09,1
2023-05-10,1
2023-05-11,0
2023-05-12,3
2023-05-15,1
2023-05-16,0
2023-05-17,1
2023-05-18,1
2023-05-19,7
2023-05-22,3
2023-05-23,2
2023-05-24,1
2023-05-25,14
2023-05-26,2
2023-05-30,0
2023-05-31,1
2023-06-01,2
2023-06-02,3
2023-06-05,1
2023-06-06,3
2023-06-07,0
2023-06-08,1
2023-06-09,7
2023-06-12,8
2023-06-13,2
2023-06-14,32
2023-06-15,9
2023-06-16,5
2023-06-20,1
2023-06-21,2
2023-06-22,2
2023-06-23,1
2023-06-26,1
2023-06-27,0
2023-06-28,1
2023-06-29,7
2023-06-30,4
2023-07-03,2
2023-07-05,4
2023-07-06,2
2023-07-07,0
2023-07-10,1
2023-07-11,2
2023-07-12,1
2023-07-13,0
2023-07-14,1
2023-07-17,1
2023-07-18,1
2023-07-19,1
2023-07-20,1
2023-07-21,1
2023-07-24,0
2023-07-25,2
2023-07-26,1
2023-07-27,8
2023-07-28,2
2023-07-31,4
