record_date,transaction_today_amt
2021-01-11,0
2021-01-12,2
2021-01-13,2
2021-01-14,14
2021-01-15,5
2021-01-19,4
2021-01-20,8
2021-01-21,14
2021-01-22,10
2021-01-25,33
2021-01-26,10
2021-01-27,18
2021-01-28,51
2021-01-29,254
2021-02-01,238
2021-02-02,15
2021-02-03,1
2021-02-04,1
2021-02-05,2
2021-02-08,2
2021-02-09,2
2021-02-10,6
2021-02-11,1
2021-02-12,6
2021-02-16,0
2021-02-17,1
2021-02-18,1
2021-02-19,3
2021-02-22,1
2021-02-23,3
2021-02-24,10
2021-02-25,47
2021-02-26,317
2021-03-01,290
2021-03-02,8
2021-03-03,3
2021-03-04,0
2021-03-05,1
2021-03-08,2
2021-03-09,1
2021-03-10,0
2021-03-11,0
2021-03-12,4
2021-03-15,1
2021-03-16,1
2021-03-17,1
2021-03-18,3
2021-03-19,4
2021-03-22,1
2021-03-23,21
2021-03-24,5
2021-03-25,10
2021-03-26,12
2021-03-29,12
2021-03-30,79
2021-03-31,573
2021-04-01,25
2021-04-02,21
2021-04-05,3
2021-04-06,1
2021-04-07,1
2021-04-08,3
2021-04-09,13
2021-04-12,1
2021-04-13,2
2021-04-14,2
2021-04-15,2
2021-04-16,3
2021-04-19,1
2021-04-20,3
2021-04-21,3
2021-04-22,18
2021-04-23,8
2021-04-26,3
2021-04-27,9
2021-04-28,31
2021-04-29,56
2021-04-30,644
2021-05-03,16
2021-05-04,3
2021-05-05,2
2021-05-06,3
2021-05-07,2
2021-05-10,0
2021-05-11,7
2021-05-12,1
2021-05-13,1
2021-05-14,2
2021-05-17,1
2021-05-18,3
2021-05-19,3
2021-05-20,3
2021-05-21,20
2021-05-24,10
2021-05-25,15
2021-05-26,41
2021-05-27,38
2021-05-28,346
2021-06-01,242
2021-06-02,7
2021-06-03,4
2021-06-04,2
2021-06-07,2
2021-06-08,4
2021-06-09,1
2021-06-10,1
2021-06-11,6
2021-06-14,3
2021-06-15,2
2021-06-16,5
2021-06-17,2
2021-06-18,3
2021-06-21,3
2021-06-22,12
2021-06-23,11
2021-06-24,21
2021-06-25,36
2021-06-28,29
2021-06-29,65
2021-06-30,625
2021-07-01,33
2021-07-02,14
2021-07-06,0
2021-07-07,25
2021-07-08,1
2021-07-09,3
2021-07-12,1
2021-07-13,4
2021-07-14,5
2021-07-15,2
2021-07-16,29
2021-07-19,2
2021-07-20,2
2021-07-21,3
2021-07-22,22
2021-07-23,10
2021-07-26,5
2021-07-27,24
2021-07-28,25
2021-07-29,77
2021-07-30,454
2021-08-02,323
2021-08-03,3
2021-08-04,2
2021-08-05,2
2021-08-06,6
2021-08-09,1
2021-08-10,1
2021-08-11,16
2021-08-12,3
2021-08-13,12
2021-08-16,1
2021-08-17,0
2021-08-18,3
2021-08-19,2
2021-08-20,4
2021-08-23,8
2021-08-24,3
2021-08-25,17
2021-08-26,47
2021-08-27,12
2021-08-30,77
2021-08-31,806
2021-09-01,19
2021-09-02,1
2021-09-03,2
2021-09-07,1
2021-09-08,3
2021-09-09,1
2021-09-10,2
2021-09-13,1
2021-09-14,9
2021-09-15,5
2021-09-16,2
2021-09-17,5
2021-09-20,2
2021-09-21,2
2021-09-22,22
2021-09-23,3
2021-09-24,18
2021-09-27,6
2021-09-28,49
2021-09-29,79
2021-09-30,816
2021-10-01,23
2021-10-04,1
2021-10-05,2
2021-10-06,1
2021-10-07,1
2021-10-08,0
2021-10-12,1
2021-10-13,2
