record_date,transaction_today_amt
2021-01-11,7
2021-01-11,4
2021-01-12,1
2021-01-12,17
2021-01-13,3
2021-01-13,5
2021-01-14,1
2021-01-14,4
2021-01-15,4
2021-01-15,1
2021-01-19,2
2021-01-19,6
2021-01-20,4
2021-01-20,6
2021-01-21,38
2021-01-21,6
2021-01-22,9
2021-01-22,2
2021-01-25,0
2021-01-25,9
2021-01-26,5
2021-01-26,14
2021-01-27,1
2021-01-27,4
2021-01-28,0
2021-01-28,6
2021-01-29,3
2021-01-29,10
2021-02-01,6
2021-02-01,4
2021-02-02,2
2021-02-02,5
2021-02-03,2
2021-02-03,2
2021-02-04,29
2021-02-04,0
2021-02-05,2
2021-02-05,4
2021-02-08,1
2021-02-08,3
2021-02-09,4
2021-02-09,8
2021-02-10,8
2021-02-10,34
2021-02-11,0
2021-02-11,6
2021-02-12,5
2021-02-12,3
2021-02-16,2
2021-02-16,20
2021-02-17,4
2021-02-17,6
2021-02-18,21
2021-02-18,1
2021-02-19,4
2021-02-19,6
2021-02-22,4
2021-02-22,4
2021-02-23,1
2021-02-23,5
2021-02-24,4
2021-02-24,8
2021-02-25,13
2021-02-25,4
2021-02-26,3
2021-02-26,9
2021-03-01,1
2021-03-01,2
2021-03-02,3
2021-03-02,2
2021-03-03,7
2021-03-03,4
2021-03-04,3
2021-03-04,8
2021-03-05,1
2021-03-05,4
2021-03-08,1
2021-03-08,2
2021-03-09,0
2021-03-09,5
2021-03-10,2
2021-03-10,9
2021-03-11,4
2021-03-11,7
2021-03-12,4
2021-03-12,9
2021-03-15,2
2021-03-15,2
2021-03-16,10
2021-03-16,0
2021-03-17,3
2021-03-17,9
2021-03-18,3
2021-03-18,11
2021-03-19,5
2021-03-19,5
2021-03-22,4
2021-03-22,2
2021-03-23,4
2021-03-23,7
2021-03-24,1
2021-03-24,7
2021-03-25,7
2021-03-25,11
2021-03-26,7
2021-03-26,4
2021-03-29,2
2021-03-29,1
2021-03-30,2
2021-03-30,6
2021-03-31,1
2021-03-31,7
2021-04-01,5
2021-04-01,7
2021-04-02,4
2021-04-02,3
2021-04-05,2
2021-04-05,3
2021-04-06,1
2021-04-06,3
2021-04-07,2
2021-04-07,6
2021-04-08,3
2021-04-08,3
2021-04-09,7
2021-04-09,2
2021-04-12,2
2021-04-12,4
2021-04-13,-1
2021-04-13,3
2021-04-14,3
2021-04-14,7
2021-04-15,2
2021-04-15,6
2021-04-16,3
2021-04-16,6
2021-04-19,1
2021-04-19,12
2021-04-20,6
2021-04-20,5
2021-04-21,1
2021-04-21,5
2021-04-22,7
2021-04-22,-1
2021-04-23,13
2021-04-23,5
2021-04-26,8
2021-04-26,2
2021-04-27,0
2021-04-27,14
2021-04-28,17
2021-04-28,1
2021-04-29,9
2021-04-29,7
2021-04-30,3
2021-04-30,9
2021-05-03,1
2021-05-03,6
2021-05-04,4
2021-05-04,2
