record_date,transaction_today_amt
2020-09-21,7
2020-09-21,4
2020-09-22,3
2020-09-22,0
2020-09-23,5
2020-09-23,1
2020-09-24,24
2020-09-24,1
2020-09-25,14
2020-09-25,2028
2020-09-28,12
2020-09-28,487
2020-09-29,11
2020-09-29,0
2020-09-30,33
2020-09-30,0
2020-10-01,46
2020-10-01,0
2020-10-02,0
2020-10-02,55
2020-10-05,84
2020-10-05,2
2020-10-06,73
2020-10-06,0
2020-10-07,94
2020-10-07,0
2020-10-08,0
2020-10-08,195
2020-10-09,12
2020-10-09,735
2020-10-13,717
2020-10-13,0
2020-10-14,1172
2020-10-14,0
2020-10-15,1018
2020-10-15,5
2020-10-16,3
2020-10-16,78
2020-10-19,3
2020-10-19,26
2020-10-20,17
2020-10-20,6
2020-10-21,26
2020-10-21,2
2020-10-22,2
2020-10-22,1
2020-10-23,3
2020-10-23,6
2020-10-26,2
2020-10-26,9
2020-10-27,13
2020-10-27,0
2020-10-28,1
2020-10-28,2
2020-10-29,65
2020-10-29,7
2020-10-30,489
2020-10-30,1
2020-11-02,0
2020-11-02,1
2020-11-03,1
2020-11-03,9
2020-11-04,6
2020-11-04,0
2020-11-05,6
2020-11-05,0
2020-11-06,7
2020-11-06,2
2020-11-09,0
2020-11-09,1
2020-11-10,1
2020-11-10,0
2020-11-12,2
2020-11-12,0
2020-11-13,3
2020-11-13,6
2020-11-16,1
2020-11-16,2
2020-11-17,1
2020-11-17,2
2020-11-18,1
2020-11-18,10
2020-11-19,1
2020-11-19,0
2020-11-20,0
2020-11-20,8
2020-11-23,1
2020-11-23,1
2020-11-24,0
2020-11-24,0
2020-11-25,1
2020-11-25,19
2020-11-27,0
2020-11-27,2
2020-11-30,480
2020-11-30,0
2020-12-01,0
2020-12-01,0
2020-12-02,0
2020-12-02,2
2020-12-03,1
2020-12-03,8
2020-12-04,1
2020-12-04,1
2020-12-07,0
2020-12-07,1
2020-12-08,0
2020-12-08,18
2020-12-09,1
2020-12-09,3
2020-12-10,1
2020-12-10,2
2020-12-11,1
2020-12-11,2
2020-12-14,0
2020-12-14,3
2020-12-15,5
2020-12-15,2
2020-12-16,2
2020-12-16,6
2020-12-17,2
2020-12-17,3
2020-12-18,0
2020-12-18,6
2020-12-21,0
2020-12-21,2
2020-12-22,1
2020-12-22,0
2020-12-23,1
2020-12-23,22
2020-12-24,1
2020-12-24,0
2020-12-28,0
2020-12-28,0
2020-12-29,0
2020-12-29,1
2020-12-30,1
2020-12-30,504
2020-12-31,2
2020-12-31,0
2021-01-04,1
2021-01-04,-5
2021-01-05,1
2021-01-05,2
2021-01-06,3
2021-01-06,7
2021-01-07,0
2021-01-07,0
2021-01-08,1
2021-01-08,2
2021-01-11,1
2021-01-11,0
2021-01-12,8
2021-01-12,1
2021-01-13,0
2021-01-13,5
2021-01-14,11
2021-01-14,1
2021-01-15,70
2021-01-15,2
2021-01-19,8
2021-01-19,10
2021-01-20,0
2021-01-20,1
2021-01-21,2
2021-01-21,0
2021-01-22,2
2021-01-22,13
2021-01-25,0
2021-01-25,20
2021-01-26,1
2021-01-26,1
2021-01-27,5
2021-01-27,0
2021-01-28,3
2021-01-28,16
2021-01-29,2
2021-01-29,492
2021-02-01,0
2021-02-01,0
2021-02-02,2
2021-02-02,0
2021-02-03,0
2021-02-03,3
2021-02-04,0
2021-02-04,9
2021-02-05,2
2021-02-05,0
2021-02-08,29
2021-02-08,4
2021-02-09,1
2021-02-09,0
2021-02-10,0
2021-02-10,10
2021-02-11,2
2021-02-11,9
2021-02-12,3
2021-02-12,4
2021-02-16,2
2021-02-16,1
2021-02-17,2
2021-02-17,2
2021-02-18,0
2021-02-18,1
2021-02-19,1
2021-02-19,23
2021-02-22,1
2021-02-22,4
2021-02-23,1
2021-02-23,1
2021-02-24,0
2021-02-24,7
2021-02-25,13
2021-02-25,1
2021-02-26,1
2021-02-26,493
2021-03-01,1
2021-03-01,0
2021-03-02,0
2021-03-02,1
2021-03-03,2
2021-03-03,0
2021-03-04,1
2021-03-04,4
2021-03-05,2
2021-03-05,2
2021-03-08,1
2021-03-08,0
2021-03-09,1
2021-03-09,0
2021-03-10,2
2021-03-10,2
2021-03-11,12
2021-03-11,3
2021-03-12,130
2021-03-12,3
2021-03-15,86
2021-03-15,-7
2021-03-16,8
2021-03-16,2
2021-03-17,3
2021-03-17,8
2021-03-18,62
2021-03-18,0
2021-03-19,0
2021-03-19,0
2021-03-22,0
2021-03-22,0
2021-03-23,1
2021-03-23,20
2021-03-24,4
2021-03-24,0
2021-03-25,4
2021-03-25,3
2021-03-26,1
2021-03-26,9
2021-03-29,0
2021-03-29,0
2021-03-30,3
2021-03-30,10
2021-03-31,2
2021-03-31,506
2021-04-01,-1
2021-04-01,2
2021-04-02,2
2021-04-02,-1
2021-04-05,23
2021-04-05,0
2021-04-06,3
2021-04-06,0
2021-04-07,3
2021-04-07,3
2021-04-08,11
2021-04-08,1
2021-04-09,24
2021-04-09,0
2021-04-12,11
2021-04-12,2
2021-04-13,44
2021-04-13,0
2021-04-14,41
2021-04-14,12
2021-04-15,36
2021-04-15,2
2021-04-16,3
2021-04-16,6
2021-04-19,5
2021-04-19,3
2021-04-20,8
2021-04-20,1
2021-04-21,0
2021-04-21,1
2021-04-22,3
2021-04-22,21
2021-04-23,1
2021-04-23,0
2021-04-26,0
2021-04-26,0
2021-04-27,0
2021-04-27,1
2021-04-28,92
2021-04-28,34
2021-04-29,0
2021-04-29,0
2021-04-30,0
2021-04-30,500
2021-05-03,1
2021-05-03,0
2021-05-04,0
2021-05-04,1
2021-05-05,10
2021-05-05,0
2021-05-06,1
2021-05-06,0
2021-05-07,1
2021-05-07,6
2021-05-10,3
2021-05-10,0
2021-05-11,5
2021-05-11,4
2021-05-12,2
2021-05-12,0
2021-05-13,8
2021-05-13,0
2021-05-14,1
2021-05-14,26
2021-05-17,1
2021-05-17,0
2021-05-18,-2
2021-05-18,1
2021-05-19,1
2021-05-19,13
2021-05-20,1
2021-05-20,1
2021-05-21,9
2021-05-21,33
2021-05-24,2
2021-05-24,0
2021-05-25,-3
2021-05-25,0
2021-05-26,5
2021-05-26,17
2021-05-27,562
2021-05-27,14
2021-05-28,0
2021-05-28,504
2021-06-01,0
2021-06-01,0
2021-06-02,4
2021-06-02,1
2021-06-03,1
2021-06-03,1
2021-06-04,2
2021-06-04,8
2021-06-07,1
2021-06-07,0
2021-06-08,0
2021-06-08,0
2021-06-09,5
2021-06-09,5
2021-06-10,2
2021-06-10,1
2021-06-11,2
2021-06-11,2
2021-06-14,9
2021-06-14,5
2021-06-15,1
2021-06-15,0
2021-06-16,2
2021-06-16,2
2021-06-17,2
2021-06-17,5
2021-06-18,5
2021-06-18,4
2021-06-21,0
2021-06-21,0
2021-06-22,1
2021-06-22,19
2021-06-23,1
2021-06-23,6
2021-06-24,0
2021-06-24,1
2021-06-25,1
2021-06-25,4
2021-06-28,601
2021-06-28,9
2021-06-29,5
2021-06-29,2
2021-06-30,514
2021-06-30,8
2021-07-01,2
2021-07-01,0
2021-07-02,4
2021-07-02,3
2021-07-06,4
2021-07-06,0
2021-07-07,0
2021-07-07,5
2021-07-08,11
2021-07-08,2
2021-07-09,3
2021-07-09,1
2021-07-12,10
2021-07-12,3
2021-07-13,13
2021-07-13,0
2021-07-14,6
2021-07-14,48
2021-07-15,128
2021-07-15,3
2021-07-16,5
2021-07-16,3
2021-07-19,3
2021-07-19,0
2021-07-20,3
2021-07-20,3
2021-07-21,5
2021-07-21,0
2021-07-22,0
2021-07-22,1
2021-07-23,1
2021-07-23,22
2021-07-26,1
2021-07-26,0
2021-07-27,1
2021-07-27,0
2021-07-28,19
2021-07-28,1
2021-07-29,382
2021-07-29,3
2021-07-30,0
2021-07-30,502
2021-08-02,1
2021-08-02,0
2021-08-03,0
2021-08-03,0
2021-08-04,2
2021-08-04,6
2021-08-05,4
2021-08-05,0
2021-08-06,0
2021-08-06,4
2021-08-09,2
2021-08-09,0
2021-08-10,0
2021-08-10,2
2021-08-11,5
2021-08-11,5
2021-08-12,3
2021-08-12,8
2021-08-13,14
2021-08-13,13
2021-08-16,0
2021-08-16,1
2021-08-17,0
2021-08-17,6
2021-08-18,1
2021-08-18,0
2021-08-19,1
2021-08-19,4
2021-08-20,2
2021-08-20,2
2021-08-23,0
2021-08-23,2
2021-08-24,4
2021-08-24,1
2021-08-25,6
2021-08-25,0
2021-08-26,1
2021-08-26,21
2021-08-27,536
2021-08-27,10
2021-08-30,1
2021-08-30,2
2021-08-31,2
2021-08-31,512
2021-09-01,0
2021-09-01,2
2021-09-02,20
2021-09-02,0
2021-09-03,2
2021-09-03,2
2021-09-07,1
2021-09-07,0
2021-09-08,2
2021-09-08,2
2021-09-09,0
2021-09-09,2
2021-09-10,9
2021-09-10,7
2021-09-13,10
2021-09-13,0
2021-09-14,28
2021-09-14,1
2021-09-15,3
2021-09-15,47
2021-09-16,0
2021-09-16,16
2021-09-17,13
2021-09-17,2
2021-09-20,7
2021-09-20,4
2021-09-21,3
2021-09-21,0
2021-09-22,4
2021-09-22,23
2021-09-23,19
2021-09-23,5
2021-09-24,6
2021-09-24,12
2021-09-27,18
2021-09-27,4
2021-09-28,2318
2021-09-28,11
2021-09-29,23
2021-09-29,504
2021-09-30,4
2021-09-30,19
2021-10-01,65
2021-10-01,0
2021-10-04,41
2021-10-04,2
2021-10-05,52
2021-10-05,0
2021-10-06,0
2021-10-06,102
2021-10-07,0
2021-10-07,196
2021-10-08,218
2021-10-08,10
2021-10-12,576
2021-10-12,0
2021-10-13,536
2021-10-13,0
2021-10-14,944
2021-10-14,2
2021-10-15,5
2021-10-15,651
2021-10-18,63
2021-10-18,1
2021-10-19,85
2021-10-19,0
2021-10-20,15
2021-10-20,8
2021-10-21,19
2021-10-21,14
2021-10-22,5
2021-10-22,3
2021-10-25,4
2021-10-25,5
2021-10-26,4
2021-10-26,0
2021-10-27,5
2021-10-27,1
2021-10-28,1
2021-10-28,23
2021-10-29,71
2021-10-29,512
2021-11-01,1
2021-11-01,0
2021-11-02,1
2021-11-02,2
2021-11-03,5
2021-11-03,2
2021-11-04,1
2021-11-04,0
2021-11-05,1
2021-11-05,1
2021-11-08,2
2021-11-08,0
2021-11-09,0
2021-11-09,2
2021-11-10,3
2021-11-10,1
2021-11-12,9
2021-11-12,7
2021-11-15,1
2021-11-15,0
2021-11-16,10
2021-11-16,0
2021-11-17,0
2021-11-17,4
2021-11-18,19
2021-11-18,1
2021-11-19,1
2021-11-19,9
2021-11-22,0
2021-11-22,5
2021-11-23,0
2021-11-23,1
2021-11-24,7
2021-11-24,0
2021-11-26,0
2021-11-26,9
2021-11-29,0
2021-11-29,0
2021-11-30,1
2021-11-30,524
2021-12-01,0
2021-12-01,0
2021-12-02,2
2021-12-02,0
2021-12-03,0
2021-12-03,13
2021-12-06,1
2021-12-06,0
2021-12-07,0
2021-12-07,0
2021-12-08,1
2021-12-08,0
2021-12-09,1
2021-12-09,6
2021-12-10,3
2021-12-10,0
2021-12-13,2
2021-12-13,4
2021-12-14,1
2021-12-14,0
2021-12-15,9
2021-12-15,3
2021-12-16,9
2021-12-16,0
2021-12-17,3
2021-12-17,4
2021-12-20,1
2021-12-20,5
2021-12-21,0
2021-12-21,0
2021-12-22,0
2021-12-22,0
2021-12-23,0
2021-12-23,0
2021-12-24,0
2021-12-24,2
2021-12-27,7
2021-12-27,0
2021-12-28,0
2021-12-28,-2
2021-12-29,11
2021-12-29,0
2021-12-30,544
2021-12-30,2
2021-12-31,0
2021-12-31,0
2022-01-03,0
2022-01-03,0
2022-01-04,0
2022-01-04,2
2022-01-05,1
2022-01-05,0
2022-01-06,0
2022-01-06,1
2022-01-07,0
2022-01-07,1
2022-01-10,1
2022-01-10,0
2022-01-11,2
2022-01-11,0
2022-01-12,1
2022-01-12,15
2022-01-13,9
2022-01-13,7
2022-01-14,71
2022-01-14,119
2022-01-18,4
2022-01-18,1
2022-01-19,1
2022-01-19,0
2022-01-20,0
2022-01-20,1
2022-01-21,0
2022-01-21,4
2022-01-24,1
2022-01-24,0
2022-01-25,0
2022-01-25,1
2022-01-26,2
2022-01-26,0
2022-01-27,3
2022-01-27,18
2022-01-28,0
2022-01-28,14
2022-01-31,0
2022-01-31,529
2022-02-01,0
2022-02-01,0
2022-02-02,2
2022-02-02,1
2022-02-03,1
2022-02-03,-1
2022-02-04,0
2022-02-04,4
2022-02-07,16
2022-02-07,0
2022-02-08,1
2022-02-08,0
2022-02-09,6
2022-02-09,8
2022-02-10,1
2022-02-10,4
2022-02-11,1
2022-02-11,5
2022-02-14,9
2022-02-14,62
2022-02-15,0
2022-02-15,2
2022-02-16,3
2022-02-16,1
2022-02-17,86
2022-02-17,812
2022-02-18,1
2022-02-18,111
2022-02-22,0
2022-02-22,0
2022-02-23,0
2022-02-23,2
2022-02-24,1
2022-02-24,5
2022-02-25,0
2022-02-25,15
2022-02-28,0
2022-02-28,530
2022-03-01,0
2022-03-01,1
2022-03-02,0
2022-03-02,2
2022-03-03,1
2022-03-03,4
2022-03-04,2
2022-03-04,4
2022-03-07,1
2022-03-07,0
2022-03-08,0
2022-03-08,1
2022-03-09,6
2022-03-09,2
2022-03-10,3
2022-03-10,0
2022-03-11,3
2022-03-11,4
2022-03-14,88
2022-03-14,0
2022-03-15,23
2022-03-15,0
2022-03-16,5
2022-03-16,1
2022-03-17,0
2022-03-17,3
2022-03-18,1
2022-03-18,5
2022-03-21,1
2022-03-21,0
2022-03-22,0
2022-03-22,2
2022-03-23,1
2022-03-23,7
2022-03-24,1
2022-03-24,0
2022-03-25,1
2022-03-25,0
2022-03-28,2
2022-03-28,2
2022-03-29,1
2022-03-29,101
2022-03-30,1
2022-03-30,17
2022-03-31,3
2022-03-31,534
2022-04-01,0
2022-04-01,0
2022-04-04,2
2022-04-04,2
2022-04-05,2
2022-04-05,0
2022-04-06,4
2022-04-06,6
2022-04-07,4
2022-04-07,0
2022-04-08,3
2022-04-08,2
2022-04-11,45
2022-04-11,0
2022-04-12,0
2022-04-12,12
2022-04-13,31
2022-04-13,238
2022-04-14,42
2022-04-14,0
2022-04-15,41
2022-04-15,6
2022-04-18,4
2022-04-18,0
2022-04-19,0
2022-04-19,6
2022-04-20,2
2022-04-20,10
2022-04-21,2
2022-04-21,0
2022-04-22,1
2022-04-22,6
2022-04-25,6
2022-04-25,1
2022-04-26,1
2022-04-26,0
2022-04-27,0
2022-04-27,9
2022-04-28,356
2022-04-28,193
2022-04-29,2
2022-04-29,528
2022-05-02,13
2022-05-02,517
2022-05-03,0
2022-05-03,2
2022-05-04,1
2022-05-04,2
2022-05-05,0
2022-05-05,0
2022-05-06,1
2022-05-06,9
2022-05-09,0
2022-05-09,0
2022-05-10,0
2022-05-10,1
2022-05-11,7
2022-05-11,0
2022-05-12,3
2022-05-12,6
2022-05-13,1
2022-05-13,4
2022-05-16,2
2022-05-16,0
2022-05-17,0
2022-05-17,1
2022-05-18,44
2022-05-18,345
2022-05-19,1
2022-05-19,8
2022-05-20,1
2022-05-20,7
2022-05-23,0
2022-05-23,2
2022-05-24,7
2022-05-24,1749
2022-05-25,0
2022-05-25,0
2022-05-26,19
2022-05-26,1948
2022-05-27,555
2022-05-27,7
2022-05-31,666
2022-05-31,18
2022-06-01,0
2022-06-01,1
2022-06-02,22
2022-06-02,244
2022-06-03,3
2022-06-03,0
2022-06-06,1
2022-06-06,5
2022-06-07,1
2022-06-07,0
2022-06-08,8
2022-06-08,2
2022-06-09,1
2022-06-09,0
2022-06-10,2
2022-06-10,4
2022-06-13,1
2022-06-13,0
2022-06-14,0
2022-06-14,3
2022-06-15,14
2022-06-15,10
2022-06-16,14
2022-06-16,116
2022-06-17,-10
2022-06-17,0
2022-06-21,2
2022-06-21,0
2022-06-22,1
2022-06-22,0
2022-06-23,0
2022-06-23,5
2022-06-24,0
2022-06-24,3
2022-06-27,0
2022-06-27,3
2022-06-28,438
2022-06-28,3
2022-06-29,1
2022-06-29,2
2022-06-30,5
2022-06-30,674
2022-07-01,6
2022-07-01,0
2022-07-05,1
2022-07-05,1
2022-07-06,8
2022-07-06,0
2022-07-07,4
2022-07-07,0
2022-07-08,16
2022-07-08,2
2022-07-11,3
2022-07-11,1
2022-07-12,8
2022-07-12,0
2022-07-13,2
2022-07-13,9
2022-07-14,39
2022-07-14,2
2022-07-15,119
2022-07-15,2
2022-07-18,12
2022-07-18,0
2022-07-19,0
2022-07-19,1
2022-07-20,9
2022-07-20,1
2022-07-21,1
2022-07-21,0
2022-07-22,1
2022-07-22,2
2022-07-25,2
2022-07-25,7
2022-07-26,543
2022-07-26,0
2022-07-27,1
2022-07-27,6
2022-07-28,0
2022-07-28,0
2022-07-29,1
2022-07-29,524
2022-08-01,0
2022-08-01,0
2022-08-02,0
2022-08-02,6
2022-08-03,9
2022-08-03,1
2022-08-04,2
2022-08-04,0
2022-08-05,3
2022-08-05,5
2022-08-08,0
2022-08-08,0
2022-08-09,1
2022-08-09,0
2022-08-10,2
2022-08-10,5
2022-08-11,3
2022-08-11,0
2022-08-12,14
2022-08-12,4
2022-08-15,14
2022-08-15,0
2022-08-16,0
2022-08-16,2
2022-08-17,7
2022-08-17,1
2022-08-18,1
2022-08-18,0
2022-08-19,0
2022-08-19,1
2022-08-22,0
2022-08-22,0
2022-08-23,0
2022-08-23,3
2022-08-24,723
2022-08-24,1
2022-08-25,1
2022-08-25,4
2022-08-26,317
2022-08-26,4
2022-08-29,3
2022-08-29,0
2022-08-30,1
2022-08-30,8
2022-08-31,7
2022-08-31,620
2022-09-01,1
2022-09-01,0
2022-09-02,4
2022-09-02,3
2022-09-06,1
2022-09-06,0
2022-09-07,1
2022-09-07,2
2022-09-08,8
2022-09-08,0
2022-09-09,5
2022-09-09,3
2022-09-12,20
2022-09-12,0
2022-09-13,0
2022-09-13,28
2022-09-14,0
2022-09-14,10
2022-09-15,37
2022-09-15,4
2022-09-16,17
2022-09-16,6
2022-09-19,7
2022-09-19,0
2022-09-20,16
2022-09-20,2
2022-09-21,12
2022-09-21,3
2022-09-22,26
2022-09-22,2
2022-09-23,3203
2022-09-23,6
2022-09-26,7
2022-09-26,33
2022-09-27,501
2022-09-27,21
2022-09-28,14
2022-09-28,31
2022-09-29,17
2022-09-29,-28
2022-09-30,36
2022-09-30,0
2022-10-03,34
2022-10-03,0
2022-10-04,2
2022-10-04,71
2022-10-05,77
2022-10-05,-1
2022-10-06,103
2022-10-06,28
2022-10-07,183
2022-10-07,0
2022-10-11,0
2022-10-11,604
2022-10-12,0
2022-10-12,542
2022-10-13,595
2022-10-13,0
2022-10-14,979
2022-10-14,16
2022-10-17,618
2022-10-17,0
2022-10-18,0
2022-10-18,34
2022-10-19,7
2022-10-19,11
2022-10-20,15
2022-10-20,0
2022-10-21,22
2022-10-21,8
2022-10-24,5
2022-10-24,1
2022-10-25,3
2022-10-25,1
2022-10-26,1
2022-10-26,2
2022-10-27,26
2022-10-27,2
2022-10-28,4
2022-10-28,14
2022-10-31,1
2022-10-31,525
2022-11-01,0
2022-11-01,3
2022-11-02,8
2022-11-02,0
2022-11-03,1
2022-11-03,193
2022-11-04,1
2022-11-04,9
2022-11-07,29
2022-11-07,0
2022-11-08,4
2022-11-08,0
2022-11-09,1
2022-11-09,0
2022-11-10,1
2022-11-10,1
2022-11-14,1
2022-11-14,0
2022-11-15,14
2022-11-15,0
2022-11-16,0
2022-11-16,1
2022-11-17,18
2022-11-17,0
2022-11-18,0
2022-11-18,1
2022-11-21,2
2022-11-21,34
2022-11-22,0
2022-11-22,4
2022-11-23,1
2022-11-23,0
2022-11-25,6
2022-11-25,0
2022-11-28,0
2022-11-28,3
2022-11-29,0
2022-11-29,6
2022-11-30,0
2022-11-30,524
2022-12-01,0
2022-12-01,0
2022-12-02,0
2022-12-02,0
2022-12-05,1
2022-12-05,0
2022-12-06,1
2022-12-06,0
2022-12-07,0
2022-12-07,0
2022-12-08,1
2022-12-08,1057
2022-12-09,5
2022-12-09,1
2022-12-12,5
2022-12-12,0
2022-12-13,1
2022-12-13,2
2022-12-14,1
2022-12-14,0
2022-12-15,2
2022-12-15,7
2022-12-16,1
2022-12-16,0
2022-12-19,0
2022-12-19,0
2022-12-20,3
2022-12-20,1
2022-12-21,3
2022-12-21,2
2022-12-22,0
2022-12-22,3
2022-12-23,1
2022-12-23,0
2022-12-27,0
2022-12-27,8
2022-12-28,1
2022-12-28,6
2022-12-29,4
2022-12-29,1
2022-12-30,0
2022-12-30,528
2023-01-03,0
2023-01-03,0
2023-01-04,1
2023-01-04,0
2023-01-05,2
2023-01-05,1
2023-01-06,0
2023-01-06,4
2023-01-09,2
2023-01-09,332
2023-01-10,11
2023-01-10,428
2023-01-11,4
2023-01-11,113
2023-01-12,4
2023-01-12,35766
2023-01-13,0
2023-01-13,19
2023-01-17,36
2023-01-17,33
2023-01-18,2
2023-01-18,0
2023-01-19,0
2023-01-19,85
2023-01-20,11
2023-01-20,0
2023-01-23,0
2023-01-23,0
2023-01-24,0
2023-01-24,2
2023-01-25,3
2023-01-25,0
2023-01-26,0
2023-01-26,12
2023-01-27,3
2023-01-27,2
2023-01-30,0
2023-01-30,0
2023-01-31,0
2023-01-31,527
2023-02-01,0
2023-02-01,0
2023-02-02,0
2023-02-02,2
2023-02-03,6
2023-02-03,1
2023-02-06,0
2023-02-06,0
2023-02-07,1
2023-02-07,4
2023-02-08,2
2023-02-08,0
2023-02-09,8
2023-02-09,8
2023-02-10,0
2023-02-10,2
2023-02-13,7
2023-02-13,0
2023-02-14,3
2023-02-14,0
2023-02-15,8
2023-02-15,1
2023-02-16,1
2023-02-16,16
2023-02-17,2
2023-02-17,2
2023-02-21,0
2023-02-21,100
2023-02-22,1
2023-02-22,0
2023-02-23,0
2023-02-23,29
2023-02-24,5
2023-02-24,0
2023-02-27,0
2023-02-27,76
2023-02-28,0
2023-02-28,526
2023-03-01,3
2023-03-01,0
2023-03-02,0
2023-03-02,0
2023-03-03,8
2023-03-03,0
2023-03-06,1
2023-03-06,0
2023-03-07,1
2023-03-07,5
2023-03-08,1
2023-03-08,0
2023-03-09,1
2023-03-09,3
2023-03-10,2
2023-03-10,0
2023-03-13,0
2023-03-13,2
2023-03-14,0
2023-03-14,32
2023-03-15,31
2023-03-15,0
2023-03-16,2
2023-03-16,5
2023-03-17,1
2023-03-17,0
2023-03-20,1
2023-03-20,39
2023-03-21,0
2023-03-21,2
2023-03-22,1
2023-03-22,0
2023-03-23,1
2023-03-23,0
2023-03-24,0
2023-03-24,7
2023-03-27,1
2023-03-27,0
2023-03-28,2
2023-03-28,0
2023-03-29,2
2023-03-29,10
2023-03-30,1
2023-03-30,1
2023-03-31,525
2023-03-31,2
2023-04-03,0
2023-04-03,5
2023-04-04,1
2023-04-04,0
2023-04-05,2
2023-04-05,2
2023-04-06,5
2023-04-06,0
2023-04-07,3
2023-04-07,3
2023-04-10,0
2023-04-10,14
2023-04-11,7
2023-04-11,0
2023-04-12,15
2023-04-12,1
2023-04-13,35
2023-04-13,0
2023-04-14,42
2023-04-14,2
2023-04-17,0
2023-04-17,45
2023-04-18,10
2023-04-18,0
2023-04-19,2
2023-04-19,5
2023-04-20,1
2023-04-20,0
2023-04-21,1
2023-04-21,3
2023-04-24,0
2023-04-24,2
2023-04-25,0
2023-04-25,10
2023-04-26,0
2023-04-26,5
2023-04-27,1
2023-04-27,5
2023-04-28,0
2023-04-28,524
2023-05-01,0
2023-05-01,450
2023-05-02,1
2023-05-02,0
2023-05-03,1
2023-05-03,9
2023-05-04,0
2023-05-04,-1
2023-05-05,2
2023-05-05,4
2023-05-08,0
2023-05-08,0
2023-05-09,2
2023-05-09,0
2023-05-10,2
2023-05-10,6
2023-05-11,2
2023-05-11,0
2023-05-12,6
2023-05-12,7
2023-05-15,1
2023-05-15,0
2023-05-16,1
2023-05-16,1
2023-05-17,1
2023-05-17,6
2023-05-18,0
2023-05-18,0
2023-05-19,9
2023-05-19,0
2023-05-22,1
2023-05-22,0
2023-05-23,0
2023-05-23,0
2023-05-24,51
2023-05-24,1066
2023-05-25,2
2023-05-25,544
2023-05-26,3
2023-05-26,0
2023-05-30,0
2023-05-30,6
2023-05-31,0
2023-05-31,525
2023-06-01,1
2023-06-01,0
2023-06-02,6
2023-06-02,1
2023-06-05,0
2023-06-05,6
2023-06-06,0
2023-06-06,0
2023-06-07,2
2023-06-07,4
2023-06-08,2
2023-06-08,0
2023-06-09,2
2023-06-09,5
2023-06-12,3
2023-06-12,9
2023-06-13,2
2023-06-13,0
2023-06-14,9
2023-06-14,6
2023-06-15,4
2023-06-15,0
2023-06-16,1
2023-06-16,1
2023-06-20,1
2023-06-20,0
2023-06-21,1
2023-06-21,0
2023-06-22,0
2023-06-22,4
2023-06-23,5
2023-06-23,0
2023-06-26,0
2023-06-26,4
2023-06-27,590
2023-06-27,4
2023-06-28,1
2023-06-28,3
2023-06-29,5
2023-06-29,0
2023-06-30,9
2023-06-30,527
2023-07-03,0
2023-07-03,1
2023-07-05,0
2023-07-05,0
2023-07-06,8
2023-07-06,0
2023-07-07,15
2023-07-07,2
2023-07-10,5
2023-07-10,0
2023-07-11,21
2023-07-11,0
2023-07-12,3
2023-07-12,25
2023-07-13,23
2023-07-13,0
2023-07-14,119
2023-07-14,6
2023-07-17,7
2023-07-17,0
2023-07-18,4
2023-07-18,0
2023-07-19,10
2023-07-19,2
2023-07-20,2
2023-07-20,0
2023-07-21,3
2023-07-21,4
2023-07-24,-1
2023-07-24,1
2023-07-25,1
2023-07-25,0
2023-07-26,5
2023-07-26,591
2023-07-27,1
2023-07-27,1
2023-07-28,1
2023-07-28,12
2023-07-31,1
2023-07-31,2877
2023-08-01,0
2023-08-01,0
2023-08-02,0
2023-08-02,1
2023-08-03,1
2023-08-03,0
2023-08-04,1
2023-08-04,8
2023-08-07,1
2023-08-07,280
2023-08-08,4
2023-08-08,0
2023-08-09,4
2023-08-09,3
2023-08-10,2
2023-08-10,0
2023-08-11,23
2023-08-11,5
2023-08-14,3
2023-08-14,0
2023-08-15,0
2023-08-15,13
2023-08-16,7
2023-08-16,2
2023-08-17,1
2023-08-17,0
2023-08-18,0
2023-08-18,3
2023-08-21,1
2023-08-21,1081
2023-08-22,1
2023-08-22,4
2023-08-23,4
2023-08-23,0
2023-08-24,0
2023-08-24,2
2023-08-25,1
2023-08-25,12
2023-08-28,775
2023-08-28,1121
2023-08-29,0
2023-08-29,0
2023-08-30,5
2023-08-30,4
2023-08-31,4
2023-08-31,533
2023-09-01,1
2023-09-01,0
2023-09-05,13
2023-09-05,0
2023-09-06,2
2023-09-06,2
2023-09-07,4
2023-09-07,0
2023-09-08,1
2023-09-08,2
2023-09-11,1
2023-09-11,0
2023-09-12,0
2023-09-12,5
2023-09-13,33
2023-09-13,0
2023-09-14,2
2023-09-14,4
2023-09-15,54
2023-09-15,2
2023-09-18,219
2023-09-18,8
2023-09-19,0
2023-09-19,4
2023-09-20,8
2023-09-20,2
2023-09-21,136
2023-09-21,591
2023-09-22,5
2023-09-22,12
2023-09-25,9
2023-09-25,23
2023-09-26,0
2023-09-26,3394
2023-09-27,20
2023-09-27,529
2023-09-28,20
2023-09-28,82
2023-09-29,27
2023-09-29,0
2023-10-02,0
2023-10-02,55
2023-10-03,67
2023-10-03,0
2023-10-04,77
2023-10-04,1
2023-10-05,94
2023-10-05,334
