record_date,transaction_today_amt
2020-07-13,24
2020-07-14,44
2020-07-15,44
2020-07-16,35
2020-07-17,48
2020-07-20,81
2020-07-21,46
2020-07-22,119
2020-07-23,79
2020-07-24,54
2020-07-27,13
2020-07-28,58
2020-07-29,78
2020-07-30,65
2020-07-31,49
2020-08-03,1
2020-08-04,55
2020-08-05,159
2020-08-06,34
2020-08-07,69
2020-08-10,161
2020-08-11,4
2020-08-12,184
2020-08-13,34
2020-08-14,53
2020-08-17,45
2020-08-18,24
2020-08-19,60
2020-08-20,40
2020-08-21,68
2020-08-24,22
2020-08-25,110
2020-08-26,50
2020-08-27,65
2020-08-28,95
2020-08-31,82
2020-09-01,1
2020-09-02,44
2020-09-03,98
2020-09-04,67
2020-09-08,48
2020-09-09,39
2020-09-10,32
2020-09-11,86
2020-09-14,31
2020-09-15,10
2020-09-16,159
2020-09-17,188
2020-09-18,97
2020-09-21,11
2020-09-22,161
2020-09-23,101
2020-09-24,74
2020-09-25,136
2020-09-28,229
2020-09-29,92
2020-09-30,263
2020-10-01,0
2020-10-02,0
2020-10-05,0
2020-10-06,0
2020-10-07,0
2020-10-08,0
2020-10-09,0
2020-10-13,1
2020-10-14,13
2020-10-15,180
2020-10-16,78
2020-10-19,107
2020-10-20,59
2020-10-21,69
2020-10-22,83
2020-10-23,103
2020-10-26,88
2020-10-27,60
2020-10-28,19
2020-10-29,97
2020-10-30,61
2020-11-02,0
2020-11-03,67
2020-11-04,128
2020-11-05,81
2020-11-06,64
2020-11-09,37
2020-11-10,62
2020-11-12,108
2020-11-13,91
2020-11-16,70
2020-11-17,36
2020-11-18,37
2020-11-19,143
2020-11-20,79
2020-11-23,68
2020-11-24,60
2020-11-25,95
2020-11-27,86
2020-11-30,53
2020-12-01,0
2020-12-02,41
2020-12-03,80
2020-12-04,47
2020-12-07,46
2020-12-08,39
2020-12-09,35
2020-12-10,271
2020-12-11,60
2020-12-14,108
2020-12-15,3
2020-12-16,191
2020-12-17,101
2020-12-18,74
2020-12-21,136
2020-12-22,40
2020-12-23,145
2020-12-24,0
2020-12-28,142
2020-12-29,59
2020-12-30,141
2020-12-31,32
2021-01-04,0
2021-01-05,36
2021-01-06,69
2021-01-07,53
2021-01-08,41
2021-01-11,39
2021-01-12,40
2021-01-13,30
2021-01-14,31
2021-01-15,57
2021-01-19,64
2021-01-20,92
2021-01-21,59
2021-01-22,48
2021-01-25,58
2021-01-26,46
2021-01-27,56
2021-01-28,47
2021-01-29,52
2021-02-01,0
2021-02-02,76
2021-02-03,91
2021-02-04,49
2021-02-05,35
2021-02-08,39
2021-02-09,30
2021-02-10,48
2021-02-11,59
2021-02-12,35
2021-02-16,34
2021-02-17,72
2021-02-18,55
2021-02-19,47
2021-02-22,97
2021-02-23,69
2021-02-24,45
2021-02-25,38
2021-02-26,34
2021-03-01,0
2021-03-02,76
2021-03-03,39
2021-03-04,38
2021-03-05,229
2021-03-08,26
2021-03-09,125
2021-03-10,31
2021-03-11,60
2021-03-12,44
2021-03-15,25
2021-03-16,27
2021-03-17,27
2021-03-18,56
2021-03-19,25
2021-03-22,31
2021-03-23,52
2021-03-24,30
2021-03-25,64
2021-03-26,99
2021-03-29,55
2021-03-30,37
2021-03-31,37
2021-04-01,1
2021-04-02,52
2021-04-05,32
2021-04-06,20
2021-04-07,25
2021-04-08,34
2021-04-09,11
2021-04-12,31
2021-04-13,62
2021-04-14,26
2021-04-15,29
2021-04-16,29
2021-04-19,43
2021-04-20,89
2021-04-21,67
2021-04-22,56
2021-04-23,25
2021-04-26,40
2021-04-27,47
2021-04-28,70
2021-04-29,33
2021-04-30,42
2021-05-03,0
2021-05-04,42
2021-05-05,44
2021-05-06,38
2021-05-07,33
2021-05-10,33
2021-05-11,20
2021-05-12,127
2021-05-13,34
2021-05-14,50
2021-05-17,63
2021-05-18,28
2021-05-19,49
2021-05-20,62
2021-05-21,34
2021-05-24,51
2021-05-25,93
2021-05-26,24
2021-05-27,83
2021-05-28,28
2021-06-01,1
2021-06-02,71
2021-06-03,55
