record_date,transaction_today_amt
2016-01-04,751
2016-01-05,932
2016-01-06,841
2016-01-07,696
2016-01-08,1032
2016-01-11,1134
2016-01-12,1184
2016-01-13,757
2016-01-14,1399
2016-01-15,1083
2016-01-19,1121
2016-01-20,1160
2016-01-21,721
2016-01-22,1199
2016-01-25,1302
2016-01-26,1538
2016-01-27,890
2016-01-28,1291
2016-01-29,1161
2016-02-01,943
2016-02-02,1011
2016-02-03,1292
2016-02-04,964
2016-02-05,722
2016-02-08,1008
2016-02-09,1106
2016-02-10,896
2016-02-11,1291
2016-02-12,1040
2016-02-16,1343
2016-02-17,1344
2016-02-18,865
2016-02-19,1221
2016-02-22,2112
2016-02-23,1776
2016-02-24,822
2016-02-25,1608
2016-02-26,1293
2016-02-29,1020
2016-03-01,1287
2016-03-02,542
2016-03-03,1632
2016-03-04,810
2016-03-07,1018
2016-03-08,1458
2016-03-09,923
2016-03-10,1518
2016-03-11,777
2016-03-14,1002
2016-03-15,1378
2016-03-16,671
2016-03-17,1438
2016-03-18,1752
2016-03-21,1530
2016-03-22,1356
2016-03-23,1392
2016-03-24,1172
2016-03-25,988
2016-03-28,1376
2016-03-29,1427
2016-03-30,891
2016-03-31,1144
2016-04-01,358
2016-04-04,797
2016-04-05,1115
2016-04-06,672
2016-04-07,1379
2016-04-08,1052
2016-04-11,1109
2016-04-12,1370
2016-04-13,876
2016-04-14,1296
2016-04-15,1123
2016-04-18,1352
2016-04-19,1697
2016-04-20,809
2016-04-21,1301
2016-04-22,1393
2016-04-25,1181
2016-04-26,1341
2016-04-27,815
2016-04-28,1231
2016-04-29,1064
2016-05-02,742
2016-05-03,1148
2016-05-04,859
2016-05-05,901
2016-05-06,1015
2016-05-09,1032
2016-05-10,1130
2016-05-11,870
2016-05-12,1095
2016-05-13,1219
2016-05-16,1058
2016-05-17,986
2016-05-18,949
2016-05-19,1495
2016-05-20,1079
2016-05-23,1356
2016-05-24,1767
2016-05-25,749
2016-05-26,1213
2016-05-27,1034
2016-05-31,777
2016-06-01,456
2016-06-02,1032
2016-06-03,841
2016-06-06,1142
2016-06-07,1295
2016-06-08,877
2016-06-09,950
2016-06-10,1196
2016-06-13,1196
2016-06-14,1377
2016-06-15,1073
2016-06-16,1656
2016-06-17,1063
2016-06-20,1373
2016-06-21,1627
2016-06-22,993
2016-06-23,1334
2016-06-24,1261
2016-06-27,1155
2016-06-28,1014
2016-06-29,866
2016-06-30,836
2016-07-01,824
2016-07-05,951
2016-07-06,984
2016-07-07,526
2016-07-08,1234
2016-07-11,865
2016-07-12,1295
2016-07-13,622
2016-07-14,1282
2016-07-15,741
2016-07-18,1403
2016-07-19,1415
2016-07-20,998
2016-07-21,1596
2016-07-22,1016
2016-07-25,1459
2016-07-26,1027
2016-07-27,925
2016-07-28,1349
2016-07-29,871
2016-08-01,1036
2016-08-02,955
2016-08-03,719
2016-08-04,1138
2016-08-05,712
2016-08-08,984
2016-08-09,1272
2016-08-10,639
2016-08-11,986
2016-08-12,1027
2016-08-15,1101
2016-08-16,1183
2016-08-17,649
2016-08-18,1233
2016-08-19,1122
2016-08-22,1323
2016-08-23,1292
2016-08-24,831
2016-08-25,1233
2016-08-26,1548
2016-08-29,1286
2016-08-30,1210
2016-08-31,795
2016-09-01,312
2016-09-02,1194
2016-09-06,1019
2016-09-07,1196
2016-09-08,1541
2016-09-09,1195
2016-09-12,1004
2016-09-13,1582
2016-09-14,1539
2016-09-15,1859
2016-09-16,1563
2016-09-19,1555
2016-09-20,1792
2016-09-21,1289
2016-09-22,1901
2016-09-23,1392
2016-09-26,1257
2016-09-27,1371
2016-09-28,1253
2016-09-29,1086
2016-09-30,904
2016-10-03,732
2016-10-04,809
2016-10-05,496
2016-10-06,663
2016-10-07,534
2016-10-11,1013
2016-10-12,1100
2016-10-13,1089
2016-10-14,1220
2016-10-17,1344
2016-10-18,1420
2016-10-19,636
2016-10-20,1454
2016-10-21,1433
2016-10-24,1523
2016-10-25,1342
2016-10-26,1038
2016-10-27,1368
2016-10-28,1250
2016-10-31,942
2016-11-01,397
2016-11-02,1347
2016-11-03,900
2016-11-04,1242
2016-11-07,1068
2016-11-08,1213
2016-11-09,621
2016-11-10,1388
2016-11-14,1212
2016-11-15,1079
2016-11-16,945
2016-11-17,1322
2016-11-18,1114
2016-11-21,1557
2016-11-22,1779
2016-11-23,902
