record_date,transaction_today_amt
2020-11-16,7
2020-11-16,113
2020-11-17,4
2020-11-17,252
2020-11-18,8
2020-11-18,145
2020-11-19,7
2020-11-19,101
2020-11-20,10
2020-11-20,97
2020-11-23,8
2020-11-23,89
2020-11-24,7
2020-11-24,147
2020-11-25,35
2020-11-25,74
2020-11-27,68
2020-11-27,9
2020-11-30,7
2020-11-30,86
2020-12-01,10
2020-12-01,204
2020-12-02,8
2020-12-02,94
2020-12-03,96
2020-12-03,48
2020-12-04,70
2020-12-04,5
2020-12-07,-16
2020-12-07,142
2020-12-08,5
2020-12-08,98
2020-12-09,9
2020-12-09,88
2020-12-10,7
2020-12-10,105
2020-12-11,61
2020-12-11,6
2020-12-14,5
2020-12-14,81
2020-12-15,5
2020-12-15,201
2020-12-16,8
2020-12-16,74
2020-12-17,74
2020-12-17,6
2020-12-18,11
2020-12-18,78
2020-12-21,9
2020-12-21,86
2020-12-22,9
2020-12-22,132
2020-12-23,59
2020-12-23,11
2020-12-24,111
2020-12-24,7
2020-12-28,25
2020-12-28,3
2020-12-29,8
2020-12-29,265
2020-12-30,8
2020-12-30,49
2020-12-31,13
2020-12-31,61
2021-01-04,22
2021-01-04,81
2021-01-05,8
2021-01-05,41
2021-01-06,36
2021-01-06,105
2021-01-07,11
2021-01-07,64
2021-01-08,102
2021-01-08,7
2021-01-11,74
2021-01-11,7
2021-01-12,9
2021-01-12,206
2021-01-13,6
2021-01-13,80
2021-01-14,4
2021-01-14,65
2021-01-15,14
2021-01-15,57
2021-01-19,63
2021-01-19,10
2021-01-20,9
2021-01-20,55
2021-01-21,10
2021-01-21,92
2021-01-22,17
2021-01-22,42
2021-01-25,95
2021-01-25,14
2021-01-26,240
2021-01-26,15
2021-01-27,11
2021-01-27,44
2021-01-28,10
2021-01-28,64
2021-01-29,41
2021-01-29,65
2021-02-01,13
2021-02-01,62
2021-02-02,48
2021-02-02,9
2021-02-03,58
2021-02-03,95
2021-02-04,5
2021-02-04,49
2021-02-05,10
2021-02-05,86
2021-02-08,68
2021-02-08,18
2021-02-09,8
2021-02-09,200
2021-02-10,8
2021-02-10,72
2021-02-11,6
2021-02-11,75
2021-02-12,13
2021-02-12,51
2021-02-16,8
2021-02-16,53
2021-02-17,6
2021-02-17,76
2021-02-18,5
2021-02-18,61
2021-02-19,8
2021-02-19,85
2021-02-22,93
2021-02-22,11
2021-02-23,16
2021-02-23,194
2021-02-24,12
2021-02-24,40
2021-02-25,10
2021-02-25,80
2021-02-26,47
2021-02-26,6
2021-03-01,9
2021-03-01,56
2021-03-02,5
2021-03-02,132
2021-03-03,56
2021-03-03,44
2021-03-04,44
2021-03-04,5
2021-03-05,67
2021-03-05,5
2021-03-08,17
2021-03-08,96
2021-03-09,4
2021-03-09,181
2021-03-10,6
2021-03-10,89
2021-03-11,5
2021-03-11,53
2021-03-12,55
2021-03-12,8
2021-03-15,7
2021-03-15,64
2021-03-16,8
2021-03-16,57
2021-03-17,6
2021-03-17,70
2021-03-18,77
2021-03-18,8
2021-03-19,8
2021-03-19,61
2021-03-22,15
2021-03-22,70
2021-03-23,20
2021-03-23,231
2021-03-24,6
2021-03-24,53
2021-03-25,14
2021-03-25,63
2021-03-26,10
2021-03-26,65
2021-03-29,10
2021-03-29,88
2021-03-30,6
2021-03-30,31
2021-03-31,68
2021-03-31,9
2021-04-01,6
2021-04-01,267
2021-04-02,7
2021-04-02,96
2021-04-05,54
2021-04-05,54
2021-04-06,183
2021-04-06,6
2021-04-07,8
2021-04-07,58
2021-04-08,6
2021-04-08,56
2021-04-09,4
2021-04-09,65
2021-04-12,110
2021-04-12,9
2021-04-13,65
2021-04-13,3
2021-04-14,7
2021-04-14,54
2021-04-15,7
2021-04-15,94
2021-04-16,6
2021-04-16,76
2021-04-19,6
2021-04-19,56
2021-04-20,13
2021-04-20,204
2021-04-21,7
2021-04-21,54
2021-04-22,14
2021-04-22,86
2021-04-23,20
2021-04-23,76
2021-04-26,20
2021-04-26,101
2021-04-27,121
2021-04-27,11
2021-04-28,15
2021-04-28,55
2021-04-29,14
2021-04-29,63
2021-04-30,39
2021-04-30,53
2021-05-03,64
2021-05-03,23
2021-05-04,9
2021-05-04,196
2021-05-05,47
2021-05-05,115
2021-05-06,5
2021-05-06,87
2021-05-07,8
2021-05-07,50
2021-05-10,68
2021-05-10,21
2021-05-11,4
2021-05-11,97
2021-05-12,4
2021-05-12,99
2021-05-13,9
2021-05-13,58
2021-05-14,117
2021-05-14,5
2021-05-17,67
2021-05-17,10
2021-05-18,5
2021-05-18,172
2021-05-19,10
2021-05-19,72
2021-05-20,6
2021-05-20,33
2021-05-21,79
2021-05-21,16
2021-05-24,69
2021-05-24,10
2021-05-25,14
2021-05-25,110
2021-05-26,13
2021-05-26,63
2021-05-27,7
2021-05-27,57
2021-05-28,21
2021-05-28,58
2021-06-01,90
2021-06-01,10
2021-06-02,7
2021-06-02,213
2021-06-03,58
2021-06-03,63
2021-06-04,8
2021-06-04,71
2021-06-07,105
2021-06-07,8
2021-06-08,3
2021-06-08,187
2021-06-09,6
2021-06-09,50
2021-06-10,6
2021-06-10,42
2021-06-11,5
2021-06-11,77
2021-06-14,6
2021-06-14,55
2021-06-15,5
2021-06-15,211
2021-06-16,7
2021-06-16,65
2021-06-17,5
2021-06-17,47
2021-06-18,6
2021-06-18,88
2021-06-21,4
2021-06-21,12
2021-06-22,6
2021-06-22,66
2021-06-23,10
2021-06-23,88
2021-06-24,7
2021-06-24,80
2021-06-25,78
2021-06-25,10
2021-06-28,9
2021-06-28,55
2021-06-29,11
2021-06-29,198
2021-06-30,13
2021-06-30,46
2021-07-01,38
2021-07-01,7
2021-07-02,88
2021-07-02,6
2021-07-06,55
2021-07-06,62
2021-07-07,4
2021-07-07,50
2021-07-08,7
2021-07-08,43
2021-07-09,7
2021-07-09,84
2021-07-12,10
2021-07-12,105
2021-07-13,6
2021-07-13,216
2021-07-14,8
2021-07-14,52
2021-07-15,6
2021-07-15,57
2021-07-16,53
2021-07-16,7
2021-07-19,11
2021-07-19,75
2021-07-20,11
2021-07-20,74
2021-07-21,8
2021-07-21,60
2021-07-22,80
2021-07-22,11
2021-07-23,14
2021-07-23,87
2021-07-26,11
2021-07-26,75
2021-07-27,11
2021-07-27,227
2021-07-28,59
2021-07-28,9
2021-07-29,77
2021-07-29,23
2021-07-30,56
2021-07-30,65
2021-08-02,7
2021-08-02,54
2021-08-03,18
2021-08-03,107
2021-08-04,44
2021-08-04,47
2021-08-05,20
2021-08-05,62
2021-08-06,4
2021-08-06,83
2021-08-09,6
2021-08-09,81
2021-08-10,5
2021-08-10,244
2021-08-11,7
2021-08-11,69
2021-08-12,52
2021-08-12,6
2021-08-13,7
2021-08-13,74
2021-08-16,19
2021-08-16,60
2021-08-17,5
2021-08-17,93
2021-08-18,45
2021-08-18,6
2021-08-19,7
2021-08-19,95
2021-08-20,17
2021-08-20,78
2021-08-23,6
2021-08-23,97
2021-08-24,8
2021-08-24,208
2021-08-25,90
2021-08-25,13
2021-08-26,5
2021-08-26,64
2021-08-27,6
2021-08-27,108
2021-08-30,6
2021-08-30,63
2021-08-31,91
2021-08-31,4
2021-09-01,68
2021-09-01,5
2021-09-02,6
2021-09-02,76
2021-09-03,51
2021-09-03,59
2021-09-07,8
2021-09-07,77
2021-09-08,211
2021-09-08,3
2021-09-09,61
2021-09-09,5
2021-09-10,6
2021-09-10,134
2021-09-13,4
2021-09-13,102
2021-09-14,4
2021-09-14,84
2021-09-15,9
2021-09-15,65
2021-09-16,96
2021-09-16,4
2021-09-17,8
2021-09-17,75
2021-09-20,6
2021-09-20,79
2021-09-21,11
2021-09-21,266
2021-09-22,82
2021-09-22,12
2021-09-23,9
2021-09-23,100
2021-09-24,8
2021-09-24,98
2021-09-27,6
2021-09-27,79
2021-09-28,6
2021-09-28,88
2021-09-29,7
2021-09-29,129
2021-09-30,11
2021-09-30,76
2021-10-01,8
2021-10-01,62
2021-10-04,19
2021-10-04,74
2021-10-05,236
2021-10-05,38
2021-10-06,40
2021-10-06,6
2021-10-07,18
2021-10-07,132
2021-10-08,5
2021-10-08,109
2021-10-12,8
2021-10-12,58
2021-10-13,6
2021-10-13,77
2021-10-14,101
2021-10-14,6
2021-10-15,8
2021-10-15,84
2021-10-18,4
2021-10-18,67
2021-10-19,12
2021-10-19,243
2021-10-20,60
2021-10-20,4
2021-10-21,15
2021-10-21,81
2021-10-22,17
2021-10-22,81
2021-10-25,13
2021-10-25,93
2021-10-26,9
2021-10-26,122
2021-10-27,12
2021-10-27,75
2021-10-28,13
2021-10-28,69
2021-10-29,55
2021-10-29,86
2021-11-01,7
2021-11-01,124
2021-11-02,279
2021-11-02,5
2021-11-03,54
2021-11-03,80
2021-11-04,18
2021-11-04,79
2021-11-05,7
2021-11-05,112
2021-11-08,82
2021-11-08,6
2021-11-09,7
2021-11-09,93
2021-11-10,6
2021-11-10,65
2021-11-12,6
2021-11-12,102
2021-11-15,101
