record_date,transaction_today_amt
2023-10-02,208
2023-10-03,1722
2023-10-04,1372
2023-10-05,920
2023-10-06,766
2023-10-10,1297
2023-10-11,2676
2023-10-12,1076
2023-10-13,1669
2023-10-16,1838
2023-10-17,2468
2023-10-18,1698
2023-10-19,2119
2023-10-20,1862
2023-10-23,2424
2023-10-24,2585
2023-10-25,1250
2023-10-26,2516
2023-10-27,1603
2023-10-30,1580
2023-10-31,2069
2023-11-01,721
2023-11-02,1673
2023-11-03,1282
2023-11-06,1838
2023-11-07,2123
2023-11-08,1390
2023-11-09,2127
2023-11-10,24
2023-11-13,1467
2023-11-14,2839
2023-11-15,1066
2023-11-16,2605
2023-11-17,2062
2023-11-20,2540
2023-11-21,3123
2023-11-22,955
2023-11-24,3649
2023-11-27,1088
2023-11-28,1743
2023-11-29,1382
2023-11-30,1464
2023-12-01,735
2023-12-04,3169
2023-12-05,1849
2023-12-06,1106
2023-12-07,2069
2023-12-08,2014
2023-12-11,4428
2023-12-12,3042
2023-12-13,1391
2023-12-14,3009
2023-12-15,2790
2023-12-18,2769
2023-12-19,3164
2023-12-20,1635
2023-12-21,2836
2023-12-22,2139
2023-12-26,3102
2023-12-27,3778
2023-12-28,1461
2023-12-29,1754
2024-01-02,725
2024-01-03,1490
2024-01-04,1030
2024-01-05,1162
2024-01-08,1365
2024-01-09,1783
2024-01-10,877
2024-01-11,1268
2024-01-12,1677
2024-01-16,2223
2024-01-17,2434
2024-01-18,1132
2024-01-19,1852
2024-01-22,1898
2024-01-23,1866
2024-01-24,951
2024-01-25,1968
2024-01-26,1748
2024-01-29,2216
2024-01-30,2263
2024-01-31,518
2024-02-01,602
2024-02-02,1169
2024-02-05,1351
2024-02-06,1369
2024-02-07,1366
2024-02-08,1841
2024-02-09,1420
2024-02-12,1609
2024-02-13,2395
2024-02-14,893
2024-02-15,1600
2024-02-16,1551
2024-02-20,2283
2024-02-21,2336
2024-02-22,1371
2024-02-23,2410
2024-02-26,2020
2024-02-27,3181
2024-02-28,1375
2024-02-29,550
2024-03-01,651
2024-03-04,2594
2024-03-05,2289
2024-03-06,1215
2024-03-07,1256
2024-03-08,1499
2024-03-11,2661
2024-03-12,2083
2024-03-13,1031
2024-03-14,1993
2024-03-15,2049
2024-03-18,1732
2024-03-19,3486
2024-03-20,1186
2024-03-21,1950
2024-03-22,1848
2024-03-25,2079
2024-03-26,2336
2024-03-27,1789
2024-03-28,2373
2024-03-29,1053
2024-04-01,596
2024-04-02,1913
2024-04-03,898
2024-04-04,1451
2024-04-05,1177
2024-04-08,1742
2024-04-09,1927
2024-04-10,985
2024-04-11,1405
2024-04-12,1171
2024-04-15,2265
2024-04-16,2631
2024-04-17,1044
2024-04-18,2754
2024-04-19,1280
2024-04-22,1757
2024-04-23,1856
2024-04-24,1182
2024-04-25,1987
2024-04-26,1856
2024-04-29,1520
2024-04-30,1755
2024-05-01,830
2024-05-02,1852
2024-05-03,1405
2024-05-06,1631
2024-05-07,1834
2024-05-08,1274
2024-05-09,1480
2024-05-10,1671
2024-05-13,2000
2024-05-14,2517
2024-05-15,1489
2024-05-16,1993
2024-05-17,1239
2024-05-20,2047
2024-05-21,2209
2024-05-22,1402
2024-05-23,1794
2024-05-24,1652
2024-05-28,2450
2024-05-29,2416
2024-05-30,1473
2024-05-31,555
2024-06-03,621
2024-06-04,1986
2024-06-05,1017
2024-06-06,2072
2024-06-07,1675
2024-06-10,1850
2024-06-11,2543
2024-06-12,1317
2024-06-13,1625
2024-06-14,1871
2024-06-17,2407
2024-06-18,3445
2024-06-20,1832
2024-06-21,2196
2024-06-24,2003
2024-06-25,3053
2024-06-26,2408
2024-06-27,2194
2024-06-28,1596
2024-07-01,709
2024-07-02,2094
2024-07-03,1338
2024-07-05,1490
2024-07-08,1280
2024-07-09,2026
2024-07-10,1042
2024-07-11,1543
2024-07-12,1409
2024-07-15,1961
2024-07-16,2411
2024-07-17,1173
2024-07-18,2037
2024-07-19,1795
2024-07-22,1945
2024-07-23,2458
2024-07-24,1336
2024-07-25,1664
2024-07-26,2087
2024-07-29,2465
2024-07-30,2280
2024-07-31,449
2024-08-01,694
2024-08-02,1657
2024-08-05,1385
2024-08-06,2490
2024-08-07,1106
2024-08-08,1539
2024-08-09,1480
2024-08-12,2022
2024-08-13,1995
2024-08-14,1203
2024-08-15,2336
2024-08-16,1592
2024-08-19,2279
2024-08-20,2021
2024-08-21,1231
2024-08-22,1806
2024-08-23,1849
2024-08-26,2261
2024-08-27,2928
2024-08-28,1829
2024-08-29,1731
2024-08-30,1512
2024-09-03,656
2024-09-04,2247
2024-09-05,1559
2024-09-06,1430
2024-09-09,2200
2024-09-10,2838
2024-09-11,1461
2024-09-12,2028
2024-09-13,1872
2024-09-16,2373
2024-09-17,4082
2024-09-18,1197
2024-09-19,2758
2024-09-20,2462
2024-09-23,2724
2024-09-24,3048
2024-09-25,1610
2024-09-26,3481
2024-09-27,2362
2024-09-30,1691
2024-10-01,56
2024-10-01,285
2024-10-02,1281
2024-10-02,95
2024-10-03,51
2024-10-03,987
2024-10-04,133
2024-10-04,935
2024-10-07,91
2024-10-07,1702
2024-10-08,39
2024-10-08,1053
2024-10-09,35
2024-10-09,1180
2024-10-10,1759
2024-10-10,60
2024-10-11,41
2024-10-11,1282
2024-10-15,101
2024-10-15,2373
2024-10-16,137
2024-10-16,2075
2024-10-17,51
2024-10-17,998
2024-10-18,2132
2024-10-18,125
2024-10-21,60
2024-10-21,2925
2024-10-22,43
2024-10-22,2749
2024-10-23,56
2024-10-23,1218
2024-10-24,30
2024-10-24,2051
2024-10-25,2118
2024-10-25,60
2024-10-28,2092
2024-10-28,57
2024-10-29,57
2024-10-29,2826
2024-10-30,54
2024-10-30,1273
2024-10-31,31
2024-10-31,603
2024-11-01,66
2024-11-01,704
2024-11-04,124
2024-11-04,1769
2024-11-05,2282
2024-11-05,39
2024-11-06,86
2024-11-06,1325
2024-11-07,45
2024-11-07,1779
2024-11-08,51
2024-11-08,1694
2024-11-12,404
2024-11-12,2425
2024-11-13,2120
2024-11-13,60
2024-11-14,40
2024-11-14,1447
2024-11-15,105
2024-11-15,2287
2024-11-18,85
2024-11-18,2245
2024-11-19,53
2024-11-19,3111
2024-11-20,37
2024-11-20,1575
2024-11-21,3058
2024-11-21,97
2024-11-22,58
2024-11-22,1933
2024-11-25,137
2024-11-25,1850
2024-11-26,107
2024-11-26,3043
2024-11-27,65
2024-11-27,2027
2024-11-29,2105
2024-11-29,117
2024-12-02,50
2024-12-02,617
2024-12-03,43
2024-12-03,2649
2024-12-04,41
2024-12-04,1560
2024-12-05,34
2024-12-05,1896
2024-12-06,1325
2024-12-06,85
2024-12-09,144
2024-12-09,2128
2024-12-10,43
2024-12-10,3708
2024-12-11,42
2024-12-11,2933
2024-12-12,42
2024-12-12,2729
2024-12-13,54
2024-12-13,2055
2024-12-16,2506
2024-12-16,61
2024-12-17,3858
2024-12-17,37
