record_date,transaction_today_amt
2023-02-14,15
2023-02-15,18
2023-02-16,14
2023-02-17,12
2023-02-21,283
2023-02-22,24
2023-02-23,16
2023-02-24,11
2023-02-27,12
2023-02-28,11
2023-03-01,-1
2023-03-02,22
2023-03-03,42
2023-03-06,9
2023-03-07,18
2023-03-08,12
2023-03-09,27
2023-03-10,16
2023-03-13,10
2023-03-14,16
2023-03-15,4
2023-03-16,11
2023-03-17,17
2023-03-20,8
2023-03-21,16
2023-03-22,18
2023-03-23,11
2023-03-24,11
2023-03-27,13
2023-03-28,35
2023-03-29,9
2023-03-30,10
2023-03-31,12
2023-04-03,0
2023-04-04,58
2023-04-05,16
2023-04-06,14
2023-04-07,14
2023-04-10,19
2023-04-11,21
2023-04-12,23
2023-04-13,9
2023-04-14,13
2023-04-17,19
2023-04-18,12
2023-04-19,15
2023-04-20,21
2023-04-21,24
2023-04-24,17
2023-04-25,12
2023-04-26,7
2023-04-27,51
2023-04-28,10
2023-05-01,0
2023-05-02,18
2023-05-03,43
2023-05-04,30
2023-05-05,28
2023-05-08,18
2023-05-09,18
2023-05-10,13
2023-05-11,18
2023-05-12,31
2023-05-15,13
2023-05-16,17
2023-05-17,17
2023-05-18,13
2023-05-19,21
2023-05-22,8
2023-05-23,8
2023-05-24,36
2023-05-25,6
2023-05-26,9
2023-05-30,18
2023-05-31,8
2023-06-01,0
2023-06-02,53
2023-06-05,6
2023-06-06,23
2023-06-07,23
2023-06-08,17
2023-06-09,19
2023-06-12,5
2023-06-13,15
2023-06-14,20
2023-06-15,30
2023-06-16,13
2023-06-20,15
2023-06-21,20
2023-06-22,18
2023-06-23,15
2023-06-26,8
2023-06-27,13
2023-06-28,13
2023-06-29,31
2023-06-30,35
2023-07-03,0
2023-07-05,12
2023-07-06,12
2023-07-07,17
2023-07-10,7
2023-07-11,27
2023-07-12,25
2023-07-13,29
2023-07-14,7
2023-07-17,65
2023-07-18,48
2023-07-19,22
2023-07-20,11
2023-07-21,15
2023-07-24,11
2023-07-25,32
2023-07-26,17
2023-07-27,9
2023-07-28,56
2023-07-31,45
2023-08-01,-1
2023-08-02,57
2023-08-03,15
2023-08-04,13
2023-08-07,10
2023-08-08,25
2023-08-09,23
2023-08-10,12
2023-08-11,7
2023-08-14,7
2023-08-15,40
2023-08-16,15
2023-08-17,20
2023-08-18,21
2023-08-21,44
2023-08-22,17
2023-08-23,15
2023-08-24,18
2023-08-25,7
2023-08-28,17
2023-08-29,21
2023-08-30,16
2023-08-31,18
2023-09-01,0
2023-09-05,74
2023-09-06,15
2023-09-07,23
2023-09-08,24
2023-09-11,13
2023-09-12,17
2023-09-13,41
2023-09-14,15
2023-09-15,18
2023-09-18,30
2023-09-19,25
2023-09-20,12
2023-09-21,4
2023-09-22,18
2023-09-25,19
2023-09-26,13
2023-09-27,18
2023-09-28,40
2023-09-29,26
2023-10-02,0
2023-10-03,0
2023-10-04,0
2023-10-05,0
2023-10-06,0
2023-10-10,0
2023-10-11,40
2023-10-12,62
2023-10-13,22
2023-10-16,199
2023-10-17,16
2023-10-18,18
2023-10-19,8
2023-10-20,13
2023-10-23,23
2023-10-24,18
2023-10-25,23
2023-10-26,17
2023-10-27,21
2023-10-30,10
2023-10-31,12
2023-11-01,0
2023-11-02,27
2023-11-03,14
2023-11-06,16
2023-11-07,18
2023-11-08,26
2023-11-09,41
2023-11-10,0
2023-11-13,15
2023-11-14,22
2023-11-15,26
2023-11-16,28
2023-11-17,25
2023-11-20,57
2023-11-21,15
2023-11-22,30
2023-11-24,16
2023-11-27,9
2023-11-28,13
2023-11-29,21
2023-11-30,4
2023-12-01,0
2023-12-04,31
2023-12-05,10
2023-12-06,10
2023-12-07,23
2023-12-08,21
2023-12-11,22
2023-12-12,34
2023-12-13,14
2023-12-14,8
2023-12-15,22
2023-12-18,19
2023-12-19,32
2023-12-20,55
2023-12-21,22
2023-12-22,23
2023-12-26,26
2023-12-27,61
2023-12-28,8
2023-12-29,8
2024-01-02,0
2024-01-03,18
2024-01-04,14
2024-01-05,16
2024-01-08,12
2024-01-09,19
2024-01-10,24
2024-01-11,22
2024-01-12,15
2024-01-16,33
2024-01-17,14
2024-01-18,13
2024-01-19,29
2024-01-22,11
2024-01-23,16
2024-01-24,34
2024-01-25,25
2024-01-26,17
2024-01-29,17
2024-01-30,18
2024-01-31,19
2024-02-01,1
2024-02-02,55
2024-02-05,15
2024-02-06,17
2024-02-07,10
2024-02-08,24
2024-02-09,13
2024-02-12,22
2024-02-13,51
2024-02-14,16
2024-02-15,24
2024-02-16,24
2024-02-20,14
2024-02-21,29
2024-02-22,9
2024-02-23,13
2024-02-26,8
2024-02-27,15
2024-02-28,16
2024-02-29,5
2024-03-01,2
2024-03-04,23
2024-03-05,22
2024-03-06,62
2024-03-07,12
2024-03-08,5
2024-03-11,20
2024-03-12,9
2024-03-13,21
2024-03-14,21
2024-03-15,67
2024-03-18,5
2024-03-19,23
2024-03-20,16
2024-03-21,21
2024-03-22,14
2024-03-25,11
2024-03-26,11
2024-03-27,13
2024-03-28,41
2024-03-29,12
2024-04-01,0
2024-04-02,24
2024-04-03,10
2024-04-04,11
2024-04-05,8
2024-04-08,20
2024-04-09,33
2024-04-10,16
2024-04-11,17
2024-04-12,27
2024-04-15,9
2024-04-16,19
2024-04-17,9
2024-04-18,30
2024-04-19,19
2024-04-22,13
2024-04-23,6
2024-04-24,36
2024-04-25,9
2024-04-26,18
2024-04-29,9
2024-04-30,15
2024-05-01,0
2024-05-02,33
2024-05-03,12
2024-05-06,14
2024-05-07,19
2024-05-08,51
2024-05-09,20
2024-05-10,26
2024-05-13,37
2024-05-14,67
2024-05-15,14
2024-05-16,24
2024-05-17,29
2024-05-20,10
2024-05-21,22
2024-05-22,12
2024-05-23,11
2024-05-24,19
2024-05-28,10
2024-05-29,17
2024-05-30,14
2024-05-31,26
2024-06-03,0
2024-06-04,23
2024-06-05,45
2024-06-06,14
2024-06-07,17
2024-06-10,13
2024-06-11,19
2024-06-12,34
2024-06-13,9
2024-06-14,11
2024-06-17,11
2024-06-18,14
2024-06-20,40
2024-06-21,23
2024-06-24,7
2024-06-25,16
2024-06-26,15
2024-06-27,14
2024-06-28,28
2024-07-01,0
2024-07-02,-10
2024-07-03,30
2024-07-05,22
2024-07-08,42
2024-07-09,8
2024-07-10,16
2024-07-11,22
2024-07-12,22
2024-07-15,15
2024-07-16,27
2024-07-17,10
2024-07-18,26
2024-07-19,11
2024-07-22,12
2024-07-23,15
2024-07-24,25
2024-07-25,48
2024-07-26,26
2024-07-29,20
2024-07-30,9
2024-07-31,14
2024-08-01,0
2024-08-02,49
2024-08-05,14
2024-08-06,26
2024-08-07,16
2024-08-08,17
2024-08-09,21
2024-08-12,19
2024-08-13,23
2024-08-14,19
2024-08-15,14
2024-08-16,39
2024-08-19,20
2024-08-20,29
2024-08-21,19
2024-08-22,20
2024-08-23,15
2024-08-26,9
2024-08-27,31
2024-08-28,304
2024-08-29,20
2024-08-30,17
2024-09-03,0
2024-09-04,63
2024-09-05,17
2024-09-06,11
2024-09-09,18
2024-09-10,19
2024-09-11,18
2024-09-12,21
2024-09-13,19
2024-09-16,8
2024-09-17,37
2024-09-18,20
2024-09-19,17
2024-09-20,31
2024-09-23,17
2024-09-24,31
2024-09-25,24
2024-09-26,11
2024-09-27,45
2024-09-30,20
2024-10-01,0
2024-10-02,0
2024-10-03,0
2024-10-04,11
2024-10-07,0
2024-10-08,38
2024-10-09,28
2024-10-10,20
2024-10-11,33
2024-10-15,15
2024-10-16,34
2024-10-17,34
2024-10-18,15
2024-10-21,10
2024-10-22,33
2024-10-23,15
2024-10-24,24
2024-10-25,18
2024-10-28,15
2024-10-29,22
2024-10-30,18
2024-10-31,12
2024-11-01,0
2024-11-04,33
2024-11-05,44
2024-11-06,33
2024-11-07,20
2024-11-08,27
2024-11-12,30
2024-11-13,12
2024-11-14,30
2024-11-15,43
2024-11-18,11
2024-11-19,16
2024-11-20,35
2024-11-21,21
2024-11-22,16
2024-11-25,14
2024-11-26,20
2024-11-27,23
2024-11-29,22
2024-12-02,0
2024-12-03,27
2024-12-04,3
2024-12-05,25
2024-12-06,19
2024-12-09,25
2024-12-10,34
2024-12-11,48
2024-12-12,14
2024-12-13,41
2024-12-16,35
2024-12-17,29
2024-12-18,27
2024-12-19,48
2024-12-20,49
2024-12-23,11
2024-12-24,27
2024-12-26,0
2024-12-27,15
2024-12-30,17
2024-12-31,10
2025-01-02,0
2025-01-03,62
2025-01-06,5
2025-01-07,10
2025-01-08,13
2025-01-09,22
2025-01-10,0
2025-01-13,19
2025-01-14,18
2025-01-15,24
2025-01-16,18
2025-01-17,13
2025-01-21,20
2025-01-22,32
2025-01-23,17
2025-01-24,25
2025-01-27,11
2025-01-28,27
2025-01-29,29
2025-01-30,30
2025-01-31,14
2025-02-03,0
2025-02-04,33
2025-02-05,17
2025-02-06,25
2025-02-07,16
2025-02-10,15
2025-02-11,33
2025-02-12,15
2025-02-13,40
2025-02-14,18
2025-02-18,24
2025-02-19,32
2025-02-20,51
2025-02-21,19
2025-02-24,12
2025-02-25,27
2025-02-26,9
2025-02-27,13
2025-02-28,12
2025-03-03,0
2025-03-04,34
2025-03-05,39
2025-03-06,22
2025-03-07,22
2025-03-10,25
2025-03-11,21
2025-03-12,8
2025-03-13,38
2025-03-14,14
2025-03-17,12
2025-03-18,19
2025-03-19,27
2025-03-20,17
2025-03-21,14
2025-03-24,12
2025-03-25,9
2025-03-26,22
2025-03-27,14
2025-03-28,35
2025-03-31,9
2025-04-01,3
2025-04-02,14
2025-04-03,22
2025-04-04,13
2025-04-07,13
2025-04-08,13
2025-04-09,32
2025-04-10,12
2025-04-11,14
2025-04-14,9
2025-04-15,50
2025-04-16,12
2025-04-17,10
2025-04-18,19
2025-04-21,38
2025-04-22,14
2025-04-23,17
2025-04-24,16
2025-04-25,18
2025-04-28,18
2025-04-29,14
2025-04-30,19
2025-05-01,0
2025-05-02,35
2025-05-05,25
2025-05-06,22
2025-05-07,17
2025-05-08,59
2025-05-09,19
2025-05-12,11
2025-05-13,16
2025-05-14,19
2025-05-15,11
2025-05-16,26
2025-05-19,49
2025-05-20,17
2025-05-21,12
2025-05-22,24
2025-05-23,10
2025-05-27,56
2025-05-28,5
2025-05-29,19
2025-05-30,32
2025-06-02,0
2025-06-03,30
2025-06-04,14
2025-06-05,30
2025-06-06,28
2025-06-09,18
2025-06-10,21
2025-06-11,29
2025-06-12,26
2025-06-13,22
2025-06-16,13
2025-06-17,22
2025-06-18,22
2025-06-20,27
2025-06-23,27
2025-06-24,14
2025-06-25,19
2025-06-26,26
2025-06-27,9
2025-06-30,11
2025-07-01,0
2025-07-02,31
2025-07-03,46
2025-07-07,22
2025-07-08,13
2025-07-09,12
2025-07-10,19
2025-07-11,18
2025-07-14,40
2025-07-15,18
2025-07-16,22
2025-07-17,20
2025-07-18,19
2025-07-21,22
2025-07-22,24
2025-07-23,19
2025-07-24,14
2025-07-25,11
2025-07-28,31
2025-07-29,44
2025-07-30,27
2025-07-31,17
2025-08-01,0
2025-08-04,31
2025-08-05,11
2025-08-06,19
2025-08-07,25
2025-08-08,23
2025-08-11,24
2025-08-12,6
2025-08-13,35
2025-08-14,22
2025-08-15,-219
2025-08-18,24
2025-08-19,15
2025-08-20,22
2025-08-21,28
2025-08-22,36
2025-08-25,37
2025-08-26,23
2025-08-27,7
2025-08-28,17
2025-08-29,24
2025-09-02,0
