record_date,transaction_today_amt
2023-10-02,409
2023-10-03,1
2023-10-04,2
2023-10-05,1
2023-10-06,3
2023-10-10,5
2023-10-11,2
2023-10-12,1
2023-10-13,2
2023-10-16,3
2023-10-17,2
2023-10-18,2
2023-10-19,1
2023-10-20,3
2023-10-23,3
2023-10-24,2
2023-10-25,0
2023-10-26,0
2023-10-27,2
2023-10-30,1
2023-10-31,1
2023-11-01,5589
2023-11-02,1
2023-11-03,3
2023-11-06,3
2023-11-07,2
2023-11-08,2
2023-11-09,1
2023-11-10,0
2023-11-13,5
2023-11-14,1
2023-11-15,3
2023-11-16,1
2023-11-17,2
2023-11-20,3
2023-11-21,2
2023-11-22,1
2023-11-24,0
2023-11-27,2
2023-11-28,0
2023-11-29,0
2023-11-30,0
2023-12-01,5590
2023-12-04,3
2023-12-05,1
2023-12-06,2
2023-12-07,1
2023-12-08,3
2023-12-11,4
2023-12-12,1
2023-12-13,0
2023-12-14,0
2023-12-15,2
2023-12-18,1
2023-12-19,1
2023-12-20,0
2023-12-21,0
2023-12-22,0
2023-12-26,1
2023-12-27,0
2023-12-28,0
2023-12-29,5341
2024-01-02,437
2024-01-03,0
2024-01-04,1
2024-01-05,2
2024-01-08,3
2024-01-09,2
2024-01-10,3
2024-01-11,1
2024-01-12,3
2024-01-16,6
2024-01-17,2
2024-01-18,2
2024-01-19,2
2024-01-22,2
2024-01-23,1
2024-01-24,3
2024-01-25,0
2024-01-26,1
2024-01-29,1
2024-01-30,1
2024-01-31,0
2024-02-01,5786
2024-02-02,2
2024-02-05,4
2024-02-06,1
2024-02-07,3
2024-02-08,1
2024-02-09,2
2024-02-12,5
2024-02-13,1
2024-02-14,1
2024-02-15,1
2024-02-16,2
2024-02-20,5
2024-02-21,2
2024-02-22,2
2024-02-23,1
2024-02-26,1
2024-02-27,1
2024-02-28,0
2024-02-29,0
2024-03-01,5780
2024-03-04,4
2024-03-05,1
2024-03-06,2
2024-03-07,1
2024-03-08,2
2024-03-11,3
2024-03-12,1
2024-03-13,1
2024-03-14,1
2024-03-15,3
2024-03-18,6
2024-03-19,2
2024-03-20,1
2024-03-21,1
2024-03-22,5
2024-03-25,0
2024-03-26,1
2024-03-27,0
2024-03-28,1
2024-03-29,2
2024-04-01,5778
2024-04-02,1
2024-04-03,1
2024-04-04,1
2024-04-05,3
2024-04-08,7
2024-04-09,2
2024-04-10,1
2024-04-11,1
2024-04-12,2
2024-04-15,5
2024-04-16,2
2024-04-17,1
2024-04-18,1
2024-04-19,2
2024-04-22,4
2024-04-23,2
2024-04-24,0
2024-04-25,0
2024-04-26,1
2024-04-29,1
2024-04-30,1
2024-05-01,5774
2024-05-02,1
2024-05-03,3
2024-05-06,3
2024-05-07,2
2024-05-08,1
2024-05-09,1
2024-05-10,2
2024-05-13,4
2024-05-14,2
2024-05-15,1
2024-05-16,1
2024-05-17,3
2024-05-20,5
2024-05-21,2
2024-05-22,1
2024-05-23,0
2024-05-24,2
2024-05-28,1
2024-05-29,1
2024-05-30,0
2024-05-31,5356
2024-06-03,421
2024-06-04,2
2024-06-05,2
2024-06-06,1
2024-06-07,3
2024-06-10,7
2024-06-11,2
2024-06-12,1
2024-06-13,1
