record_date,transaction_today_amt
2021-01-13,0
2021-01-14,570
2021-01-15,10785
2021-01-19,3311
2021-01-20,0
2021-01-21,4092
2021-01-22,249
2021-01-25,963
2021-01-26,2218
2021-01-27,528
2021-01-28,159
2021-01-29,400
2021-02-01,238
2021-02-02,-1
2021-02-03,4
2021-02-04,5
2021-02-05,13
2021-02-08,70
2021-02-09,14
2021-02-10,2
2021-02-11,32
2021-02-12,20
2021-02-16,0
2021-02-17,1
2021-02-18,0
2021-02-19,1
2021-02-22,16
2021-02-23,0
2021-02-24,0
2021-02-25,0
2021-02-26,0
2021-03-01,0
2021-03-02,0
2021-03-03,0
2021-03-04,0
2021-03-05,0
2021-03-08,0
2021-03-09,0
2021-03-10,0
2021-03-11,0
2021-03-12,0
2021-03-15,0
2021-03-16,0
2021-03-17,0
2021-03-18,0
2021-03-19,0
2021-03-22,0
2021-03-23,0
2021-03-24,0
2021-03-25,0
2021-03-26,0
2021-03-29,0
2021-03-30,0
2021-03-31,0
2021-04-01,0
2021-04-02,0
2021-04-05,0
2021-04-06,0
2021-04-07,0
2021-04-08,0
2021-04-09,0
2021-04-12,0
2021-04-13,0
2021-04-14,0
2021-04-15,0
2021-04-16,0
2021-04-19,0
2021-04-20,0
2021-04-21,0
2021-04-22,0
2021-04-23,0
2021-04-26,0
2021-04-27,0
2021-04-28,0
2021-04-29,0
2021-04-30,0
2021-05-03,0
2021-05-04,0
2021-05-05,0
2021-05-06,0
2021-05-07,44
2021-05-10,825
2021-05-11,1375
2021-05-12,1525
2021-05-13,51
2021-05-14,662
2021-05-17,43
2021-05-18,713
2021-05-19,78
2021-05-20,825
2021-05-21,113
2021-05-24,154
2021-05-25,0
2021-05-26,5
2021-05-27,775
2021-05-28,0
2021-06-01,11
2021-06-02,24
2021-06-03,5
2021-06-04,310
2021-06-07,0
2021-06-08,54
2021-06-09,5
2021-06-10,6
2021-06-11,0
2021-06-14,0
2021-06-15,27
2021-06-16,0
2021-06-17,8
2021-06-18,0
