record_date,transaction_today_amt
2020-07-13,159
2020-07-13,20
2020-07-14,36
2020-07-14,0
2020-07-15,132
2020-07-15,20
2020-07-16,2
2020-07-16,8
2020-07-17,1
2020-07-17,0
2020-07-20,40
2020-07-20,1
2020-07-21,3
2020-07-21,0
2020-07-22,1
2020-07-22,14
2020-07-23,0
2020-07-23,20
2020-07-24,1
2020-07-24,0
2020-07-27,31
2020-07-27,1
2020-07-28,1
2020-07-28,0
2020-07-29,1
2020-07-29,17
2020-07-30,6
2020-07-30,484
2020-07-31,3
2020-07-31,0
2020-08-03,0
2020-08-03,3
2020-08-04,4
2020-08-04,0
2020-08-05,5
2020-08-05,45
2020-08-06,130
2020-08-06,3
2020-08-07,0
2020-08-07,13
2020-08-10,38
2020-08-10,40
2020-08-11,76
2020-08-11,0
2020-08-12,67
2020-08-12,14
2020-08-13,24
2020-08-13,0
2020-08-14,271
2020-08-14,0
2020-08-17,29
2020-08-17,14
2020-08-18,4
2020-08-18,10
2020-08-19,1
2020-08-19,13
2020-08-20,5
2020-08-20,0
2020-08-21,1
2020-08-21,0
2020-08-24,36
2020-08-24,1
2020-08-25,2
2020-08-25,16
2020-08-26,1
2020-08-26,16
2020-08-27,3
2020-08-27,0
2020-08-28,496
2020-08-28,1
2020-08-31,9
2020-08-31,1
2020-09-01,4
2020-09-01,0
2020-09-02,2
2020-09-02,0
2020-09-03,3
2020-09-03,15
2020-09-04,7
2020-09-04,7
2020-09-08,45
2020-09-08,132
2020-09-09,56
2020-09-09,38
2020-09-10,194
2020-09-10,36
2020-09-11,38
2020-09-11,0
2020-09-14,63
2020-09-14,13
2020-09-15,0
2020-09-15,142
2020-09-16,2
2020-09-16,34
2020-09-17,3
2020-09-17,9
2020-09-18,5
2020-09-18,0
2020-09-21,25
2020-09-21,1
2020-09-22,0
2020-09-22,3
2020-09-23,2
2020-09-23,35
2020-09-24,1
2020-09-24,0
2020-09-25,1
2020-09-25,0
2020-09-28,3
2020-09-28,24
2020-09-29,502
2020-09-29,3
2020-09-30,1
2020-09-30,17
2020-10-01,1
2020-10-01,0
2020-10-02,3
2020-10-02,0
2020-10-05,2
2020-10-05,42
2020-10-06,0
2020-10-06,5
2020-10-07,156
2020-10-07,46
2020-10-08,32
2020-10-08,39
2020-10-09,127
2020-10-09,1
2020-10-13,88
2020-10-13,14
2020-10-14,24
2020-10-14,86
2020-10-15,138
2020-10-15,0
2020-10-16,12
2020-10-16,7
2020-10-19,1
2020-10-19,30
2020-10-20,1
2020-10-20,0
2020-10-21,18
2020-10-21,2
2020-10-22,1
2020-10-22,0
2020-10-23,1
2020-10-23,11
2020-10-26,1
2020-10-26,20
2020-10-27,4
2020-10-27,0
2020-10-28,2
2020-10-28,16
2020-10-29,8
2020-10-29,490
2020-10-30,5
2020-10-30,0
2020-11-02,5
2020-11-02,0
2020-11-03,0
2020-11-03,5
2020-11-04,45
2020-11-04,27
2020-11-05,19
2020-11-05,7
2020-11-06,210
