record_date,transaction_today_amt
2016-01-04,1769
2016-01-05,764
2016-01-06,135
2016-01-07,719
2016-01-08,42
2016-01-11,55
2016-01-12,64
2016-01-13,68
2016-01-14,80
2016-01-15,3346
2016-01-19,1636
2016-01-20,132
2016-01-21,766
2016-01-22,79
2016-01-25,43
2016-01-26,34
2016-01-27,62
2016-01-28,52
2016-01-29,3360
2016-02-01,1850
2016-02-02,680
2016-02-03,98
2016-02-04,768
2016-02-05,116
2016-02-08,76
2016-02-09,56
2016-02-10,74
2016-02-11,45
2016-02-12,3306
2016-02-16,1655
2016-02-17,63
2016-02-18,720
2016-02-19,78
2016-02-22,70
2016-02-23,74
2016-02-24,79
2016-02-25,58
2016-02-26,3222
2016-02-29,1466
2016-03-01,737
2016-03-02,121
2016-03-03,736
2016-03-04,413
2016-03-07,60
2016-03-08,48
2016-03-09,84
2016-03-10,80
2016-03-11,3178
2016-03-14,1361
2016-03-15,416
2016-03-16,71
2016-03-17,726
2016-03-18,93
2016-03-21,74
2016-03-22,53
2016-03-23,80
2016-03-24,59
2016-03-25,3202
2016-03-28,1382
2016-03-29,349
2016-03-30,122
2016-03-31,771
2016-04-01,463
2016-04-04,42
2016-04-05,458
2016-04-06,44
2016-04-07,47
2016-04-08,3209
2016-04-11,1369
2016-04-12,343
2016-04-13,102
2016-04-14,699
2016-04-15,150
2016-04-18,51
2016-04-19,81
2016-04-20,143
2016-04-21,74
2016-04-22,3177
2016-04-25,1415
2016-04-26,351
2016-04-27,88
2016-04-28,711
2016-04-29,357
2016-05-02,183
2016-05-03,454
2016-05-04,69
2016-05-05,60
2016-05-06,3178
2016-05-09,1396
2016-05-10,347
2016-05-11,111
2016-05-12,730
2016-05-13,194
2016-05-16,52
2016-05-17,83
2016-05-18,106
2016-05-19,59
2016-05-20,3206
2016-05-23,1393
2016-05-24,315
2016-05-25,151
2016-05-26,717
2016-05-27,87
2016-05-31,100
2016-06-01,481
2016-06-02,87
2016-06-03,3535
2016-06-06,1392
2016-06-07,388
2016-06-08,107
2016-06-09,734
2016-06-10,111
2016-06-13,66
2016-06-14,69
2016-06-15,153
2016-06-16,58
2016-06-17,3278
2016-06-20,1435
2016-06-21,382
2016-06-22,107
2016-06-23,738
2016-06-24,93
2016-06-27,94
2016-06-28,137
2016-06-29,82
2016-06-30,66
2016-07-01,3655
2016-07-05,1766
2016-07-06,443
2016-07-07,714
2016-07-08,74
2016-07-11,46
2016-07-12,82
2016-07-13,97
2016-07-14,85
2016-07-15,3299
2016-07-18,1404
2016-07-19,397
2016-07-20,118
2016-07-21,739
2016-07-22,74
2016-07-25,68
2016-07-26,125
2016-07-27,98
2016-07-28,58
2016-07-29,3238
2016-08-01,1874
2016-08-02,772
2016-08-03,135
2016-08-04,732
2016-08-05,84
2016-08-08,54
2016-08-09,98
2016-08-10,87
2016-08-11,89
2016-08-12,3213
2016-08-15,1532
2016-08-16,384
2016-08-17,87
2016-08-18,725
2016-08-19,103
2016-08-22,41
2016-08-23,74
2016-08-24,85
2016-08-25,64
2016-08-26,3243
2016-08-29,1424
2016-08-30,356
2016-08-31,142
2016-09-01,1149
2016-09-02,449
2016-09-06,84
2016-09-07,63
2016-09-08,77
2016-09-09,3266
2016-09-12,1443
2016-09-13,365
2016-09-14,127
2016-09-15,869
2016-09-16,64
2016-09-19,65
2016-09-20,146
2016-09-21,126
2016-09-22,90
2016-09-23,3327
2016-09-26,1480
2016-09-27,358
2016-09-28,196
2016-09-29,764
2016-09-30,486
2016-10-03,257
2016-10-04,409
2016-10-05,102
2016-10-06,50
2016-10-07,3221
2016-10-11,1692
2016-10-12,98
2016-10-13,753
2016-10-14,257
2016-10-17,42
2016-10-18,61
2016-10-19,55
2016-10-20,91
2016-10-21,3250
2016-10-24,1421
2016-10-25,331
2016-10-26,92
2016-10-27,721
2016-10-28,61
2016-10-31,87
2016-11-01,505
2016-11-02,418
2016-11-03,65
2016-11-04,3284
2016-11-07,1412
2016-11-08,369
2016-11-09,106
2016-11-10,729
2016-11-14,60
2016-11-15,177
2016-11-16,45
2016-11-17,59
2016-11-18,3380
2016-11-21,1516
2016-11-22,364
2016-11-23,764
2016-11-25,90
2016-11-28,53
2016-11-29,44
2016-11-30,134
2016-12-01,473
2016-12-02,3632
2016-12-05,1532
2016-12-06,374
2016-12-07,101
2016-12-08,783
2016-12-09,72
2016-12-12,36
2016-12-13,61
2016-12-14,107
2016-12-15,176
2016-12-16,3404
2016-12-19,1572
2016-12-20,361
2016-12-21,124
2016-12-22,779
2016-12-23,107
2016-12-27,94
2016-12-28,93
2016-12-29,38
2016-12-30,3515
2017-01-03,2060
2017-01-04,70
2017-01-05,747
2017-01-06,63
2017-01-09,52
2017-01-10,46
2017-01-11,80
2017-01-12,52
2017-01-13,3411
2017-01-17,1700
2017-01-18,114
2017-01-19,761
2017-01-20,102
2017-01-23,101
2017-01-24,71
2017-01-25,67
2017-01-26,41
2017-01-27,3462
2017-01-30,1537
2017-01-31,888
2017-02-01,490
2017-02-02,1087
2017-02-03,114
2017-02-06,58
2017-02-07,55
2017-02-08,91
2017-02-09,74
2017-02-10,3305
2017-02-13,1398
2017-02-14,359
2017-02-15,186
2017-02-16,742
2017-02-17,83
2017-02-21,57
2017-02-22,115
2017-02-23,51
2017-02-24,3270
2017-02-27,1438
2017-02-28,387
2017-03-01,491
2017-03-02,1104
2017-03-03,92
2017-03-06,53
2017-03-07,83
2017-03-08,90
2017-03-09,48
2017-03-10,3317
2017-03-13,1466
2017-03-14,331
2017-03-15,152
2017-03-16,754
2017-03-17,62
2017-03-20,53
2017-03-21,69
2017-03-22,138
2017-03-23,68
2017-03-24,3334
2017-03-27,1427
2017-03-28,343
2017-03-29,96
2017-03-30,727
2017-03-31,433
2017-04-03,149
2017-04-04,431
2017-04-05,165
2017-04-06,54
2017-04-07,3268
2017-04-10,1386
2017-04-11,353
2017-04-12,103
2017-04-13,716
2017-04-14,144
2017-04-17,34
2017-04-18,106
2017-04-19,78
2017-04-20,57
2017-04-21,3251
2017-04-24,1417
2017-04-25,335
2017-04-26,96
2017-04-27,723
2017-04-28,111
2017-05-01,492
2017-05-02,425
2017-05-03,96
2017-05-04,58
2017-05-05,3293
2017-05-08,1394
2017-05-09,349
2017-05-10,66
2017-05-11,718
2017-05-12,72
2017-05-15,167
2017-05-16,55
2017-05-17,78
2017-05-18,78
2017-05-19,3296
2017-05-22,1439
2017-05-23,358
2017-05-24,76
2017-05-25,750
2017-05-26,61
2017-05-30,38
2017-05-31,178
2017-06-01,463
2017-06-02,3582
2017-06-05,1457
2017-06-06,364
2017-06-07,82
2017-06-08,734
2017-06-09,78
2017-06-12,47
2017-06-13,58
2017-06-14,105
2017-06-15,177
2017-06-16,3351
2017-06-19,1439
2017-06-20,397
2017-06-21,75
2017-06-22,743
2017-06-23,65
2017-06-26,58
2017-06-27,89
2017-06-28,94
2017-06-29,94
2017-06-30,3645
