record_date,transaction_today_amt
2016-10-03,639
2016-10-04,1
2016-10-05,1
2016-10-06,1070
2016-10-07,23
2016-10-11,47
2016-10-12,4
2016-10-13,24
2016-10-14,7
2016-10-17,86
2016-10-18,4
2016-10-19,9
2016-10-20,47
2016-10-21,30
2016-10-24,10
2016-10-25,60
2016-10-26,8
2016-10-27,56
2016-10-28,3
2016-10-31,32
2016-11-01,513
2016-11-02,7
2016-11-03,88
2016-11-04,9
2016-11-07,180
2016-11-08,14
2016-11-09,1
2016-11-10,164
2016-11-14,851
2016-11-15,293
2016-11-16,5
2016-11-17,45
2016-11-18,6
2016-11-21,8
2016-11-22,8
2016-11-23,30
2016-11-25,7
2016-11-28,323
2016-11-29,5
2016-11-30,36
2016-12-01,1202
2016-12-02,32
2016-12-05,43
2016-12-06,9
2016-12-07,13
2016-12-08,141
2016-12-09,5
2016-12-12,4
2016-12-13,121
2016-12-14,23
2016-12-15,110
2016-12-16,10
2016-12-19,170
2016-12-20,40
2016-12-21,394
2016-12-22,113
2016-12-23,71
2016-12-27,131
2016-12-28,9
2016-12-29,8
2016-12-30,76
2017-01-03,1144
2017-01-04,208
2017-01-05,82
2017-01-06,97
2017-01-09,3
2017-01-10,5
2017-01-11,59
2017-01-12,94
2017-01-13,16
2017-01-17,10
2017-01-18,265
2017-01-19,16
2017-01-20,6
2017-01-23,412
2017-01-24,8
2017-01-25,161
2017-01-26,3
2017-01-27,17
2017-01-30,10
2017-01-31,18
2017-02-01,508
2017-02-02,16
2017-02-03,14
2017-02-06,6
2017-02-07,8
2017-02-08,3
2017-02-09,144
2017-02-10,5
2017-02-13,3
2017-02-14,4
2017-02-15,18
2017-02-16,30
2017-02-17,24
2017-02-21,17
2017-02-22,4
2017-02-23,66
2017-02-24,38
2017-02-27,5
2017-02-28,25
2017-03-01,1026
2017-03-02,58
2017-03-03,43
2017-03-06,384
2017-03-07,7
2017-03-08,2
2017-03-09,136
2017-03-10,72
2017-03-13,24
2017-03-14,11
2017-03-15,133
2017-03-16,134
2017-03-17,13
2017-03-20,26
2017-03-21,228
2017-03-22,11
2017-03-23,45
2017-03-24,20
2017-03-27,157
2017-03-28,115
2017-03-29,3
2017-03-30,21
2017-03-31,9
2017-04-03,1041
2017-04-04,12
2017-04-05,15
2017-04-06,51
2017-04-07,5
2017-04-10,3
2017-04-11,4
2017-04-12,6
2017-04-13,82
2017-04-14,48
2017-04-17,68
2017-04-18,7
2017-04-19,4
2017-04-20,35
2017-04-21,5
2017-04-24,26
2017-04-25,38
2017-04-26,8
2017-04-27,116
2017-04-28,9
2017-05-01,1031
2017-05-02,15
2017-05-03,26
2017-05-04,40
2017-05-05,8
2017-05-08,4
2017-05-09,3
2017-05-10,25
2017-05-11,165
2017-05-12,74
2017-05-15,3
2017-05-16,9
2017-05-17,14
2017-05-18,19
2017-05-19,18
2017-05-22,3
2017-05-23,3
2017-05-24,89
2017-05-25,82
2017-05-26,5
2017-05-30,19
2017-05-31,4
2017-06-01,1334
2017-06-02,7
2017-06-05,27
2017-06-06,24
2017-06-07,13
2017-06-08,59
2017-06-09,23
2017-06-12,90
2017-06-13,7
2017-06-14,14
2017-06-15,801
2017-06-16,15
2017-06-19,6
2017-06-20,469
2017-06-21,41
2017-06-22,48
2017-06-23,46
2017-06-26,7
2017-06-27,53
2017-06-28,24
2017-06-29,1116
2017-06-30,128
2017-07-03,1269
2017-07-05,33
2017-07-06,35
2017-07-07,29
2017-07-10,20
2017-07-11,5
2017-07-12,3
2017-07-13,67
2017-07-14,14
2017-07-17,2
2017-07-18,33
2017-07-19,2
2017-07-20,61
2017-07-21,9
2017-07-24,2
2017-07-25,2
2017-07-26,11
2017-07-27,147
2017-07-28,5
2017-07-31,3
2017-08-01,1369
2017-08-02,3
2017-08-03,41
2017-08-04,28
2017-08-07,197
2017-08-08,4
2017-08-09,7
2017-08-10,65
2017-08-11,6
2017-08-14,390
2017-08-15,51
2017-08-16,5
2017-08-17,41
2017-08-18,2
2017-08-21,102
2017-08-22,3
2017-08-23,28
2017-08-24,3
2017-08-25,20
2017-08-28,66
2017-08-29,10
2017-08-30,3
2017-08-31,61
2017-09-01,1385
2017-09-05,18
2017-09-06,4
2017-09-07,38
2017-09-08,16
2017-09-11,34
2017-09-12,12
2017-09-13,64
2017-09-14,183
2017-09-15,13
2017-09-18,4
2017-09-19,17
2017-09-20,21
2017-09-21,67
2017-09-22,6
2017-09-25,39
2017-09-26,29
2017-09-27,3
2017-09-28,41
2017-09-29,5
2017-10-02,878
2017-10-03,5
2017-10-04,31
2017-10-05,55
2017-10-06,8
2017-10-10,9
2017-10-11,3
2017-10-12,256
2017-10-13,9
2017-10-16,5
2017-10-17,16
2017-10-18,6
2017-10-19,39
2017-10-20,8
2017-10-23,1
2017-10-24,3
2017-10-25,42
2017-10-26,96
2017-10-27,8
2017-10-30,24
2017-10-31,3
2017-11-01,1202
2017-11-02,124
2017-11-03,15
2017-11-06,198
2017-11-07,4
2017-11-08,5
2017-11-09,57
2017-11-10,20
2017-11-13,29
2017-11-14,103
2017-11-15,15
2017-11-16,25
2017-11-17,5
2017-11-20,4
2017-11-21,12
2017-11-22,51
2017-11-24,2
2017-11-27,3
2017-11-28,170
2017-11-29,8
2017-11-30,19
2017-12-01,1605
2017-12-04,6
2017-12-05,19
2017-12-06,26
2017-12-07,21
2017-12-08,11
2017-12-11,166
2017-12-12,14
2017-12-13,50
2017-12-14,950
2017-12-15,281
2017-12-18,420
2017-12-19,58
2017-12-20,52
2017-12-21,39
2017-12-22,68
2017-12-26,46
2017-12-27,84
2017-12-28,32
2017-12-29,114
2018-01-02,1792
2018-01-03,25
2018-01-04,77
2018-01-05,22
2018-01-08,55
2018-01-09,23
2018-01-10,2
2018-01-11,364
2018-01-12,31
2018-01-16,256
2018-01-17,6
2018-01-18,2
2018-01-19,5
2018-01-22,338
2018-01-23,13
2018-01-24,2
2018-01-25,19
2018-01-26,5
2018-01-29,160
2018-01-30,40
2018-01-31,6
2018-02-01,1070
2018-02-02,321
2018-02-05,9
2018-02-06,8
2018-02-07,5
2018-02-08,64
2018-02-09,418
2018-02-12,13
2018-02-13,10
2018-02-14,8
2018-02-15,549
2018-02-16,7
2018-02-20,7
2018-02-21,19
2018-02-22,102
2018-02-23,23
2018-02-26,50
2018-02-27,80
2018-02-28,416
2018-03-01,883
2018-03-02,14
2018-03-05,54
2018-03-06,8
2018-03-07,472
2018-03-08,135
2018-03-09,37
2018-03-12,55
2018-03-13,19
2018-03-14,35
2018-03-15,871
2018-03-16,30
2018-03-19,55
2018-03-20,46
2018-03-21,5
2018-03-22,123
2018-03-23,38
2018-03-26,9
2018-03-27,3
2018-03-28,11
2018-03-29,10
2018-03-30,14
2018-04-02,1951
2018-04-03,256
2018-04-04,2
2018-04-05,21
2018-04-06,5
2018-04-09,4
2018-04-10,99
2018-04-11,4
2018-04-12,34
2018-04-13,8
2018-04-16,4
2018-04-17,45
2018-04-18,70
