record_date,transaction_today_amt
2020-03-09,585
2020-03-10,756
2020-03-11,728
2020-03-12,563
2020-03-13,643
2020-03-16,637
2020-03-17,754
2020-03-18,1151
2020-03-19,958
2020-03-20,965
2020-03-23,987
2020-03-24,1138
2020-03-25,1002
2020-03-26,811
2020-03-27,815
2020-03-30,713
2020-03-31,721
2020-04-01,11460
2020-04-02,733
2020-04-03,643
2020-04-06,1516
2020-04-07,1533
2020-04-08,7019
2020-04-09,8152
2020-04-10,9123
2020-04-13,4230
2020-04-14,6366
2020-04-15,8305
2020-04-16,7731
2020-04-17,4585
2020-04-20,2703
2020-04-21,6492
2020-04-22,2132
2020-04-23,2070
2020-04-24,1223
2020-04-27,556
2020-04-28,744
2020-04-29,928
2020-04-30,668
2020-05-01,11603
2020-05-04,498
2020-05-05,617
2020-05-06,534
2020-05-07,426
2020-05-08,491
2020-05-11,404
2020-05-12,461
2020-05-13,757
2020-05-14,505
2020-05-15,496
2020-05-18,530
2020-05-19,1011
2020-05-20,612
2020-05-21,836
2020-05-22,1448
2020-05-26,1128
2020-05-27,866
2020-05-28,1292
2020-05-29,707
2020-06-01,14922
2020-06-02,666
2020-06-03,616
2020-06-04,482
2020-06-05,555
2020-06-08,434
2020-06-09,413
2020-06-10,736
2020-06-11,559
2020-06-12,612
2020-06-15,520
2020-06-16,832
2020-06-17,899
2020-06-18,829
2020-06-19,969
2020-06-22,890
2020-06-23,1027
2020-06-24,1220
2020-06-25,860
2020-06-26,754
2020-06-29,665
2020-06-30,768
2020-07-01,14719
2020-07-02,543
2020-07-03,427
2020-07-06,489
2020-07-07,575
2020-07-08,759
2020-07-09,744
2020-07-10,515
2020-07-13,664
2020-07-14,671
2020-07-15,748
2020-07-16,752
2020-07-17,836
2020-07-20,665
2020-07-21,688
2020-07-22,948
2020-07-23,868
2020-07-24,799
2020-07-27,950
2020-07-28,965
2020-07-29,776
2020-07-30,698
2020-07-31,12107
2020-08-03,376
2020-08-04,620
2020-08-05,839
2020-08-06,607
2020-08-07,542
2020-08-10,665
2020-08-11,758
2020-08-12,663
2020-08-13,470
2020-08-14,538
2020-08-17,615
2020-08-18,744
2020-08-19,940
2020-08-20,999
2020-08-21,927
2020-08-24,1085
2020-08-25,1101
2020-08-26,999
2020-08-27,771
2020-08-28,725
2020-08-31,720
2020-09-01,11761
2020-09-02,813
2020-09-03,681
2020-09-04,511
2020-09-08,1140
2020-09-09,941
2020-09-10,1068
2020-09-11,657
2020-09-14,985
2020-09-15,1019
2020-09-16,1925
2020-09-17,1136
2020-09-18,936
2020-09-21,1138
2020-09-22,824
2020-09-23,853
2020-09-24,947
2020-09-25,1843
2020-09-28,810
2020-09-29,811
2020-09-30,890
2020-10-01,11673
2020-10-02,602
2020-10-05,705
2020-10-06,768
2020-10-07,634
2020-10-08,502
2020-10-09,569
2020-10-13,662
2020-10-14,659
2020-10-15,1069
2020-10-16,944
2020-10-19,900
2020-10-20,908
2020-10-21,941
2020-10-22,881
2020-10-23,955
2020-10-26,887
2020-10-27,806
2020-10-28,985
2020-10-29,831
2020-10-30,12036
2020-11-02,821
2020-11-03,821
2020-11-04,734
2020-11-05,629
2020-11-06,665
2020-11-09,566
2020-11-10,665
2020-11-12,951
2020-11-13,879
2020-11-16,866
2020-11-17,941
2020-11-18,921
2020-11-19,719
2020-11-20,848
2020-11-23,845
2020-11-24,934
2020-11-25,1030
2020-11-27,731
2020-11-30,782
2020-12-01,11558
2020-12-02,1271
2020-12-03,694
2020-12-04,643
2020-12-07,569
2020-12-08,721
2020-12-09,826
2020-12-10,660
2020-12-11,408
2020-12-14,157
2020-12-15,531
2020-12-16,687
2020-12-17,601
2020-12-18,825
2020-12-21,756
2020-12-22,861
2020-12-23,1150
2020-12-24,735
2020-12-28,674
2020-12-29,1087
2020-12-30,1434
2020-12-31,751
2021-01-04,12009
2021-01-05,867
2021-01-06,1230
2021-01-07,575
2021-01-08,435
2021-01-11,358
2021-01-12,602
2021-01-13,695
2021-01-14,669
2021-01-15,675
2021-01-19,759
2021-01-20,978
2021-01-21,1456
2021-01-22,1111
2021-01-25,930
2021-01-26,962
2021-01-27,942
2021-01-28,765
2021-01-29,744
2021-02-01,12660
2021-02-02,550
2021-02-03,857
2021-02-04,776
2021-02-05,651
2021-02-08,705
2021-02-09,806
2021-02-10,819
2021-02-11,647
2021-02-12,736
2021-02-16,907
2021-02-17,1053
2021-02-18,1292
2021-02-19,1104
2021-02-22,903
2021-02-23,1123
2021-02-24,1150
2021-02-25,899
2021-02-26,900
2021-03-01,12455
2021-03-02,643
2021-03-03,998
2021-03-04,677
2021-03-05,613
