record_date,transaction_today_amt
2020-03-09,1087
2020-03-10,3510
2020-03-11,1129
2020-03-12,3137
2020-03-13,3117
2020-03-16,648
2020-03-17,1449
2020-03-18,1006
2020-03-19,1935
2020-03-20,886
2020-03-23,781
2020-03-24,661
2020-03-25,1700
2020-03-26,2352
2020-03-27,1281
2020-03-30,724
2020-03-31,776
2020-04-01,1317
2020-04-02,4007
2020-04-03,2182
2020-04-06,1239
2020-04-07,2445
2020-04-08,915
2020-04-09,4718
2020-04-10,1806
2020-04-13,1039
2020-04-14,4532
2020-04-15,2822
2020-04-16,2753
2020-04-17,1182
2020-04-20,590
2020-04-21,1112
2020-04-22,1686
2020-04-23,2194
2020-04-24,1630
2020-04-27,854
2020-04-28,1507
2020-04-29,2071
2020-04-30,2162
2020-05-01,3054
2020-05-04,1320
2020-05-05,3962
2020-05-06,802
2020-05-07,4487
2020-05-08,1469
2020-05-11,1016
2020-05-12,4790
2020-05-13,1165
2020-05-14,2654
2020-05-15,1267
2020-05-18,878
2020-05-19,1386
2020-05-20,1022
2020-05-21,1845
2020-05-22,802
2020-05-26,821
2020-05-27,1822
2020-05-28,3122
2020-05-29,1658
2020-06-01,908
2020-06-02,3198
2020-06-03,1454
2020-06-04,3802
2020-06-05,1212
2020-06-08,1370
2020-06-09,3327
2020-06-10,4364
2020-06-11,2990
2020-06-12,1033
2020-06-15,1639
2020-06-16,1663
2020-06-17,406
2020-06-18,1779
2020-06-19,1042
2020-06-22,2535
2020-06-23,1017
2020-06-24,1150
2020-06-25,4036
2020-06-26,1241
2020-06-29,637
2020-06-30,675
2020-07-01,608
2020-07-02,3787
2020-07-03,1074
2020-07-06,923
2020-07-07,3070
2020-07-08,2590
2020-07-09,3214
2020-07-10,2907
2020-07-13,2066
2020-07-14,3632
2020-07-15,1107
2020-07-16,2727
2020-07-17,339
2020-07-20,508
2020-07-21,692
2020-07-22,2711
2020-07-23,3148
2020-07-24,283
2020-07-27,508
2020-07-28,761
2020-07-29,647
2020-07-30,4283
2020-07-31,1311
2020-08-03,501
2020-08-04,1625
2020-08-05,1883
2020-08-06,4112
2020-08-07,1493
2020-08-10,1328
2020-08-11,3288
2020-08-12,2745
2020-08-13,3504
2020-08-14,2449
2020-08-17,681
2020-08-18,985
2020-08-19,694
2020-08-20,2699
2020-08-21,292
2020-08-24,858
2020-08-25,863
2020-08-26,1443
2020-08-27,4380
2020-08-28,1468
2020-08-31,1006
2020-09-01,1300
2020-09-02,1903
2020-09-03,4026
2020-09-04,2053
2020-09-08,2008
2020-09-09,1309
2020-09-10,6451
2020-09-11,2432
2020-09-14,2940
2020-09-15,2579
2020-09-16,1029
2020-09-17,3283
2020-09-18,714
2020-09-21,997
2020-09-22,626
2020-09-23,1039
2020-09-24,2237
2020-09-25,2092
2020-09-28,728
2020-09-29,1119
2020-09-30,903
2020-10-01,3509
2020-10-02,1139
2020-10-05,2390
2020-10-06,3462
2020-10-07,963
2020-10-08,3431
2020-10-09,1869
2020-10-13,3258
2020-10-14,2371
2020-10-15,3455
2020-10-16,556
2020-10-19,569
2020-10-20,1289
2020-10-21,915
2020-10-22,1584
2020-10-23,751
2020-10-26,508
2020-10-27,578
2020-10-28,1163
2020-10-29,4714
2020-10-30,2495
2020-11-02,360
2020-11-03,1215
2020-11-04,1122
2020-11-05,2665
2020-11-06,1687
2020-11-09,1432
2020-11-10,4008
2020-11-12,3288
2020-11-13,3240
2020-11-16,962
2020-11-17,2076
2020-11-18,624
2020-11-19,3840
2020-11-20,721
2020-11-23,938
2020-11-24,1328
2020-11-25,2637
2020-11-27,3421
2020-11-30,1439
2020-12-01,1198
2020-12-02,807
2020-12-03,2498
2020-12-04,1377
2020-12-07,1408
2020-12-08,3965
2020-12-09,1848
2020-12-10,5792
2020-12-11,798
2020-12-14,1023
2020-12-15,4348
2020-12-16,797
2020-12-17,3347
2020-12-18,829
2020-12-21,1690
2020-12-22,1446
2020-12-23,2505
2020-12-24,2766
2020-12-28,451
2020-12-29,1293
2020-12-30,979
2020-12-31,2797
2021-01-04,1282
2021-01-05,4081
2021-01-06,2347
2021-01-07,3554
2021-01-08,1339
2021-01-11,779
2021-01-12,4032
2021-01-13,2524
2021-01-14,1888
2021-01-15,4137
2021-01-19,569
2021-01-20,1312
2021-01-21,2008
2021-01-22,455
2021-01-25,847
2021-01-26,965
2021-01-27,2126
2021-01-28,4907
2021-01-29,1579
2021-02-01,823
2021-02-02,1545
2021-02-03,2540
2021-02-04,3384
2021-02-05,1047
2021-02-08,1904
2021-02-09,4407
2021-02-10,3459
2021-02-11,2363
2021-02-12,3069
2021-02-16,1164
2021-02-17,1120
2021-02-18,2280
2021-02-19,1104
2021-02-22,891
2021-02-23,848
2021-02-24,1197
2021-02-25,4729
2021-02-26,1426
2021-03-01,1527
2021-03-02,1545
2021-03-03,3019
2021-03-04,3330
2021-03-05,1152
2021-03-08,2778
2021-03-09,3986
2021-03-10,3387
2021-03-11,3659
2021-03-12,1189
2021-03-15,1879
2021-03-16,2463
2021-03-17,1601
2021-03-18,3740
2021-03-19,472
2021-03-22,1172
2021-03-23,758
2021-03-24,1189
2021-03-25,2313
2021-03-26,1618
2021-03-29,354
2021-03-30,551
2021-03-31,1195
2021-04-01,1013
2021-04-02,3919
2021-04-05,1812
2021-04-06,3774
2021-04-07,1470
2021-04-08,5071
2021-04-09,994
2021-04-12,2464
2021-04-13,2501
2021-04-14,1024
2021-04-15,3571
2021-04-16,285
2021-04-19,583
2021-04-20,1682
2021-04-21,850
2021-04-22,2582
2021-04-23,437
2021-04-26,425
2021-04-27,993
2021-04-28,2031
2021-04-29,5004
2021-04-30,2054
2021-05-03,450
2021-05-04,2187
2021-05-05,1995
2021-05-06,3957
2021-05-07,1661
2021-05-10,1597
2021-05-11,4494
2021-05-12,3776
2021-05-13,3954
2021-05-14,1179
2021-05-17,796
2021-05-18,1390
2021-05-19,1166
2021-05-20,2013
2021-05-21,390
2021-05-24,627
2021-05-25,1824
2021-05-26,1839
2021-05-27,5972
2021-05-28,1885
2021-06-01,503
2021-06-02,1336
2021-06-03,2850
2021-06-04,2032
2021-06-07,1655
2021-06-08,2957
2021-06-09,1689
2021-06-10,7983
2021-06-11,792
2021-06-14,881
2021-06-15,2770
2021-06-16,853
2021-06-17,3530
2021-06-18,825
2021-06-21,1102
2021-06-22,1190
2021-06-23,1661
2021-06-24,3857
2021-06-25,1169
2021-06-28,1101
2021-06-29,1401
2021-06-30,774
2021-07-01,2275
2021-07-02,2414
2021-07-06,1865
2021-07-07,1861
2021-07-08,5774
2021-07-09,2244
2021-07-12,3147
2021-07-13,5352
2021-07-14,423
2021-07-15,5496
2021-07-16,1033
2021-07-19,468
2021-07-20,1591
2021-07-21,1654
2021-07-22,2682
2021-07-23,455
2021-07-26,421
2021-07-27,702
2021-07-28,1438
2021-07-29,4263
2021-07-30,1356
2021-08-02,460
2021-08-03,2269
2021-08-04,2646
2021-08-05,4362
2021-08-06,1806
2021-08-09,1858
2021-08-10,3651
