record_date,transaction_today_amt
2020-03-09,26
2020-03-10,27
2020-03-11,38
2020-03-12,32
2020-03-13,43
2020-03-16,22
2020-03-17,43
2020-03-18,66
2020-03-19,32
2020-03-20,36
2020-03-23,33
2020-03-24,67
2020-03-25,62
2020-03-26,53
2020-03-27,53
2020-03-30,44
2020-03-31,73
2020-04-01,59
2020-04-02,42
2020-04-03,50
2020-04-06,25
2020-04-07,31
2020-04-08,53
2020-04-09,26176
2020-04-10,41
2020-04-13,29
2020-04-14,35
2020-04-15,34
2020-04-16,3718
2020-04-17,35
2020-04-20,133
2020-04-21,45
2020-04-22,89
2020-04-23,9240
2020-04-24,78
2020-04-27,53
2020-04-28,64
2020-04-29,74
2020-04-30,92
2020-05-01,67
2020-05-04,46
2020-05-05,10004
2020-05-06,11941
2020-05-07,34
2020-05-08,151
2020-05-11,58
2020-05-12,35
2020-05-13,38
2020-05-14,487
2020-05-15,33
2020-05-18,26
2020-05-19,238
2020-05-20,66
2020-05-21,4646
2020-05-22,324
2020-05-26,45
2020-05-27,728
2020-05-28,80
2020-05-29,78
2020-06-01,70
2020-06-02,33
2020-06-03,36
2020-06-04,25
2020-06-05,240
2020-06-08,17
2020-06-09,28
2020-06-10,21
2020-06-11,10264
2020-06-12,1114
2020-06-15,26
2020-06-16,29
2020-06-17,40
2020-06-18,1533
2020-06-19,40
2020-06-22,34
2020-06-23,35
2020-06-24,51
2020-06-25,63
2020-06-26,52
2020-06-29,102
2020-06-30,105
2020-07-01,59
2020-07-02,228
2020-07-03,20
2020-07-06,784
2020-07-07,76
2020-07-08,34
2020-07-09,43
2020-07-10,47
2020-07-13,1094
2020-07-14,3015
2020-07-15,133
2020-07-16,35
2020-07-17,8576
2020-07-20,1605
2020-07-21,285
2020-07-22,100
2020-07-23,49
2020-07-24,44
2020-07-27,208
2020-07-28,285
2020-07-29,67
2020-07-30,226
2020-07-31,225
2020-08-03,602
2020-08-04,263
2020-08-05,36
2020-08-06,37
2020-08-07,274
2020-08-10,353
2020-08-11,302
2020-08-12,68
2020-08-13,271
2020-08-14,190
2020-08-17,329
2020-08-18,273
2020-08-19,1075
2020-08-20,33
2020-08-21,206
2020-08-24,217
2020-08-25,140
2020-08-26,2508
2020-08-27,146
2020-08-28,238
2020-08-31,82
2020-09-01,214
2020-09-02,116
2020-09-03,295
2020-09-04,120
2020-09-08,56
2020-09-09,84
2020-09-10,172
2020-09-11,27
2020-09-14,286
2020-09-15,197
2020-09-16,74
2020-09-17,72
2020-09-18,256
2020-09-21,181
2020-09-22,90
2020-09-23,183
2020-09-24,109
2020-09-25,178
2020-09-28,49
2020-09-29,148
2020-09-30,363
2020-10-01,50
2020-10-02,112
2020-10-05,60
2020-10-06,155
2020-10-07,68
2020-10-08,87
2020-10-09,63
2020-10-13,141
2020-10-14,178
2020-10-15,244
2020-10-16,92
2020-10-19,53
2020-10-20,86
2020-10-21,62
2020-10-22,61
2020-10-23,189
2020-10-26,212
2020-10-27,111
2020-10-28,167
2020-10-29,84
2020-10-30,347
2020-11-02,144
2020-11-03,98
2020-11-04,72
2020-11-05,225
2020-11-06,35
2020-11-09,23
2020-11-10,92
2020-11-12,70
2020-11-13,72
2020-11-16,73
2020-11-17,106
2020-11-18,112
2020-11-19,177
2020-11-20,245
2020-11-23,137
2020-11-24,102
2020-11-25,203
2020-11-27,105
2020-11-30,89
2020-12-01,73
2020-12-02,63
2020-12-03,44
2020-12-04,88
2020-12-07,80
2020-12-08,574
2020-12-09,37
2020-12-10,67
2020-12-11,46
2020-12-14,62
2020-12-15,8563
2020-12-16,410
2020-12-17,313
2020-12-18,114
2020-12-21,207
2020-12-22,173
2020-12-23,134
2020-12-24,80
2020-12-28,47
2020-12-29,157
2020-12-30,177
2020-12-31,95
2021-01-04,60
2021-01-05,110
2021-01-06,58
2021-01-07,59
2021-01-08,47
2021-01-11,71
2021-01-12,63
2021-01-13,79
2021-01-14,57
2021-01-15,63
2021-01-19,112
2021-01-20,60
2021-01-21,62
2021-01-22,624
2021-01-25,178
2021-01-26,5895
2021-01-27,207
2021-01-28,367
2021-01-29,163
2021-02-01,98
2021-02-02,182
2021-02-03,92
2021-02-04,105
2021-02-05,69
2021-02-08,33
2021-02-09,223
2021-02-10,140
2021-02-11,545
2021-02-12,135
2021-02-16,77
2021-02-17,120
2021-02-18,103
2021-02-19,88
2021-02-22,71
2021-02-23,102
2021-02-24,96
2021-02-25,144
2021-02-26,125
2021-03-01,69
2021-03-02,1732
2021-03-03,275
2021-03-04,72
2021-03-05,151
2021-03-08,65
2021-03-09,73
2021-03-10,87
2021-03-11,203
2021-03-12,76
2021-03-15,53
2021-03-16,66
2021-03-17,72
2021-03-18,140
2021-03-19,80
2021-03-22,68
2021-03-23,86
2021-03-24,87
2021-03-25,144
2021-03-26,75
2021-03-29,104
2021-03-30,117
2021-03-31,180
2021-04-01,122
2021-04-02,354
2021-04-05,140
2021-04-06,84
2021-04-07,128
2021-04-08,93
2021-04-09,57
2021-04-12,76
2021-04-13,62
2021-04-14,645
2021-04-15,112
2021-04-16,73
2021-04-19,170
2021-04-20,115
2021-04-21,100
2021-04-22,101
2021-04-23,76
2021-04-26,89
2021-04-27,117
2021-04-28,95
2021-04-29,146
2021-04-30,147
2021-05-03,82
2021-05-04,110
2021-05-05,71
2021-05-06,85
2021-05-07,80
2021-05-10,75
2021-05-11,84
2021-05-12,68
2021-05-13,92
2021-05-14,97
2021-05-17,97
2021-05-18,86
2021-05-19,78
2021-05-20,90
2021-05-21,72
2021-05-24,67
2021-05-25,91
2021-05-26,93
2021-05-27,122
2021-05-28,525
2021-06-01,196
2021-06-02,254
2021-06-03,98
2021-06-04,71
2021-06-07,109
2021-06-08,72
2021-06-09,494
2021-06-10,96
2021-06-11,95
2021-06-14,74
2021-06-15,89
2021-06-16,90
2021-06-17,372
2021-06-18,60
2021-06-21,84
2021-06-22,103
2021-06-23,145
2021-06-24,277
2021-06-25,137
2021-06-28,141
2021-06-29,86
2021-06-30,277
2021-07-01,127
2021-07-02,113
2021-07-06,82
2021-07-07,123
2021-07-08,42
2021-07-09,90
2021-07-12,68
2021-07-13,69
2021-07-14,73
2021-07-15,96
2021-07-16,95
2021-07-19,81
2021-07-20,71
2021-07-21,108
2021-07-22,98
2021-07-23,92
2021-07-26,91
2021-07-27,116
2021-07-28,152
2021-07-29,140
2021-07-30,148
2021-08-02,103
2021-08-03,89
2021-08-04,96
2021-08-05,83
2021-08-06,74
2021-08-09,77
2021-08-10,76
2021-08-11,112
2021-08-12,93
2021-08-13,106
2021-08-16,110
2021-08-17,68
2021-08-18,101
2021-08-19,120
2021-08-20,102
2021-08-23,87
2021-08-24,112
2021-08-25,145
2021-08-26,157
2021-08-27,137
2021-08-30,125
2021-08-31,185
2021-09-01,133
2021-09-02,103
2021-09-03,92
2021-09-07,67
2021-09-08,141
2021-09-09,95
2021-09-10,88
2021-09-13,81
2021-09-14,93
2021-09-15,86
2021-09-16,100
2021-09-17,100
2021-09-20,118
2021-09-21,144
2021-09-22,128
2021-09-23,111
2021-09-24,201
2021-09-27,108
2021-09-28,131
2021-09-29,161
2021-09-30,204
2021-10-01,130
2021-10-04,66
2021-10-05,113
2021-10-06,85
2021-10-07,97
2021-10-08,104
2021-10-12,86
2021-10-13,221
2021-10-14,120
2021-10-15,78
2021-10-18,253
2021-10-19,111
2021-10-20,109
2021-10-21,110
2021-10-22,120
2021-10-25,89
2021-10-26,128
2021-10-27,137
2021-10-28,171
2021-10-29,172
2021-11-01,134
2021-11-02,101
2021-11-03,125
2021-11-04,126
2021-11-05,45
2021-11-08,192
2021-11-09,261
2021-11-10,139
2021-11-12,114
2021-11-15,206
2021-11-16,143
2021-11-17,192
2021-11-18,427
2021-11-19,155
2021-11-22,6745
2021-11-23,180
2021-11-24,239
2021-11-26,156
2021-11-29,196
2021-11-30,184
2021-12-01,133
2021-12-02,132
2021-12-03,120
2021-12-06,139
2021-12-07,152
2021-12-08,425
2021-12-09,224
2021-12-10,304
2021-12-13,135
2021-12-14,142
2021-12-15,8122
2021-12-16,402
2021-12-17,175
2021-12-20,126
2021-12-21,154
2021-12-22,139
2021-12-23,230
2021-12-24,48
2021-12-27,76
2021-12-28,82
2021-12-29,242
2021-12-30,172
2021-12-31,62
2022-01-03,30
2022-01-04,144
2022-01-05,122
2022-01-06,119
2022-01-07,104
2022-01-10,156
2022-01-11,37
2022-01-12,436
2022-01-13,128
2022-01-14,183
2022-01-18,91
2022-01-19,218
2022-01-20,57
2022-01-21,168
2022-01-24,45
2022-01-25,2173
2022-01-26,177
2022-01-27,196
2022-01-28,99
2022-01-31,227
2022-02-01,134
2022-02-02,221
2022-02-03,53
2022-02-04,158
2022-02-07,26
2022-02-08,281
2022-02-09,103
2022-02-10,103
2022-02-11,158
2022-02-14,61
2022-02-15,94
2022-02-16,228
2022-02-17,166
2022-02-18,84
2022-02-22,98
2022-02-23,985
2022-02-24,140
2022-02-25,195
2022-02-28,233
2022-03-01,151
2022-03-02,344
2022-03-03,77
2022-03-04,174
2022-03-07,123
2022-03-08,124
2022-03-09,308
2022-03-10,101
2022-03-11,242
2022-03-14,113
2022-03-15,177
2022-03-16,212
2022-03-17,211
2022-03-18,586
2022-03-21,155
2022-03-22,45
2022-03-23,48
2022-03-24,79
2022-03-25,67
2022-03-28,54
2022-03-29,73
2022-03-30,142
2022-03-31,179
2022-04-01,50
2022-04-04,37
2022-04-05,46
2022-04-06,176
2022-04-07,184
2022-04-08,112
2022-04-11,162
2022-04-12,1872
2022-04-13,481
2022-04-14,53
2022-04-15,52
2022-04-18,34
2022-04-19,38
2022-04-20,1104
2022-04-21,210
2022-04-22,135
2022-04-25,53
2022-04-26,104
2022-04-27,77
2022-04-28,101
2022-04-29,147
2022-05-02,260
2022-05-03,221
2022-05-04,128
2022-05-05,277
2022-05-06,112
2022-05-09,464
2022-05-10,149
2022-05-11,60
2022-05-12,45
2022-05-13,54
2022-05-16,44
2022-05-17,562
2022-05-18,47
2022-05-19,55
2022-05-20,71
2022-05-23,43
2022-05-24,61
2022-05-25,72
2022-05-26,94
2022-05-27,131
2022-05-31,101
2022-06-01,69
2022-06-02,104
2022-06-03,57
2022-06-06,64
2022-06-07,35
2022-06-08,35
2022-06-09,56
2022-06-10,41
2022-06-13,27
2022-06-14,40
2022-06-15,539
2022-06-16,392
2022-06-17,50
2022-06-21,165
2022-06-22,98
2022-06-23,83
2022-06-24,352
2022-06-27,62
2022-06-28,125
2022-06-29,117
2022-06-30,157
2022-07-01,58
2022-07-05,38
2022-07-06,214
2022-07-07,50
2022-07-08,37
2022-07-11,30
2022-07-12,45
2022-07-13,44
2022-07-14,43
2022-07-15,67
2022-07-18,111
2022-07-19,389
2022-07-20,77
2022-07-21,69
2022-07-22,61
2022-07-25,51
2022-07-26,64
2022-07-27,67
2022-07-28,89
2022-07-29,133
2022-08-01,51
2022-08-02,55
2022-08-03,298
2022-08-04,938
2022-08-05,48
2022-08-08,34
2022-08-09,59
2022-08-10,44
2022-08-11,75
2022-08-12,52
2022-08-15,36
2022-08-16,32
2022-08-17,58
2022-08-18,58
2022-08-19,63
2022-08-22,53
2022-08-23,204
2022-08-24,54
2022-08-25,64
2022-08-26,120
2022-08-29,67
2022-08-30,94
2022-08-31,452
2022-09-01,79
2022-09-02,73
2022-09-06,43
2022-09-07,100
2022-09-08,209
2022-09-09,77
2022-09-12,101
2022-09-13,44
2022-09-14,174
2022-09-15,120
2022-09-16,104
2022-09-19,91
2022-09-20,81
2022-09-21,53
2022-09-22,92
2022-09-23,107
2022-09-26,73
2022-09-27,110
2022-09-28,91
2022-09-29,203
2022-09-30,120
2022-10-03,44
2022-10-04,57
2022-10-05,45
2022-10-06,36
2022-10-07,51
2022-10-11,32
2022-10-12,58
2022-10-13,70
2022-10-14,53
2022-10-17,53
2022-10-18,72
2022-10-19,62
2022-10-20,67
2022-10-21,54
2022-10-24,85
2022-10-25,75
2022-10-26,76
2022-10-27,168
2022-10-28,105
2022-10-31,108
2022-11-01,55
2022-11-02,47
2022-11-03,74
2022-11-04,49
2022-11-07,39
2022-11-08,47
2022-11-09,50
2022-11-10,67
2022-11-14,61
2022-11-15,73
2022-11-16,56
2022-11-17,67
2022-11-18,62
2022-11-21,69
2022-11-22,72
2022-11-23,85
2022-11-25,82
2022-11-28,33
2022-11-29,133
2022-11-30,106
2022-12-01,83
2022-12-02,73
2022-12-05,41
2022-12-06,49
2022-12-07,50
2022-12-08,64
2022-12-09,57
2022-12-12,44
2022-12-13,47
2022-12-14,62
2022-12-15,77
2022-12-16,57
2022-12-19,65
2022-12-20,86
2022-12-21,87
2022-12-22,111
2022-12-23,95
2022-12-27,40
2022-12-28,93
2022-12-29,97
2022-12-30,122
2023-01-03,39
2023-01-04,46
2023-01-05,69
2023-01-06,42
2023-01-09,32
2023-01-10,46
2023-01-11,39
2023-01-12,54
2023-01-13,52
2023-01-17,58
2023-01-18,73
2023-01-19,54
2023-01-20,61
2023-01-23,66
2023-01-24,64
2023-01-25,70
2023-01-26,67
2023-01-27,91
2023-01-30,86
2023-01-31,132
2023-02-01,69
2023-02-02,72
2023-02-03,52
2023-02-06,45
2023-02-07,45
2023-02-08,67
2023-02-09,81
2023-02-10,53
2023-02-13,43
2023-02-14,42
2023-02-15,41
2023-02-16,60
2023-02-17,59
2023-02-21,51
2023-02-22,118
2023-02-23,85
2023-02-24,91
2023-02-27,81
2023-02-28,123
2023-03-01,56
2023-03-02,68
2023-03-03,49
2023-03-06,48
2023-03-07,49
2023-03-08,38
2023-03-09,55
2023-03-10,50
2023-03-13,85
2023-03-14,56
2023-03-15,55
2023-03-16,80
2023-03-17,67
2023-03-20,48
2023-03-21,51
2023-03-22,73
2023-03-23,76
2023-03-24,60
2023-03-27,50
2023-03-28,86
2023-03-29,146
2023-03-30,128
2023-03-31,140
2023-04-03,49
2023-04-04,43
2023-04-05,36
2023-04-06,55
2023-04-07,44
2023-04-10,33
2023-04-11,60
2023-04-12,46
2023-04-13,45
2023-04-14,53
2023-04-17,47
2023-04-18,43
2023-04-19,55
2023-04-20,55
2023-04-21,61
2023-04-24,56
2023-04-25,67
2023-04-26,59
2023-04-27,121
2023-04-28,128
2023-05-01,62
2023-05-02,56
2023-05-03,48
2023-05-04,43
2023-05-05,55
2023-05-08,29
2023-05-09,29
2023-05-10,57
2023-05-11,55
2023-05-12,47
2023-05-15,36
2023-05-16,39
2023-05-17,54
2023-05-18,51
2023-05-19,60
2023-05-22,50
2023-05-23,71
2023-05-24,94
2023-05-25,68
2023-05-26,109
2023-05-30,127
2023-05-31,133
2023-06-01,67
2023-06-02,55
2023-06-05,31
2023-06-06,37
2023-06-07,40
2023-06-08,69
2023-06-09,45
2023-06-12,30
2023-06-13,37
2023-06-14,37
2023-06-15,37
2023-06-16,34
2023-06-20,55
2023-06-21,79
2023-06-22,65
2023-06-23,77
2023-06-26,70
2023-06-27,66
2023-06-28,100
2023-06-29,98
2023-06-30,110
2023-07-03,50
2023-07-05,53
2023-07-06,44
2023-07-07,38
2023-07-10,31
2023-07-11,37
2023-07-12,41
2023-07-13,50
2023-07-14,47
2023-07-17,38
2023-07-18,58
2023-07-19,51
2023-07-20,44
2023-07-21,47
2023-07-24,43
2023-07-25,89
2023-07-26,55
2023-07-27,70
2023-07-28,86
2023-07-31,96
2023-08-01,60
2023-08-02,48
2023-08-03,36
2023-08-04,54
2023-08-07,50
2023-08-08,30
2023-08-09,45
2023-08-10,37
2023-08-11,74
2023-08-14,30
2023-08-15,45
2023-08-16,42
2023-08-17,48
2023-08-18,51
2023-08-21,31
2023-08-22,40
2023-08-23,63
2023-08-24,59
2023-08-25,49
2023-08-28,49
2023-08-29,70
2023-08-30,155
2023-08-31,87
2023-09-01,50
2023-09-05,32
2023-09-06,56
2023-09-07,134
2023-09-08,62
2023-09-11,36
2023-09-12,41
2023-09-13,54
2023-09-14,47
2023-09-15,67
2023-09-18,34
2023-09-19,58
2023-09-20,59
2023-09-21,71
2023-09-22,72
2023-09-25,64
2023-09-26,127
2023-09-27,118
2023-09-28,135
2023-09-29,157
2023-10-02,84
2023-10-03,42
2023-10-04,47
2023-10-05,40
2023-10-06,55
2023-10-10,33
2023-10-11,71
2023-10-12,48
2023-10-13,45
2023-10-16,25
2023-10-17,59
2023-10-18,52
2023-10-19,38
2023-10-20,45
2023-10-23,40
2023-10-24,51
2023-10-25,66
2023-10-26,84
2023-10-27,63
2023-10-30,60
2023-10-31,119
2023-11-01,55
2023-11-02,68
2023-11-03,38
2023-11-06,25
2023-11-07,39
2023-11-08,53
2023-11-09,53
2023-11-10,39
2023-11-13,10
2023-11-14,65
2023-11-15,57
2023-11-16,61
2023-11-17,76
2023-11-20,47
2023-11-21,53
2023-11-22,109
2023-11-24,60
2023-11-27,13
2023-11-28,62
2023-11-29,82
2023-11-30,110
2023-12-01,53
2023-12-04,34
2023-12-05,97
2023-12-06,40
2023-12-07,46
2023-12-08,65
2023-12-11,53
2023-12-12,54
2023-12-13,53
2023-12-14,72
2023-12-15,78
2023-12-18,57
2023-12-19,68
2023-12-20,57
2023-12-21,77
2023-12-22,79
2023-12-26,80
2023-12-27,49
2023-12-28,76
2023-12-29,65
2024-01-02,33
2024-01-03,47
2024-01-04,36
2024-01-05,35
2024-01-08,28
2024-01-09,41
2024-01-10,41
2024-01-11,47
2024-01-12,54
2024-01-16,38
2024-01-17,83
2024-01-18,51
2024-01-19,43
2024-01-22,35
2024-01-23,56
2024-01-24,59
2024-01-25,54
2024-01-26,58
2024-01-29,51
2024-01-30,90
2024-01-31,96
2024-02-01,59
2024-02-02,52
2024-02-05,40
2024-02-06,46
2024-02-07,79
2024-02-08,43
2024-02-09,41
2024-02-12,41
2024-02-13,34
2024-02-14,40
2024-02-15,41
2024-02-16,44
2024-02-20,38
2024-02-21,73
2024-02-22,55
2024-02-23,55
2024-02-26,51
2024-02-27,67
2024-02-28,106
2024-02-29,77
2024-03-01,60
2024-03-04,57
2024-03-05,44
2024-03-06,37
2024-03-07,44
2024-03-08,44
2024-03-11,41
2024-03-12,63
2024-03-13,77
2024-03-14,60
2024-03-15,63
2024-03-18,78
2024-03-19,44
2024-03-20,67
2024-03-21,50
2024-03-22,65
2024-03-25,42
2024-03-26,67
2024-03-27,96
2024-03-28,73
2024-03-29,105
2024-04-01,40
2024-04-02,37
2024-04-03,47
2024-04-04,49
2024-04-05,37
2024-04-08,55
2024-04-09,45
2024-04-10,38
2024-04-11,34
2024-04-12,62
2024-04-15,25
2024-04-16,55
2024-04-17,45
2024-04-18,57
2024-04-19,58
2024-04-22,87
2024-04-23,54
2024-04-24,98
2024-04-25,59
2024-04-26,62
2024-04-29,67
2024-04-30,87
2024-05-01,28
2024-05-02,81
2024-05-03,34
2024-05-06,32
2024-05-07,43
2024-05-08,41
2024-05-09,38
2024-05-10,44
2024-05-13,41
2024-05-14,39
2024-05-15,37
2024-05-16,42
2024-05-17,37
2024-05-20,54
2024-05-21,51
2024-05-22,62
2024-05-23,72
2024-05-24,62
2024-05-28,73
2024-05-29,70
2024-05-30,78
2024-05-31,102
2024-06-03,39
2024-06-04,66
2024-06-05,53
2024-06-06,34
2024-06-07,38
2024-06-10,31
2024-06-11,37
2024-06-12,50
2024-06-13,56
2024-06-14,55
2024-06-17,30
2024-06-18,57
2024-06-20,77
2024-06-21,86
2024-06-24,61
2024-06-25,72
2024-06-26,94
2024-06-27,107
2024-06-28,102
2024-07-01,53
2024-07-02,48
2024-07-03,54
2024-07-05,33
2024-07-08,23
2024-07-09,38
2024-07-10,29
2024-07-11,48
2024-07-12,35
2024-07-15,49
2024-07-16,47
2024-07-17,49
2024-07-18,54
2024-07-19,47
2024-07-22,37
2024-07-23,47
2024-07-24,55
2024-07-25,52
2024-07-26,54
2024-07-29,56
2024-07-30,71
2024-07-31,89
2024-08-01,56
2024-08-02,46
2024-08-05,30
2024-08-06,54
2024-08-07,51
2024-08-08,36
2024-08-09,39
2024-08-12,40
2024-08-13,40
2024-08-14,51
2024-08-15,53
2024-08-16,60
2024-08-19,67
2024-08-20,31
2024-08-21,47
2024-08-22,43
2024-08-23,57
2024-08-26,40
2024-08-27,85
2024-08-28,67
2024-08-29,70
2024-08-30,78
2024-09-03,52
2024-09-04,66
2024-09-05,45
2024-09-06,56
2024-09-09,34
2024-09-10,42
2024-09-11,51
2024-09-12,42
2024-09-13,111
2024-09-16,46
2024-09-17,66
2024-09-18,58
2024-09-19,72
2024-09-20,65
2024-09-23,36
2024-09-24,68
2024-09-25,74
2024-09-26,105
2024-09-27,80
2024-09-30,97
2024-10-01,63
2024-10-02,54
2024-10-03,35
2024-10-04,30
2024-10-07,38
2024-10-08,38
2024-10-09,63
2024-10-10,45
2024-10-11,61
2024-10-15,66
2024-10-16,72
2024-10-17,45
2024-10-18,44
2024-10-21,34
2024-10-22,51
2024-10-23,68
2024-10-24,52
2024-10-25,55
2024-10-28,79
2024-10-29,56
2024-10-30,58
2024-10-31,82
2024-11-01,48
2024-11-04,32
2024-11-05,35
2024-11-06,43
2024-11-07,45
2024-11-08,52
2024-11-12,4
2024-11-13,92
2024-11-14,66
2024-11-15,45
2024-11-18,53
2024-11-19,54
2024-11-20,74
2024-11-21,60
2024-11-22,62
2024-11-25,79
2024-11-26,114
2024-11-27,106
2024-11-29,51
2024-12-02,13
2024-12-03,79
2024-12-04,41
2024-12-05,85
2024-12-06,45
2024-12-09,82
2024-12-10,43
2024-12-11,50
2024-12-12,85
2024-12-13,111
2024-12-16,51
2024-12-17,87
2024-12-18,90
2024-12-19,80
2024-12-20,104
2024-12-23,105
2024-12-24,80
2024-12-26,19
2024-12-27,60
2024-12-30,44
2024-12-31,77
2025-01-02,27
2025-01-03,44
2025-01-06,26
2025-01-07,34
2025-01-08,39
2025-01-09,36
2025-01-10,1
2025-01-13,71
2025-01-14,43
2025-01-15,45
2025-01-16,58
2025-01-17,49
2025-01-21,50
2025-01-22,66
2025-01-23,59
2025-01-24,64
2025-01-27,30
2025-01-28,7
2025-01-29,179
2025-01-30,146
2025-01-31,84
2025-02-03,69
2025-02-04,350
2025-02-05,57
2025-02-06,92
2025-02-07,67
2025-02-10,152
2025-02-11,27
2025-02-12,44
2025-02-13,55
2025-02-14,46
2025-02-18,65
2025-02-19,55
2025-02-20,32
2025-02-21,55
2025-02-24,36
2025-02-25,43
2025-02-26,56
2025-02-27,54
2025-02-28,67
2025-03-03,42
2025-03-04,55
2025-03-05,38
2025-03-06,69
2025-03-07,58
2025-03-10,58
2025-03-11,6
2025-03-12,99
2025-03-13,59
2025-03-14,70
2025-03-17,49
2025-03-18,70
2025-03-19,29
2025-03-20,38
2025-03-21,42
2025-03-24,27
2025-03-25,43
2025-03-26,46
2025-03-27,63
2025-03-28,49
2025-03-31,60
2025-04-01,33
2025-04-02,73
2025-04-03,39
2025-04-04,28
2025-04-07,36
2025-04-08,28
2025-04-09,49
2025-04-10,40
2025-04-11,57
2025-04-14,8
2025-04-15,6
2025-04-16,19
2025-04-17,5
2025-04-18,198
2025-04-21,53
2025-04-22,57
2025-04-23,92
2025-04-24,56
2025-04-25,20
2025-04-28,58
2025-04-29,17
2025-04-30,52
2025-05-01,33
2025-05-02,25
2025-05-05,30
2025-05-06,9
2025-05-07,7
2025-05-08,69
2025-05-09,34
2025-05-12,52
2025-05-13,64
2025-05-14,41
2025-05-15,36
2025-05-16,48
2025-05-19,54
2025-05-20,37
2025-05-21,50
2025-05-22,56
2025-05-23,64
2025-05-27,46
2025-05-28,49
2025-05-29,64
2025-05-30,60
2025-06-02,49
2025-06-03,43
2025-06-04,39
2025-06-05,119
2025-06-06,88
2025-06-09,28
2025-06-10,42
2025-06-11,56
2025-06-12,33
2025-06-13,36
2025-06-16,104
2025-06-17,37
2025-06-18,87
2025-06-20,68
2025-06-23,52
2025-06-24,50
2025-06-25,84
2025-06-26,17
2025-06-27,120
2025-06-30,95
2025-07-01,33
2025-07-02,71
2025-07-03,46
2025-07-07,31
2025-07-08,17
2025-07-09,13
2025-07-10,75
2025-07-11,42
2025-07-14,24
2025-07-15,54
2025-07-16,58
2025-07-17,78
2025-07-18,45
2025-07-21,35
2025-07-22,47
2025-07-23,49
2025-07-24,75
2025-07-25,42
2025-07-28,43
2025-07-29,115
2025-07-30,51
2025-07-31,49
2025-08-01,90
2025-08-04,86
2025-08-05,48
2025-08-06,52
2025-08-07,31
2025-08-08,42
2025-08-11,37
2025-08-12,51
2025-08-13,42
2025-08-14,49
2025-08-15,76
2025-08-18,35
2025-08-19,81
2025-08-20,50
2025-08-21,56
2025-08-22,37
2025-08-25,41
2025-08-26,79
2025-08-27,67
2025-08-28,80
2025-08-29,42
2025-09-02,22
