record_date,transaction_today_amt
2020-03-09,17
2020-03-10,57
2020-03-11,21
2020-03-12,26
2020-03-13,27
2020-03-16,20
2020-03-17,31
2020-03-18,24
2020-03-19,20
2020-03-20,32
2020-03-23,15
2020-03-24,19
2020-03-25,35
2020-03-26,18
2020-03-27,22
2020-03-30,23
2020-03-31,38
2020-04-01,8
2020-04-02,10
2020-04-03,28
2020-04-06,23
2020-04-07,32
2020-04-08,25
2020-04-09,24
2020-04-10,49
2020-04-13,27
2020-04-14,23
2020-04-15,20
2020-04-16,61
2020-04-17,33
2020-04-20,16
2020-04-21,18
2020-04-22,33
2020-04-23,21
2020-04-24,45
2020-04-27,28
2020-04-28,51
2020-04-29,28
2020-04-30,76
2020-05-01,13
2020-05-04,20
2020-05-05,49
2020-05-06,15
2020-05-07,32
2020-05-08,38
2020-05-11,38
2020-05-12,30
2020-05-13,27
2020-05-14,23
2020-05-15,20
2020-05-18,17
2020-05-19,23
2020-05-20,33
2020-05-21,27
2020-05-22,58
2020-05-26,15
2020-05-27,49
2020-05-28,24
2020-05-29,32
2020-06-01,18
2020-06-02,34
2020-06-03,26
2020-06-04,16
2020-06-05,14
2020-06-08,25
2020-06-09,54
2020-06-10,28
2020-06-11,27
2020-06-12,46
2020-06-15,24
2020-06-16,20
2020-06-17,32
2020-06-18,27
2020-06-19,36
2020-06-22,32
2020-06-23,57
2020-06-24,19
2020-06-25,41
2020-06-26,35
2020-06-29,43
2020-06-30,29
2020-07-01,27
2020-07-02,17
2020-07-03,15
2020-07-06,14
2020-07-07,21
2020-07-08,21
2020-07-09,19
2020-07-10,34
2020-07-13,38
2020-07-14,28
2020-07-15,19
2020-07-16,22
2020-07-17,21
2020-07-20,26
2020-07-21,28
2020-07-22,30
2020-07-23,34
2020-07-24,28
2020-07-27,18
2020-07-28,32
2020-07-29,55
2020-07-30,33
2020-07-31,39
2020-08-03,21
2020-08-04,22
2020-08-05,26
2020-08-06,22
2020-08-07,17
2020-08-10,22
2020-08-11,22
2020-08-12,33
2020-08-13,32
2020-08-14,21
2020-08-17,25
2020-08-18,43
2020-08-19,12
2020-08-20,19
2020-08-21,21
2020-08-24,17
2020-08-25,66
2020-08-26,20
2020-08-27,24
2020-08-28,28
2020-08-31,39
2020-09-01,14
2020-09-02,11
2020-09-03,28
2020-09-04,28
2020-09-08,20
2020-09-09,8
2020-09-10,24
2020-09-11,48
2020-09-14,58
2020-09-15,34
2020-09-16,46
2020-09-17,33
2020-09-18,25
2020-09-21,47
2020-09-22,33
2020-09-23,25
2020-09-24,42
2020-09-25,36
2020-09-28,42
2020-09-29,30
2020-09-30,37
2020-10-01,18
2020-10-02,12
2020-10-05,13
2020-10-06,15
2020-10-07,23
2020-10-08,24
2020-10-09,48
2020-10-13,15
2020-10-14,55
2020-10-15,30
2020-10-16,14
2020-10-19,22
2020-10-20,26
2020-10-21,33
2020-10-22,41
2020-10-23,28
2020-10-26,34
2020-10-27,24
2020-10-28,38
2020-10-29,31
2020-10-30,46
2020-11-02,36
2020-11-03,27
2020-11-04,70
2020-11-05,37
2020-11-06,22
2020-11-09,29
2020-11-10,38
2020-11-12,32
2020-11-13,30
2020-11-16,34
2020-11-17,69
2020-11-18,25
2020-11-19,23
2020-11-20,35
2020-11-23,31
2020-11-24,32
2020-11-25,32
2020-11-27,35
2020-11-30,14
2020-12-01,24
2020-12-02,29
2020-12-03,23
2020-12-04,22
2020-12-07,20
2020-12-08,30
2020-12-09,45
2020-12-10,40
2020-12-11,27
2020-12-14,23
2020-12-15,35
2020-12-16,44
2020-12-17,35
2020-12-18,29
2020-12-21,62
2020-12-22,40
2020-12-23,44
2020-12-24,32
2020-12-28,8
2020-12-29,53
2020-12-30,32
2020-12-31,32
2021-01-04,12
2021-01-05,52
2021-01-06,20
2021-01-07,21
2021-01-08,23
2021-01-11,26
2021-01-12,34
2021-01-13,32
2021-01-14,30
2021-01-15,28
2021-01-19,32
2021-01-20,30
2021-01-21,16
2021-01-22,50
2021-01-25,45
2021-01-26,48
2021-01-27,42
2021-01-28,16
2021-01-29,49
