record_date,transaction_today_amt
2016-01-04,6
2016-01-04,2757
2016-01-05,27
2016-01-05,203
2016-01-06,32
2016-01-06,209
2016-01-07,5
2016-01-07,177
2016-01-08,27
2016-01-08,171
2016-01-11,173
2016-01-11,9
2016-01-12,27
2016-01-12,149
2016-01-13,2
2016-01-13,129
2016-01-14,1
2016-01-14,161
2016-01-15,6
2016-01-15,143
2016-01-19,5
2016-01-19,183
2016-01-20,164
2016-01-20,6
2016-01-21,69
2016-01-21,192
2016-01-22,12
2016-01-22,186
2016-01-25,5
2016-01-25,186
2016-01-26,4
2016-01-26,61
2016-01-27,4
2016-01-27,65
2016-01-28,332
2016-01-28,5
2016-01-29,6
2016-01-29,174
2016-02-01,7
2016-02-01,2651
2016-02-02,7
2016-02-02,219
2016-02-03,4
2016-02-03,217
2016-02-04,5
2016-02-04,156
2016-02-05,20
2016-02-05,164
2016-02-08,174
2016-02-08,30
2016-02-09,10
2016-02-09,151
2016-02-10,14
2016-02-10,153
2016-02-11,31
2016-02-11,135
2016-02-12,7
2016-02-12,205
2016-02-16,5
2016-02-16,172
2016-02-17,133
2016-02-17,4
2016-02-18,6
2016-02-18,157
2016-02-19,5
2016-02-19,149
2016-02-22,112
2016-02-22,143
2016-02-23,66
2016-02-23,157
2016-02-24,4
2016-02-24,171
2016-02-25,186
2016-02-25,4
2016-02-26,85
2016-02-26,158
2016-02-29,6
2016-02-29,172
2016-03-01,7
2016-03-01,2618
2016-03-02,4
2016-03-02,356
2016-03-03,2
2016-03-03,228
2016-03-04,174
2016-03-04,5
2016-03-07,50
2016-03-07,169
2016-03-08,4
2016-03-08,151
2016-03-09,4
2016-03-09,124
2016-03-10,4
2016-03-10,96
2016-03-11,26
2016-03-11,173
2016-03-14,148
2016-03-14,5
2016-03-15,175
2016-03-15,2
2016-03-16,5
2016-03-16,139
2016-03-17,3
2016-03-17,148
2016-03-18,4
2016-03-18,106
2016-03-21,3
2016-03-21,102
2016-03-22,65
2016-03-22,151
2016-03-23,3
2016-03-23,155
2016-03-24,154
2016-03-24,9
2016-03-25,3
2016-03-25,130
2016-03-28,4
2016-03-28,148
2016-03-29,4
2016-03-29,140
2016-03-30,6
2016-03-30,157
2016-03-31,29
2016-03-31,118
2016-04-01,2828
2016-04-01,9
2016-04-04,6
2016-04-04,147
2016-04-05,2
2016-04-05,195
2016-04-06,31
2016-04-06,166
2016-04-07,29
2016-04-07,159
2016-04-08,6
2016-04-08,133
2016-04-11,164
2016-04-11,2
2016-04-12,30
2016-04-12,147
2016-04-13,2
2016-04-13,108
2016-04-14,9
2016-04-14,136
2016-04-15,4
2016-04-15,165
2016-04-18,131
2016-04-18,4
2016-04-19,130
2016-04-19,8
2016-04-20,3
2016-04-20,123
2016-04-21,67
2016-04-21,147
2016-04-22,3
2016-04-22,108
2016-04-25,3
2016-04-25,109
2016-04-26,15
2016-04-26,174
2016-04-27,78
2016-04-27,7
2016-04-28,3
2016-04-28,174
2016-04-29,11
2016-04-29,237
2016-05-02,9
2016-05-02,2801
2016-05-03,7
2016-05-03,190
2016-05-04,5
2016-05-04,220
2016-05-05,160
2016-05-05,8
2016-05-06,50
2016-05-06,166
2016-05-09,4
2016-05-09,113
2016-05-10,4
2016-05-10,132
2016-05-11,27
2016-05-11,118
2016-05-12,5
2016-05-12,140
2016-05-13,161
2016-05-13,7
2016-05-16,3
2016-05-16,138
2016-05-17,3
2016-05-17,121
2016-05-18,3
2016-05-18,125
2016-05-19,2
2016-05-19,135
2016-05-20,4
2016-05-20,129
2016-05-23,68
2016-05-23,145
2016-05-24,154
2016-05-24,3
2016-05-25,4
2016-05-25,148
2016-05-26,5
2016-05-26,143
2016-05-27,14
2016-05-27,146
2016-05-31,5
2016-05-31,176
2016-06-01,3
2016-06-01,2613
2016-06-02,167
2016-06-02,6
2016-06-03,4
2016-06-03,237
2016-06-06,2
2016-06-06,249
2016-06-07,45
2016-06-07,157
2016-06-08,5
2016-06-08,167
2016-06-09,5
2016-06-09,189
2016-06-10,143
2016-06-10,5
2016-06-13,27
2016-06-13,141
2016-06-14,4
2016-06-14,147
2016-06-15,7
2016-06-15,140
2016-06-16,8
2016-06-16,175
2016-06-17,11
2016-06-17,162
2016-06-20,155
2016-06-20,5
2016-06-21,72
2016-06-21,173
2016-06-22,10
2016-06-22,144
2016-06-23,6
2016-06-23,152
2016-06-24,4
2016-06-24,201
2016-06-27,11
2016-06-27,180
2016-06-28,270
2016-06-28,7
2016-06-29,169
2016-06-29,7
2016-06-30,13
2016-06-30,203
2016-07-01,13
2016-07-01,2843
2016-07-05,9
2016-07-05,214
2016-07-06,33
2016-07-06,235
2016-07-07,8
2016-07-07,229
2016-07-08,29
2016-07-08,165
2016-07-11,170
2016-07-11,10
2016-07-12,28
2016-07-12,190
2016-07-13,7
2016-07-13,170
2016-07-14,21
2016-07-14,160
2016-07-15,11
2016-07-15,101
2016-07-18,7
2016-07-18,237
2016-07-19,194
2016-07-19,9
2016-07-20,3
2016-07-20,207
2016-07-21,84
2016-07-21,166
2016-07-22,11
2016-07-22,187
2016-07-25,17
2016-07-25,156
2016-07-26,12
2016-07-26,134
2016-07-27,195
2016-07-27,6
2016-07-28,14
2016-07-28,163
2016-07-29,11
2016-07-29,172
2016-08-01,11
2016-08-01,2669
2016-08-02,8
2016-08-02,196
2016-08-03,8
2016-08-03,216
2016-08-04,167
2016-08-04,6
2016-08-05,30
2016-08-05,111
2016-08-08,24
2016-08-08,173
2016-08-09,6
2016-08-09,125
2016-08-10,6
2016-08-10,145
2016-08-11,27
2016-08-11,119
2016-08-12,136
2016-08-12,4
2016-08-15,6
2016-08-15,150
2016-08-16,3
2016-08-16,154
2016-08-17,4
2016-08-17,133
2016-08-18,5
2016-08-18,252
2016-08-19,138
2016-08-19,4
2016-08-22,150
2016-08-22,3
2016-08-23,78
2016-08-23,140
2016-08-24,2
2016-08-24,143
2016-08-25,7
2016-08-25,155
2016-08-26,2
2016-08-26,131
2016-08-29,6
2016-08-29,124
2016-08-30,216
2016-08-30,10
2016-08-31,9
2016-08-31,146
2016-09-01,7
2016-09-01,2750
2016-09-02,7
2016-09-02,202
2016-09-06,5
2016-09-06,208
2016-09-07,25
2016-09-07,161
2016-09-08,149
2016-09-08,30
2016-09-09,8
2016-09-09,118
2016-09-12,5
2016-09-12,131
2016-09-13,28
2016-09-13,187
2016-09-14,3
2016-09-14,125
2016-09-15,4
2016-09-15,125
2016-09-16,96
2016-09-16,6
2016-09-19,4
2016-09-19,93
2016-09-20,3
2016-09-20,89
2016-09-21,73
2016-09-21,265
2016-09-22,3
2016-09-22,125
2016-09-23,9
