record_date,transaction_today_amt
2022-10-03,0
2022-10-03,1
2022-10-04,3
2022-10-04,1
2022-10-05,4
2022-10-05,0
2022-10-06,4
2022-10-06,26
2022-10-07,107
2022-10-07,6
2022-10-11,6
2022-10-11,29
2022-10-12,5
2022-10-12,0
2022-10-13,3
2022-10-13,0
2022-10-14,7
2022-10-14,30
2022-10-17,8
2022-10-17,12
2022-10-18,5
2022-10-18,6
2022-10-19,1
2022-10-19,28
2022-10-20,2
2022-10-20,8
2022-10-21,1
2022-10-21,23
2022-10-24,0
2022-10-24,0
2022-10-25,0
2022-10-25,0
2022-10-26,1
2022-10-26,1
2022-10-27,4
2022-10-27,0
2022-10-28,1
2022-10-28,0
2022-10-31,0
2022-10-31,6
2022-11-01,2
2022-11-01,0
2022-11-02,0
2022-11-02,1
2022-11-03,3
2022-11-03,0
2022-11-04,0
2022-11-04,0
2022-11-07,5
2022-11-07,0
2022-11-08,6
2022-11-08,0
2022-11-09,0
2022-11-09,1
2022-11-10,1
2022-11-10,4
2022-11-14,5
2022-11-14,2
2022-11-15,35
2022-11-15,1
2022-11-16,1
2022-11-16,0
2022-11-17,2
2022-11-17,1
2022-11-18,197
2022-11-18,4
2022-11-21,0
2022-11-21,0
2022-11-22,1
2022-11-22,7
2022-11-23,0
2022-11-23,2
2022-11-25,0
2022-11-25,0
2022-11-28,0
2022-11-28,0
2022-11-29,13
2022-11-29,2
2022-11-30,29
2022-11-30,25
2022-12-01,5
2022-12-01,109
2022-12-02,2
2022-12-02,1
2022-12-05,0
2022-12-05,3
2022-12-06,2
2022-12-06,0
2022-12-07,1
2022-12-07,9
2022-12-08,0
2022-12-08,0
2022-12-09,2
2022-12-09,3
2022-12-12,0
2022-12-12,6
2022-12-13,3
2022-12-13,56
2022-12-14,18
2022-12-14,2
2022-12-15,54
2022-12-15,16
2022-12-16,12
2022-12-16,1
2022-12-19,4
2022-12-19,9
2022-12-20,25
2022-12-20,11
2022-12-21,1
2022-12-21,6
2022-12-22,0
2022-12-22,150
2022-12-23,0
2022-12-23,0
2022-12-27,1
2022-12-27,2
2022-12-28,2
2022-12-28,1
2022-12-29,115
2022-12-29,10
2022-12-30,1
2022-12-30,1
2023-01-03,2
2023-01-03,74
2023-01-04,3
2023-01-04,2
2023-01-05,142
2023-01-05,1
2023-01-06,0
2023-01-06,2
2023-01-09,8
2023-01-09,0
2023-01-10,0
