record_date,transaction_today_amt
2020-12-24,0
2020-12-28,0
2020-12-29,0
2020-12-30,0
2020-12-31,0
2021-01-04,112270
2021-01-05,-3770
2021-01-06,-1621
2021-01-07,-161
2021-01-08,-5
2021-01-11,-183
2021-01-12,-5
2021-01-13,-1
2021-01-14,0
2021-01-15,0
2021-01-19,0
2021-01-20,0
2021-01-21,0
2021-01-22,0
2021-01-25,0
2021-01-26,0
2021-01-27,0
2021-01-28,0
2021-01-29,2124
2021-02-01,0
2021-02-02,0
2021-02-03,1452
2021-02-04,0
2021-02-05,0
2021-02-08,0
2021-02-09,0
2021-02-10,0
2021-02-11,0
2021-02-12,0
2021-02-16,0
2021-02-17,0
2021-02-18,0
2021-02-19,0
2021-02-22,0
2021-02-23,0
2021-02-24,0
2021-02-25,0
2021-02-26,0
2021-03-01,0
2021-03-02,0
2021-03-03,0
2021-03-04,0
2021-03-05,0
2021-03-08,0
2021-03-09,0
2021-03-10,0
2021-03-11,0
2021-03-12,0
2021-03-15,0
2021-03-16,0
2021-03-17,241976
2021-03-18,-1241
2021-03-19,-2818
2021-03-22,-43
2021-03-23,-32
2021-03-24,38338
2021-03-25,50
2021-03-26,71
2021-03-29,6
2021-03-30,22
2021-03-31,5798
2021-04-01,1
2021-04-02,0
2021-04-05,3
2021-04-06,1
2021-04-07,33463
2021-04-08,1
2021-04-09,1
2021-04-12,1
2021-04-13,1
2021-04-14,1949
2021-04-15,1
2021-04-16,0
2021-04-19,2
2021-04-20,1
2021-04-21,1540
2021-04-22,0
2021-04-23,0
2021-04-26,7
2021-04-27,1
2021-04-28,2510
2021-04-29,15
2021-04-30,1
2021-05-03,11
2021-05-04,0
2021-05-05,1101
2021-05-06,5
2021-05-07,5
2021-05-10,23
2021-05-11,17
2021-05-12,946
2021-05-13,5
2021-05-14,3
2021-05-17,33
2021-05-18,4
2021-05-19,759
2021-05-20,9
2021-05-21,5
2021-05-24,13
2021-05-25,14
2021-05-26,900
2021-05-27,3
2021-05-28,4
2021-06-01,9
2021-06-02,3
2021-06-03,1445
2021-06-04,3
2021-06-07,2
2021-06-08,1
2021-06-09,842
2021-06-10,3
2021-06-11,2
2021-06-14,4
2021-06-15,2
2021-06-16,503
2021-06-17,3
2021-06-18,2
2021-06-21,12
2021-06-22,335
2021-06-23,0
2021-06-24,0
2021-06-25,3
2021-06-28,2
2021-06-29,2
2021-06-30,309
2021-07-01,0
2021-07-02,6
2021-07-06,8
2021-07-07,15
2021-07-08,381
2021-07-09,0
2021-07-12,3
2021-07-13,1
2021-07-14,322
2021-07-15,1
2021-07-16,1
2021-07-19,0
2021-07-20,1
2021-07-21,294
2021-07-22,0
2021-07-23,0
2021-07-26,1
2021-07-27,1
2021-07-28,324
2021-07-29,1
2021-07-30,0
2021-08-02,1
2021-08-03,1
2021-08-04,324
2021-08-05,0
2021-08-06,1
2021-08-09,1
2021-08-10,1
2021-08-11,308
2021-08-12,0
2021-08-13,0
2021-08-16,0
2021-08-17,0
2021-08-18,304
2021-08-19,0
2021-08-20,1
2021-08-23,1
2021-08-24,-439
2021-08-25,427
2021-08-26,0
2021-08-27,60
2021-08-30,0
2021-08-31,1
2021-09-01,385
2021-09-02,0
2021-09-03,0
2021-09-07,4
2021-09-08,9
2021-09-09,339
2021-09-10,0
2021-09-13,0
2021-09-14,0
2021-09-15,282
2021-09-16,0
2021-09-17,1
2021-09-20,0
2021-09-21,0
2021-09-22,226
2021-09-23,0
2021-09-24,0
2021-09-27,0
2021-09-28,0
2021-09-29,229
2021-09-30,0
2021-10-01,0
2021-10-04,0
2021-10-05,0
2021-10-06,169
2021-10-07,0
2021-10-08,0
2021-10-12,2
2021-10-13,0
2021-10-14,157
2021-10-15,0
2021-10-18,0
2021-10-19,0
2021-10-20,140
2021-10-21,0
2021-10-22,0
2021-10-25,0
2021-10-26,0
2021-10-27,181
2021-10-28,0
2021-10-29,0
2021-11-01,0
2021-11-02,0
2021-11-03,265
2021-11-04,0
2021-11-05,0
2021-11-08,0
2021-11-09,4
2021-11-10,354
2021-11-12,0
2021-11-15,0
2021-11-16,0
2021-11-17,139
2021-11-18,0
2021-11-19,0
2021-11-22,0
2021-11-23,0
2021-11-24,78
2021-11-26,0
2021-11-29,0
2021-11-30,1
2021-12-01,247
2021-12-02,0
2021-12-03,0
2021-12-06,0
2021-12-07,0
2021-12-08,92
2021-12-09,0
2021-12-10,0
2021-12-13,0
2021-12-14,0
2021-12-15,1
2021-12-16,0
2021-12-17,0
2021-12-20,0
2021-12-21,0
2021-12-22,0
2021-12-23,0
2021-12-24,0
2021-12-27,0
2021-12-28,0
2021-12-29,0
2021-12-30,0
2021-12-31,0
2022-01-03,0
2022-01-04,0
2022-01-05,0
2022-01-06,0
2022-01-07,0
2022-01-10,0
2022-01-11,0
2022-01-12,0
2022-01-13,0
2022-01-14,0
2022-01-18,0
2022-01-19,0
2022-01-20,0
2022-01-21,0
2022-01-24,0
2022-01-25,0
2022-01-26,0
2022-01-27,0
2022-01-28,0
2022-01-31,0
2022-02-01,0
2022-02-02,0
2022-02-03,0
2022-02-04,0
2022-02-07,0
2022-02-08,0
2022-02-09,0
2022-02-10,0
2022-02-11,0
2022-02-14,0
2022-02-15,0
2022-02-16,0
2022-02-17,0
2022-02-18,0
2022-02-22,0
2022-02-23,0
2022-02-24,0
2022-02-25,0
2022-02-28,0
2022-03-01,0
2022-03-02,0
2022-03-03,0
2022-03-04,0
2022-03-07,0
2022-03-08,0
2022-03-09,0
2022-03-10,0
2022-03-11,0
2022-03-14,0
2022-03-15,0
2022-03-16,0
2022-03-17,0
2022-03-18,0
2022-03-21,0
2022-03-22,0
2022-03-23,0
2022-03-24,0
2022-03-25,0
2022-03-28,0
2022-03-29,0
2022-03-30,0
2022-03-31,0
2022-04-01,0
2022-04-04,0
2022-04-05,0
2022-04-06,0
2022-04-07,0
2022-04-08,0
2022-04-11,0
2022-04-12,0
2022-04-13,0
2022-04-14,0
2022-04-15,0
2022-04-18,0
2022-04-19,0
2022-04-20,0
2022-04-21,0
2022-04-22,0
2022-04-25,0
2022-04-26,0
2022-04-27,0
2022-04-28,0
2022-04-29,0
2022-05-02,0
2022-05-03,-17
2022-05-04,0
2022-05-05,0
2022-05-06,0
2022-05-09,0
2022-05-10,0
2022-05-11,0
2022-05-12,0
2022-05-13,0
2022-05-16,0
2022-05-17,0
2022-05-18,0
2022-05-19,0
2022-05-20,0
2022-05-23,0
2022-05-24,0
2022-05-25,0
2022-05-26,-2
2022-05-27,0
2022-05-31,0
2022-06-01,0
2022-06-02,0
2022-06-03,0
2022-06-06,0
2022-06-07,0
2022-06-08,0
2022-06-09,0
2022-06-10,0
2022-06-13,0
2022-06-14,0
2022-06-15,0
2022-06-16,0
2022-06-17,0
2022-06-21,0
2022-06-22,0
2022-06-23,0
2022-06-24,0
2022-06-27,0
2022-06-28,0
2022-06-29,0
2022-06-30,0
2022-07-01,0
2022-07-05,0
2022-07-06,0
2022-07-07,0
2022-07-08,0
2022-07-11,0
2022-07-12,0
2022-07-13,0
2022-07-14,0
2022-07-15,0
2022-07-18,0
2022-07-19,0
2022-07-20,0
2022-07-21,0
2022-07-22,0
2022-07-25,0
2022-07-26,0
2022-07-27,0
2022-07-28,0
2022-07-29,0
2022-08-01,0
2022-08-02,0
2022-08-03,0
2022-08-04,0
2022-08-05,0
2022-08-08,0
2022-08-09,0
2022-08-10,0
2022-08-11,0
2022-08-12,0
2022-08-15,0
2022-08-16,0
2022-08-17,0
2022-08-18,0
2022-08-19,0
2022-08-22,0
2022-08-23,0
2022-08-24,0
2022-08-25,0
2022-08-26,0
2022-08-29,0
2022-08-30,0
2022-08-31,0
2022-09-01,0
2022-09-02,0
2022-09-06,0
2022-09-07,0
2022-09-08,0
2022-09-09,0
2022-09-12,0
2022-09-13,0
2022-09-14,0
2022-09-15,0
2022-09-16,0
2022-09-19,0
2022-09-20,0
2022-09-21,0
2022-09-22,0
2022-09-23,0
2022-09-26,0
2022-09-27,0
2022-09-28,0
2022-09-29,0
2022-09-30,0
