record_date,transaction_today_amt
2016-01-04,70
2016-01-05,0
2016-01-06,0
2016-01-07,0
2016-01-08,0
2016-01-11,0
2016-01-12,0
2016-01-13,0
2016-01-14,0
2016-01-15,0
2016-01-19,0
2016-01-20,0
2016-01-21,0
2016-01-22,0
2016-01-25,2
2016-01-26,0
2016-01-27,0
2016-01-28,0
2016-01-29,997
2016-02-01,299
2016-02-02,220
2016-02-03,6014
2016-02-04,-6
2016-02-05,4795
2016-02-08,3009
2016-02-09,-9
2016-02-10,40263
2016-02-11,79
2016-02-12,6141
2016-02-16,3637
2016-02-17,1981
2016-02-18,19284
2016-02-19,1674
2016-02-22,4390
2016-02-23,4478
2016-02-24,13559
2016-02-25,1707
2016-02-26,2482
2016-02-29,2781
2016-03-01,2090
2016-03-02,10230
2016-03-03,1424
2016-03-04,2534
2016-03-07,2280
2016-03-08,1493
2016-03-09,8062
2016-03-10,1217
2016-03-11,2155
2016-03-14,1975
2016-03-15,1312
2016-03-16,6728
2016-03-17,1054
2016-03-18,1913
2016-03-21,1566
2016-03-22,1290
2016-03-23,5800
2016-03-24,994
2016-03-25,1744
2016-03-28,1496
2016-03-29,1091
2016-03-30,5256
2016-03-31,913
2016-04-01,1578
2016-04-04,1183
2016-04-05,1203
2016-04-06,4972
2016-04-07,979
2016-04-08,1686
2016-04-11,1466
2016-04-12,1179
2016-04-13,5178
2016-04-14,1021
2016-04-15,1797
2016-04-18,1809
2016-04-19,1331
2016-04-20,6141
2016-04-21,1344
2016-04-22,2564
2016-04-25,1697
2016-04-26,1956
2016-04-27,7006
2016-04-28,572
2016-04-29,867
2016-05-02,586
2016-05-03,736
2016-05-04,3336
2016-05-05,218
2016-05-06,199
2016-05-09,244
2016-05-10,267
2016-05-11,1664
2016-05-12,202
2016-05-13,162
2016-05-16,190
2016-05-17,159
2016-05-18,1339
2016-05-19,124
2016-05-20,-8
2016-05-23,224
2016-05-24,70
2016-05-25,849
2016-05-26,88
2016-05-27,53
2016-05-31,109
2016-06-01,75
2016-06-02,823
2016-06-03,79
2016-06-06,83
2016-06-07,70
2016-06-08,637
2016-06-09,65
2016-06-10,35
2016-06-13,68
2016-06-14,71
2016-06-15,600
2016-06-16,57
2016-06-17,47
2016-06-20,59
2016-06-21,54
2016-06-22,625
2016-06-23,0
2016-06-24,109
2016-06-27,60
2016-06-28,56
2016-06-29,494
2016-06-30,29
2016-07-01,50
2016-07-05,0
2016-07-06,294
2016-07-07,0
2016-07-08,0
2016-07-11,95
2016-07-12,76
2016-07-13,458
2016-07-14,39
2016-07-15,33
2016-07-18,50
2016-07-19,52
2016-07-20,369
2016-07-21,38
2016-07-22,40
2016-07-25,39
2016-07-26,35
2016-07-27,343
2016-07-28,33
2016-07-29,25
2016-08-01,30
2016-08-02,30
2016-08-03,298
2016-08-04,30
2016-08-05,25
2016-08-08,29
2016-08-09,29
2016-08-10,284
2016-08-11,26
2016-08-12,25
2016-08-15,31
2016-08-16,29
2016-08-17,292
2016-08-18,24
2016-08-19,14
2016-08-22,43
2016-08-23,28
2016-08-24,278
2016-08-25,24
2016-08-26,15
2016-08-29,38
2016-08-30,26
2016-08-31,280
2016-09-01,25
2016-09-02,21
2016-09-06,30
2016-09-07,23
2016-09-08,255
2016-09-09,25
2016-09-12,34
2016-09-13,26
2016-09-14,248
2016-09-15,0
2016-09-16,44
2016-09-19,31
2016-09-20,29
2016-09-21,262
2016-09-22,0
2016-09-23,57
2016-09-26,35
2016-09-27,26
2016-09-28,317
2016-09-29,13
2016-09-30,45
2016-10-03,32
2016-10-04,31
2016-10-05,315
2016-10-06,32
2016-10-07,33
2016-10-11,48
2016-10-12,41
2016-10-13,380
2016-10-14,45
2016-10-17,78
2016-10-18,105
2016-10-19,583
2016-10-20,81
2016-10-21,75
2016-10-24,205
2016-10-25,240
2016-10-26,1222
2016-10-27,93
2016-10-28,97
2016-10-31,201
2016-11-01,215
2016-11-02,1800
2016-11-03,62
2016-11-04,29
2016-11-07,58
2016-11-08,45
2016-11-09,996
2016-11-10,64
2016-11-14,18
2016-11-15,39
2016-11-16,52
2016-11-17,399
2016-11-18,20
2016-11-21,6
2016-11-22,11
2016-11-23,245
2016-11-25,4
2016-11-28,14
2016-11-29,9
2016-11-30,117
2016-12-01,13
2016-12-02,9
2016-12-05,7
2016-12-06,10
2016-12-07,221
2016-12-08,7
2016-12-09,4
2016-12-12,5
2016-12-13,6
2016-12-14,161
2016-12-15,4
2016-12-16,3
2016-12-19,36
2016-12-20,4
2016-12-21,99
2016-12-22,5
2016-12-23,3
2016-12-27,3
2016-12-28,3
2016-12-29,80
2016-12-30,2
2017-01-03,37
2017-01-04,0
2017-01-05,0
2017-01-06,0
2017-01-09,2
2017-01-10,0
2017-01-11,0
2017-01-12,0
2017-01-13,3
2017-01-17,2
2017-01-18,0
2017-01-19,0
2017-01-20,0
2017-01-23,0
2017-01-24,1
2017-01-25,0
2017-01-26,1
2017-01-27,436
2017-01-30,216
2017-01-31,734
2017-02-01,2220
2017-02-02,0
2017-02-03,1531
2017-02-06,1236
2017-02-07,960
2017-02-08,5243
2017-02-09,0
2017-02-10,3150
2017-02-13,2114
2017-02-14,-6
2017-02-15,8641
2017-02-16,935
2017-02-17,2505
2017-02-21,2215
2017-02-22,23093
2017-02-23,40057
2017-02-24,1834
2017-02-27,4058
2017-02-28,4225
2017-03-01,11753
2017-03-02,1690
2017-03-03,2393
2017-03-06,2796
2017-03-07,2117
2017-03-08,10244
2017-03-09,1418
2017-03-10,2482
2017-03-13,2268
2017-03-14,1468
2017-03-15,8337
2017-03-16,1289
2017-03-17,2159
2017-03-20,2013
2017-03-21,1272
2017-03-22,7012
2017-03-23,1170
2017-03-24,1930
2017-03-27,1793
2017-03-28,1187
2017-03-29,6312
2017-03-30,1087
2017-03-31,1949
2017-04-03,1655
2017-04-04,1341
2017-04-05,6529
2017-04-06,1174
2017-04-07,1952
2017-04-10,1722
2017-04-11,1263
2017-04-12,6301
2017-04-13,1093
2017-04-14,1989
2017-04-17,1776
2017-04-18,1457
2017-04-19,6988
2017-04-20,1364
2017-04-21,2691
2017-04-24,2122
2017-04-25,1385
2017-04-26,8888
2017-04-27,1582
2017-04-28,390
2017-05-01,455
2017-05-02,385
2017-05-03,4061
2017-05-04,346
2017-05-05,165
2017-05-08,259
2017-05-09,240
2017-05-10,1969
2017-05-11,209
2017-05-12,126
2017-05-15,255
2017-05-16,139
2017-05-17,1250
2017-05-18,132
2017-05-19,96
2017-05-22,147
2017-05-23,98
2017-05-24,895
2017-05-25,76
2017-05-26,67
2017-05-30,90
2017-05-31,101
2017-06-01,732
2017-06-02,101
2017-06-05,93
2017-06-06,63
2017-06-07,729
2017-06-08,69
2017-06-09,50
2017-06-12,69
2017-06-13,64
2017-06-14,556
2017-06-15,50
2017-06-16,56
2017-06-19,56
2017-06-20,58
2017-06-21,571
2017-06-22,0
2017-06-23,97
2017-06-26,51
2017-06-27,65
2017-06-28,493
2017-06-29,60
2017-06-30,44
2017-07-03,47
2017-07-05,47
2017-07-06,463
2017-07-07,67
2017-07-10,40
2017-07-11,50
2017-07-12,408
2017-07-13,35
2017-07-14,34
2017-07-17,34
2017-07-18,39
2017-07-19,343
2017-07-20,33
2017-07-21,37
2017-07-24,40
2017-07-25,37
2017-07-26,388
2017-07-27,33
2017-07-28,58
2017-07-31,30
2017-08-01,44
2017-08-02,381
2017-08-03,30
2017-08-04,25
2017-08-07,31
2017-08-08,31
2017-08-09,338
2017-08-10,27
2017-08-11,24
2017-08-14,34
2017-08-15,31
2017-08-16,319
2017-08-17,24
2017-08-18,9
2017-08-21,45
2017-08-22,30
2017-08-23,331
2017-08-24,37
2017-08-25,20
2017-08-28,33
2017-08-29,28
2017-08-30,286
2017-08-31,24
2017-09-01,23
2017-09-05,28
2017-09-06,27
2017-09-07,289
2017-09-08,24
2017-09-11,28
2017-09-12,15
2017-09-13,224
2017-09-14,52
2017-09-15,20
2017-09-18,34
2017-09-19,33
2017-09-20,318
2017-09-21,31
2017-09-22,31
2017-09-25,51
2017-09-26,29
2017-09-27,343
2017-09-28,0
2017-09-29,54
2017-10-02,37
2017-10-03,36
2017-10-04,350
2017-10-05,83
2017-10-06,39
2017-10-10,49
2017-10-11,59
2017-10-12,430
2017-10-13,49
2017-10-16,55
2017-10-17,142
2017-10-18,722
2017-10-19,104
2017-10-20,94
2017-10-23,286
2017-10-24,320
2017-10-25,1539
2017-10-26,87
2017-10-27,44
2017-10-30,107
2017-10-31,144
2017-11-01,1338
2017-11-02,45
2017-11-03,33
2017-11-06,44
2017-11-07,113
2017-11-08,1071
