record_date,transaction_today_amt
2016-01-04,550
2016-01-05,2355
2016-01-06,3177
2016-01-07,1260
2016-01-08,974
2016-01-11,1845
2016-01-12,2551
2016-01-13,5882
2016-01-14,2324
2016-01-15,1867
2016-01-19,5593
2016-01-20,34538
2016-01-21,8148
2016-01-22,2611
2016-01-25,1378
2016-01-26,1192
2016-01-27,1521
2016-01-28,359
2016-01-29,310
2016-02-01,339
2016-02-02,467
2016-02-03,622
2016-02-04,252
2016-02-05,183
2016-02-08,248
2016-02-09,294
2016-02-10,584
2016-02-11,188
2016-02-12,121
2016-02-16,230
2016-02-17,247
2016-02-18,608
2016-02-19,133
2016-02-22,160
2016-02-23,303
2016-02-24,661
2016-02-25,222
2016-02-26,161
2016-02-29,300
2016-03-01,389
2016-03-02,1063
2016-03-03,480
2016-03-04,395
2016-03-07,1237
2016-03-08,985
2016-03-09,914
2016-03-10,233
2016-03-11,215
2016-03-14,367
2016-03-15,403
2016-03-16,974
2016-03-17,302
2016-03-18,255
2016-03-21,519
2016-03-22,635
2016-03-23,1142
2016-03-24,340
2016-03-25,345
2016-03-28,711
2016-03-29,913
2016-03-30,1344
2016-03-31,643
2016-04-01,697
2016-04-04,858
2016-04-05,1902
2016-04-06,2872
2016-04-07,1140
2016-04-08,1489
2016-04-11,2661
2016-04-12,8859
2016-04-13,3911
2016-04-14,2378
2016-04-15,4703
2016-04-18,7562
2016-04-19,33696
2016-04-20,16830
2016-04-21,14647
2016-04-22,16264
2016-04-25,18659
2016-04-26,36479
2016-04-27,7248
2016-04-28,5994
2016-04-29,4133
2016-05-02,3185
2016-05-03,1397
2016-05-04,814
2016-05-05,322
2016-05-06,471
2016-05-09,402
2016-05-10,335
2016-05-11,620
2016-05-12,243
2016-05-13,185
2016-05-16,260
2016-05-17,356
2016-05-18,699
2016-05-19,294
2016-05-20,266
2016-05-23,325
2016-05-24,348
2016-05-25,610
2016-05-26,427
2016-05-27,304
2016-05-31,303
2016-06-01,335
2016-06-02,953
2016-06-03,205
2016-06-06,342
2016-06-07,938
2016-06-08,2447
2016-06-09,751
2016-06-10,1033
2016-06-13,1896
2016-06-14,3821
2016-06-15,5328
2016-06-16,2258
2016-06-17,3803
2016-06-20,6525
2016-06-21,19690
2016-06-22,7839
2016-06-23,991
2016-06-24,459
2016-06-27,689
2016-06-28,636
2016-06-29,1022
2016-06-30,347
2016-07-01,160
2016-07-05,408
2016-07-06,337
2016-07-07,982
2016-07-08,214
2016-07-11,209
2016-07-12,306
2016-07-13,723
2016-07-14,235
2016-07-15,181
2016-07-18,293
2016-07-19,375
2016-07-20,804
2016-07-21,243
2016-07-22,192
2016-07-25,283
2016-07-26,291
2016-07-27,519
2016-07-28,167
2016-07-29,157
2016-08-01,265
2016-08-02,239
2016-08-03,480
2016-08-04,169
2016-08-05,253
2016-08-08,262
2016-08-09,276
2016-08-10,514
2016-08-11,141
2016-08-12,178
2016-08-15,233
2016-08-16,289
2016-08-17,540
2016-08-18,240
2016-08-19,179
2016-08-22,283
2016-08-23,301
2016-08-24,622
2016-08-25,245
2016-08-26,189
2016-08-29,380
2016-08-30,473
2016-08-31,829
2016-09-01,232
2016-09-02,378
2016-09-06,537
2016-09-07,926
2016-09-08,2675
2016-09-09,519
2016-09-12,1100
2016-09-13,3073
2016-09-14,6233
2016-09-15,2049
2016-09-16,2881
2016-09-19,5706
2016-09-20,27276
2016-09-21,8210
2016-09-22,1957
2016-09-23,810
2016-09-26,874
2016-09-27,713
2016-09-28,1170
2016-09-29,243
2016-09-30,260
2016-10-03,401
2016-10-04,481
2016-10-05,920
2016-10-06,294
2016-10-07,228
2016-10-11,469
2016-10-12,645
2016-10-13,1083
2016-10-14,291
2016-10-17,479
2016-10-18,2047
2016-10-19,2504
2016-10-20,1692
2016-10-21,1286
2016-10-24,2838
2016-10-25,1805
2016-10-26,1209
2016-10-27,412
2016-10-28,343
2016-10-31,328
2016-11-01,336
2016-11-02,504
2016-11-03,146
2016-11-04,244
2016-11-07,224
2016-11-08,216
2016-11-09,528
2016-11-10,157
2016-11-14,165
2016-11-15,226
2016-11-16,531
2016-11-17,251
2016-11-18,194
2016-11-21,265
2016-11-22,305
2016-11-23,539
2016-11-25,176
2016-11-28,206
2016-11-29,385
2016-11-30,343
2016-12-01,156
2016-12-02,204
2016-12-05,232
2016-12-06,243
2016-12-07,717
2016-12-08,293
2016-12-09,308
2016-12-12,327
2016-12-13,383
2016-12-14,918
2016-12-15,346
2016-12-16,383
2016-12-19,501
2016-12-20,435
2016-12-21,1398
2016-12-22,417
2016-12-23,467
2016-12-27,596
2016-12-28,826
