record_date,transaction_today_amt
2022-03-14,11
2022-03-14,0
2022-03-15,0
2022-03-15,0
2022-03-16,0
2022-03-16,0
2022-03-17,0
2022-03-17,0
2022-03-18,95
2022-03-18,0
2022-03-21,0
2022-03-21,0
2022-03-22,0
2022-03-22,0
2022-03-23,0
2022-03-23,0
2022-03-24,0
2022-03-24,48
2022-03-25,7
2022-03-25,0
2022-03-28,0
2022-03-28,0
2022-03-29,0
2022-03-29,2
2022-03-30,0
2022-03-30,0
2022-03-31,18
2022-03-31,0
2022-04-01,0
2022-04-01,0
2022-04-04,0
2022-04-04,0
2022-04-05,0
2022-04-05,0
2022-04-06,0
2022-04-06,0
2022-04-07,0
2022-04-07,0
2022-04-08,41
2022-04-08,0
2022-04-11,0
2022-04-11,0
2022-04-12,0
2022-04-12,0
2022-04-13,0
2022-04-13,0
2022-04-14,0
2022-04-14,0
2022-04-15,0
2022-04-15,0
2022-04-18,0
2022-04-18,49
2022-04-19,0
2022-04-19,0
2022-04-20,0
2022-04-20,0
2022-04-21,243
2022-04-21,186
2022-04-22,0
2022-04-22,0
2022-04-25,0
2022-04-25,0
2022-04-26,0
2022-04-26,0
2022-04-27,0
2022-04-27,0
2022-04-28,75
2022-04-28,0
2022-04-29,0
2022-04-29,0
2022-05-02,0
2022-05-02,0
2022-05-03,0
2022-05-03,24
2022-05-04,0
2022-05-04,0
2022-05-05,15
2022-05-05,0
2022-05-06,0
2022-05-06,0
2022-05-09,0
2022-05-09,0
2022-05-10,0
2022-05-10,0
2022-05-11,99
2022-05-11,0
2022-05-12,0
2022-05-12,21
2022-05-13,0
2022-05-13,0
2022-05-16,0
2022-05-16,0
2022-05-17,0
2022-05-17,0
2022-05-18,0
2022-05-18,0
2022-05-19,42
2022-05-19,0
2022-05-20,0
2022-05-20,0
2022-05-23,0
2022-05-23,0
2022-05-24,25
2022-05-24,0
2022-05-25,0
2022-05-25,0
2022-05-26,0
2022-05-26,0
2022-05-27,51
2022-05-27,0
2022-05-31,0
2022-05-31,0
2022-06-01,0
2022-06-01,0
2022-06-02,0
2022-06-02,0
2022-06-03,0
2022-06-03,0
2022-06-06,0
2022-06-06,0
2022-06-07,0
2022-06-07,14
2022-06-08,20
2022-06-08,0
2022-06-09,0
2022-06-09,0
2022-06-10,0
2022-06-10,56
2022-06-13,0
2022-06-13,0
2022-06-14,26
2022-06-14,0
2022-06-15,0
2022-06-15,0
2022-06-16,17
2022-06-16,0
2022-06-17,13
2022-06-17,0
2022-06-21,6
2022-06-21,0
2022-06-22,27
2022-06-22,0
2022-06-23,180
2022-06-23,0
2022-06-24,6
2022-06-24,0
2022-06-27,0
2022-06-27,32
2022-06-28,0
2022-06-28,18
2022-06-29,0
2022-06-29,8
2022-06-30,81
2022-06-30,0
2022-07-01,0
2022-07-01,0
2022-07-05,0
2022-07-05,0
2022-07-06,0
2022-07-06,0
2022-07-07,0
2022-07-07,23
2022-07-08,0
