record_date,transaction_today_amt
2016-01-04,1757
2016-01-05,1527
2016-01-06,1857
2016-01-07,1005
2016-01-08,770
2016-01-11,829
2016-01-12,1216
2016-01-13,1613
2016-01-14,1409
2016-01-15,965
2016-01-19,1315
2016-01-20,1657
2016-01-21,2040
2016-01-22,1969
2016-01-25,1794
2016-01-26,1601
2016-01-27,1787
2016-01-28,1641
2016-01-29,1405
2016-02-01,1231
2016-02-02,1461
2016-02-03,1307
2016-02-04,1307
2016-02-05,1303
2016-02-08,1212
2016-02-09,1238
2016-02-10,1477
2016-02-11,1329
2016-02-12,1172
2016-02-16,1564
2016-02-17,2057
2016-02-18,1981
2016-02-19,1870
2016-02-22,1665
2016-02-23,1741
2016-02-24,2033
2016-02-25,2130
2016-02-26,1635
2016-02-29,1360
2016-03-01,1568
2016-03-02,1584
2016-03-03,1264
2016-03-04,1309
2016-03-07,1239
2016-03-08,1252
2016-03-09,1504
2016-03-10,1398
2016-03-11,1215
2016-03-14,1234
2016-03-15,1592
2016-03-16,1469
2016-03-17,1364
2016-03-18,1667
2016-03-21,1694
2016-03-22,1866
2016-03-23,2121
2016-03-24,2441
2016-03-25,2848
2016-03-28,1497
2016-03-29,1779
2016-03-30,1541
2016-03-31,1273
2016-04-01,1400
2016-04-04,1241
2016-04-05,1210
2016-04-06,1478
2016-04-07,1249
2016-04-08,1069
2016-04-11,991
2016-04-12,1616
2016-04-13,1433
2016-04-14,1292
2016-04-15,1525
2016-04-18,1524
2016-04-19,1538
2016-04-20,1998
2016-04-21,1888
2016-04-22,1739
2016-04-25,1667
2016-04-26,2704
2016-04-27,1818
2016-04-28,1479
2016-04-29,1579
2016-05-02,1452
2016-05-03,1379
2016-05-04,1628
2016-05-05,1404
2016-05-06,1199
2016-05-09,1265
2016-05-10,1651
2016-05-11,1407
2016-05-12,1205
2016-05-13,1441
2016-05-16,1399
2016-05-17,1413
2016-05-18,1798
2016-05-19,1787
2016-05-20,1680
2016-05-23,1693
2016-05-24,1528
2016-05-25,2471
2016-05-26,1529
2016-05-27,1680
2016-05-31,1979
2016-06-01,1556
2016-06-02,1957
2016-06-03,1376
2016-06-06,1156
2016-06-07,1508
2016-06-08,1373
2016-06-09,1197
2016-06-10,1351
2016-06-13,1044
2016-06-14,838
2016-06-15,1394
2016-06-16,1547
2016-06-17,1485
2016-06-20,1719
2016-06-21,2032
2016-06-22,1861
2016-06-23,2514
2016-06-24,1817
2016-06-27,1612
2016-06-28,1627
2016-06-29,1776
2016-06-30,1513
2016-07-01,1323
2016-07-05,1712
2016-07-06,1750
2016-07-07,1687
2016-07-08,1155
2016-07-11,1322
2016-07-12,1241
2016-07-13,1733
2016-07-14,1426
2016-07-15,1381
2016-07-18,1085
2016-07-19,1129
2016-07-20,1407
2016-07-21,1832
2016-07-22,1882
2016-07-25,1980
2016-07-26,2024
2016-07-27,1946
2016-07-28,1595
2016-07-29,1404
2016-08-01,1301
2016-08-02,1508
2016-08-03,1396
2016-08-04,1230
2016-08-05,1370
2016-08-08,1400
2016-08-09,1292
2016-08-10,1586
2016-08-11,1353
2016-08-12,1269
2016-08-15,1359
2016-08-16,1487
2016-08-17,1590
2016-08-18,1458
2016-08-19,1714
2016-08-22,1909
2016-08-23,1870
2016-08-24,1993
2016-08-25,1643
2016-08-26,1435
2016-08-29,1471
2016-08-30,1513
2016-08-31,1517
2016-09-01,1205
2016-09-02,1396
2016-09-06,1936
2016-09-07,1494
2016-09-08,1864
2016-09-09,1343
2016-09-12,1211
2016-09-13,1409
2016-09-14,1427
2016-09-15,1255
2016-09-16,1493
2016-09-19,1390
2016-09-20,1923
2016-09-21,1640
2016-09-22,1952
2016-09-23,1725
2016-09-26,1709
2016-09-27,2524
2016-09-28,1672
