record_date,transaction_today_amt
2016-01-04,0
2016-01-05,135
2016-01-06,88
2016-01-07,46
2016-01-08,41
2016-01-11,49
2016-01-12,15
2016-01-13,60
2016-01-14,84
2016-01-15,35
2016-01-19,56
2016-01-20,34
2016-01-21,96
2016-01-22,110
2016-01-25,86
2016-01-26,60
2016-01-27,82
2016-01-28,0
2016-01-29,0
2016-02-01,0
2016-02-02,102
2016-02-03,139
2016-02-04,68
2016-02-05,47
2016-02-08,45
2016-02-09,36
2016-02-10,49
2016-02-11,103
2016-02-12,18
2016-02-16,100
2016-02-17,40
2016-02-18,56
2016-02-19,147
2016-02-22,89
2016-02-23,101
2016-02-24,115
2016-02-25,138
2016-02-26,0
2016-02-29,0
2016-03-01,0
2016-03-02,140
2016-03-03,60
2016-03-04,109
2016-03-07,97
2016-03-08,24
2016-03-09,84
2016-03-10,81
2016-03-11,42
2016-03-14,34
2016-03-15,27
2016-03-16,33
2016-03-17,51
2016-03-18,65
2016-03-21,33
2016-03-22,40
2016-03-23,65
2016-03-24,193
2016-03-25,71
2016-03-28,98
2016-03-29,64
2016-03-30,0
2016-03-31,0
2016-04-01,0
2016-04-04,97
2016-04-05,56
2016-04-06,68
2016-04-07,152
2016-04-08,41
2016-04-11,40
2016-04-12,32
2016-04-13,61
2016-04-14,26
2016-04-15,21
2016-04-18,51
2016-04-19,10
2016-04-20,107
2016-04-21,108
2016-04-22,102
2016-04-25,63
2016-04-26,62
2016-04-27,128
2016-04-28,0
2016-04-29,0
2016-05-02,0
2016-05-03,127
2016-05-04,61
2016-05-05,101
2016-05-06,105
2016-05-09,52
2016-05-10,19
2016-05-11,78
2016-05-12,37
2016-05-13,38
2016-05-16,78
2016-05-17,12
2016-05-18,33
2016-05-19,105
2016-05-20,59
2016-05-23,8
2016-05-24,89
2016-05-25,131
2016-05-26,110
2016-05-27,0
2016-05-31,0
2016-06-01,0
2016-06-02,148
2016-06-03,153
2016-06-06,67
2016-06-07,28
2016-06-08,59
2016-06-09,46
2016-06-10,87
2016-06-13,50
2016-06-14,26
2016-06-15,34
2016-06-16,116
2016-06-17,59
2016-06-20,64
2016-06-21,37
2016-06-22,138
2016-06-23,41
2016-06-24,117
2016-06-27,60
2016-06-28,156
2016-06-29,0
2016-06-30,0
2016-07-01,0
2016-07-05,212
2016-07-06,96
2016-07-07,10
2016-07-08,41
2016-07-11,65
2016-07-12,36
2016-07-13,77
2016-07-14,258
2016-07-15,34
2016-07-18,68
2016-07-19,13
2016-07-20,68
2016-07-21,40
2016-07-22,138
2016-07-25,50
2016-07-26,78
2016-07-27,59
2016-07-28,0
2016-07-29,0
2016-08-01,0
2016-08-02,134
2016-08-03,153
2016-08-04,61
2016-08-05,44
2016-08-08,67
2016-08-09,30
2016-08-10,91
2016-08-11,99
2016-08-12,50
2016-08-15,63
2016-08-16,22
2016-08-17,82
2016-08-18,37
2016-08-19,42
2016-08-22,54
2016-08-23,23
2016-08-24,84
2016-08-25,89
2016-08-26,122
2016-08-29,98
2016-08-30,0
2016-08-31,0
2016-09-01,0
2016-09-02,115
2016-09-06,105
2016-09-07,25
2016-09-08,100
2016-09-09,84
2016-09-12,69
2016-09-13,32
2016-09-14,139
2016-09-15,22
2016-09-16,118
2016-09-19,86
2016-09-20,163
2016-09-21,80
2016-09-22,120
2016-09-23,114
2016-09-26,79
2016-09-27,42
2016-09-28,168
2016-09-29,0
2016-09-30,0
2016-10-03,0
2016-10-04,74
2016-10-05,106
2016-10-06,85
2016-10-07,38
2016-10-11,104
2016-10-12,77
2016-10-13,111
2016-10-14,65
2016-10-17,68
2016-10-18,11
2016-10-19,46
2016-10-20,108
2016-10-21,33
2016-10-24,57
2016-10-25,54
2016-10-26,84
2016-10-27,103
2016-10-28,0
2016-10-31,0
2016-11-01,0
2016-11-02,233
2016-11-03,124
2016-11-04,45
2016-11-07,71
2016-11-08,25
2016-11-09,97
2016-11-10,65
2016-11-14,72
2016-11-15,63
2016-11-16,47
2016-11-17,160
2016-11-18,94
2016-11-21,123
2016-11-22,101
2016-11-23,151
2016-11-25,60
2016-11-28,77
2016-11-29,0
2016-11-30,0
2016-12-01,0
2016-12-02,210
2016-12-05,194
2016-12-06,44
2016-12-07,57
2016-12-08,37
2016-12-09,125
2016-12-12,41
2016-12-13,34
2016-12-14,107
2016-12-15,188
2016-12-16,64
2016-12-19,126
2016-12-20,34
2016-12-21,227
2016-12-22,284
2016-12-23,90
2016-12-27,129
2016-12-28,37
2016-12-29,0
2016-12-30,0
2017-01-03,0
2017-01-04,53
2017-01-05,81
2017-01-06,36
2017-01-09,34
2017-01-10,54
2017-01-11,18
2017-01-12,167
2017-01-13,50
2017-01-17,70
2017-01-18,31
2017-01-19,49
2017-01-20,63
2017-01-23,46
2017-01-24,103
2017-01-25,58
2017-01-26,67
2017-01-27,105
2017-01-30,0
2017-01-31,0
2017-02-01,0
2017-02-02,125
2017-02-03,129
2017-02-06,69
2017-02-07,37
2017-02-08,90
2017-02-09,82
