record_date,transaction_today_amt
2022-05-16,240
2022-05-17,240
2022-05-18,349
2022-05-19,298
2022-05-20,379
2022-05-23,210
2022-05-24,693
2022-05-25,354
2022-05-26,677
2022-05-27,312
2022-05-31,263
2022-06-01,367
2022-06-02,305
2022-06-03,397
2022-06-06,198
2022-06-07,230
2022-06-08,301
2022-06-09,874
2022-06-10,514
2022-06-13,203
2022-06-14,275
2022-06-15,347
2022-06-16,256
2022-06-17,354
2022-06-21,296
2022-06-22,328
2022-06-23,1159
2022-06-24,243
2022-06-27,220
2022-06-28,258
2022-06-29,341
2022-06-30,303
2022-07-01,392
2022-07-05,308
2022-07-06,416
2022-07-07,300
2022-07-08,259
2022-07-11,347
2022-07-12,770
2022-07-13,346
2022-07-14,416
2022-07-15,336
2022-07-18,219
2022-07-19,242
2022-07-20,355
2022-07-21,246
2022-07-22,220
2022-07-25,526
2022-07-26,551
2022-07-27,367
2022-07-28,637
2022-07-29,436
2022-08-01,263
2022-08-02,249
2022-08-03,402
2022-08-04,311
2022-08-05,220
2022-08-08,230
2022-08-09,742
2022-08-10,584
2022-08-11,498
2022-08-12,428
2022-08-15,226
2022-08-16,233
2022-08-17,342
2022-08-18,258
2022-08-19,299
2022-08-22,254
2022-08-23,229
2022-08-24,860
2022-08-25,797
2022-08-26,357
2022-08-29,262
2022-08-30,295
2022-08-31,352
2022-09-01,286
2022-09-02,223
2022-09-06,422
2022-09-07,294
2022-09-08,900
2022-09-09,379
2022-09-12,397
2022-09-13,348
2022-09-14,377
2022-09-15,242
2022-09-16,257
2022-09-19,354
2022-09-20,225
2022-09-21,319
2022-09-22,640
2022-09-23,346
2022-09-26,410
2022-09-27,232
2022-09-28,314
2022-09-29,281
2022-09-30,285
2022-10-03,219
2022-10-04,272
2022-10-05,376
2022-10-06,202
2022-10-07,487
2022-10-11,1012
2022-10-12,510
2022-10-13,525
2022-10-14,295
2022-10-17,202
2022-10-18,305
2022-10-19,340
2022-10-20,314
2022-10-21,395
2022-10-24,570
2022-10-25,571
2022-10-26,345
2022-10-27,634
2022-10-28,218
2022-10-31,220
2022-11-01,202
2022-11-02,347
2022-11-03,283
2022-11-04,454
2022-11-07,267
2022-11-08,264
2022-11-09,900
2022-11-10,784
2022-11-14,423
2022-11-15,296
2022-11-16,355
2022-11-17,271
2022-11-18,404
2022-11-21,243
2022-11-22,607
2022-11-23,930
2022-11-25,159
2022-11-28,123
2022-11-29,291
2022-11-30,463
2022-12-01,206
2022-12-02,407
2022-12-05,363
2022-12-06,263
2022-12-07,328
2022-12-08,922
2022-12-09,366
2022-12-12,394
2022-12-13,237
2022-12-14,404
2022-12-15,267
2022-12-16,372
2022-12-19,280
2022-12-20,177
2022-12-21,342
2022-12-22,1221
2022-12-23,296
2022-12-27,239
2022-12-28,256
2022-12-29,317
2022-12-30,493
2023-01-03,235
2023-01-04,321
2023-01-05,431
2023-01-06,197
2023-01-09,511
2023-01-10,550
2023-01-11,304
2023-01-12,401
2023-01-13,478
2023-01-17,280
2023-01-18,377
2023-01-19,348
2023-01-20,199
2023-01-23,203
2023-01-24,799
2023-01-25,672
2023-01-26,610
2023-01-27,338
2023-01-30,265
2023-01-31,251
2023-02-01,323
2023-02-02,323
2023-02-03,346
2023-02-06,285
2023-02-07,246
2023-02-08,327
2023-02-09,895
2023-02-10,564
2023-02-13,376
2023-02-14,266
2023-02-15,417
2023-02-16,313
2023-02-17,256
2023-02-21,284
2023-02-22,424
2023-02-23,1267
2023-02-24,422
2023-02-27,238
2023-02-28,264
2023-03-01,413
2023-03-02,270
2023-03-03,309
2023-03-06,253
2023-03-07,242
2023-03-08,374
2023-03-09,808
2023-03-10,724
2023-03-13,260
2023-03-14,224
2023-03-15,373
2023-03-16,276
2023-03-17,233
2023-03-20,247
2023-03-21,238
2023-03-22,345
2023-03-23,1245
2023-03-24,412
2023-03-27,268
2023-03-28,243
2023-03-29,388
2023-03-30,265
2023-03-31,294
2023-04-03,255
2023-04-04,251
2023-04-05,453
2023-04-06,291
2023-04-07,403
2023-04-10,947
2023-04-11,296
2023-04-12,397
2023-04-13,540
2023-04-14,243
2023-04-17,234
2023-04-18,212
2023-04-19,365
2023-04-20,277
2023-04-21,412
2023-04-24,605
2023-04-25,595
2023-04-26,337
2023-04-27,643
2023-04-28,308
2023-05-01,229
2023-05-02,252
2023-05-03,404
2023-05-04,295
2023-05-05,430
2023-05-08,330
2023-05-09,787
2023-05-10,650
2023-05-11,516
2023-05-12,237
2023-05-15,221
2023-05-16,262
2023-05-17,405
2023-05-18,268
2023-05-19,471
2023-05-22,265
2023-05-23,214
2023-05-24,817
2023-05-25,312
2023-05-26,718
2023-05-30,281
2023-05-31,372
2023-06-01,313
2023-06-02,457
2023-06-05,270
2023-06-06,279
2023-06-07,315
2023-06-08,1056
2023-06-09,403
2023-06-12,357
2023-06-13,255
2023-06-14,372
2023-06-15,269
2023-06-16,415
2023-06-20,392
2023-06-21,355
2023-06-22,682
2023-06-23,263
2023-06-26,185
2023-06-27,890
2023-06-28,319
2023-06-29,298
2023-06-30,420
2023-07-03,294
2023-07-05,321
2023-07-06,438
2023-07-07,372
2023-07-10,345
2023-07-11,830
2023-07-12,345
2023-07-13,449
2023-07-14,455
2023-07-17,209
2023-07-18,228
2023-07-19,346
2023-07-20,261
2023-07-21,223
2023-07-24,448
2023-07-25,586
2023-07-26,333
2023-07-27,640
2023-07-28,461
2023-07-31,231
2023-08-01,263
2023-08-02,367
2023-08-03,320
2023-08-04,255
2023-08-07,223
2023-08-08,244
2023-08-09,1008
2023-08-10,716
2023-08-11,493
2023-08-14,238
2023-08-15,220
2023-08-16,388
2023-08-17,512
2023-08-18,240
2023-08-21,249
2023-08-22,225
2023-08-23,343
2023-08-24,1096
2023-08-25,457
2023-08-28,222
2023-08-29,257
2023-08-30,338
2023-08-31,257
2023-09-01,273
2023-09-05,277
2023-09-06,418
2023-09-07,287
2023-09-08,363
2023-09-11,419
2023-09-12,908
2023-09-13,389
2023-09-14,454
2023-09-15,225
2023-09-18,231
2023-09-19,269
2023-09-20,345
2023-09-21,250
2023-09-22,480
2023-09-25,750
2023-09-26,250
2023-09-27,403
2023-09-28,741
2023-09-29,282
2023-10-02,201
2023-10-03,294
2023-10-04,397
2023-10-05,228
2023-10-06,432
2023-10-10,894
2023-10-11,458
2023-10-12,748
2023-10-13,243
2023-10-16,231
2023-10-17,273
2023-10-18,314
2023-10-19,339
2023-10-20,492
2023-10-23,252
2023-10-24,858
2023-10-25,706
2023-10-26,629
2023-10-27,264
2023-10-30,220
2023-10-31,340
2023-11-01,319
2023-11-02,343
2023-11-03,577
