record_date,transaction_today_amt
2022-05-16,82
2022-05-17,17
2022-05-18,49
2022-05-19,28
2022-05-20,37
2022-05-23,7
2022-05-24,3
2022-05-25,1
2022-05-26,2
2022-05-27,3
2022-05-31,46
2022-06-01,1
2022-06-02,7
2022-06-03,3
2022-06-06,0
2022-06-07,2
2022-06-08,4
2022-06-09,2
2022-06-10,6
2022-06-13,75
2022-06-14,1
2022-06-15,36
2022-06-16,2
2022-06-17,2
2022-06-21,1
2022-06-22,0
2022-06-23,3
2022-06-24,7
2022-06-27,46
2022-06-28,0
2022-06-29,2
2022-06-30,2
2022-07-01,0
2022-07-05,10
2022-07-06,2
2022-07-07,5
2022-07-08,2
2022-07-11,50
2022-07-12,2
2022-07-13,29
2022-07-14,3
2022-07-15,38
2022-07-18,1
2022-07-19,0
2022-07-20,0
2022-07-21,3
2022-07-22,2
2022-07-25,49
2022-07-26,1
2022-07-27,1
2022-07-28,13
2022-07-29,2
2022-08-01,1
2022-08-02,17
2022-08-03,7
2022-08-04,8
2022-08-05,7
2022-08-08,48
2022-08-09,18
2022-08-10,16
2022-08-11,23
2022-08-12,35
2022-08-15,32
2022-08-16,8
2022-08-17,44
2022-08-18,56
2022-08-19,40
2022-08-22,67
2022-08-23,8
2022-08-24,1
2022-08-25,2
2022-08-26,6
2022-08-29,1
2022-08-30,1
2022-08-31,4
2022-09-01,1
2022-09-02,12
2022-09-06,49
2022-09-07,0
2022-09-08,13
2022-09-09,2
2022-09-12,1
2022-09-13,30
2022-09-14,0
2022-09-15,37
2022-09-16,0
2022-09-19,63
2022-09-20,138
2022-09-21,1
2022-09-22,1
2022-09-23,0
2022-09-26,1
2022-09-27,1
2022-09-28,2
2022-09-29,3
2022-09-30,1
2022-10-03,47
2022-10-04,9
2022-10-05,0
2022-10-06,1
2022-10-07,4
2022-10-11,3
2022-10-12,5
2022-10-13,29
2022-10-14,26
2022-10-17,69
2022-10-18,0
2022-10-19,0
2022-10-20,0
2022-10-21,4
2022-10-24,2
2022-10-25,3
2022-10-26,1
2022-10-27,16
2022-10-28,5
2022-10-31,48
2022-11-01,3
2022-11-02,9
2022-11-03,5
2022-11-04,4
2022-11-07,0
2022-11-08,8
2022-11-09,10
2022-11-10,56
2022-11-14,102
2022-11-15,42
2022-11-16,34
2022-11-17,9
2022-11-18,76
2022-11-21,19
2022-11-22,2
2022-11-23,7
2022-11-25,4
2022-11-28,48
2022-11-29,13
2022-11-30,7
2022-12-01,1
2022-12-02,2
2022-12-05,9
2022-12-06,1
2022-12-07,3
2022-12-08,2
2022-12-09,5
2022-12-12,76
2022-12-13,2
2022-12-14,27
2022-12-15,22
2022-12-16,1
2022-12-19,0
2022-12-20,7
2022-12-21,2
2022-12-22,14
2022-12-23,1
2022-12-27,47
2022-12-28,1
2022-12-29,6
2022-12-30,3
2023-01-03,1
2023-01-04,12
2023-01-05,6
2023-01-06,2
2023-01-09,77
2023-01-10,2
2023-01-11,1
2023-01-12,3
