record_date,transaction_today_amt
2016-01-04,77
2016-01-04,58
2016-01-04,94
2016-01-04,89
2016-01-05,111
2016-01-05,108
2016-01-05,837
2016-01-06,306
2016-01-06,103
2016-01-07,299
2016-01-07,94
2016-01-08,379
2016-01-08,195
2016-01-08,283
2016-01-08,350
2016-01-11,52
2016-01-11,82
2016-01-11,295
2016-01-12,317
2016-01-12,121
2016-01-13,521
2016-01-13,128
2016-01-14,298
2016-01-14,199
2016-01-15,66
2016-01-15,62
2016-01-15,73
2016-01-15,71
2016-01-15,210
2016-01-15,1320
2016-01-19,61
2016-01-19,189
2016-01-19,337
2016-01-20,413
2016-01-20,360
2016-01-21,76
2016-01-21,476
2016-01-22,576
2016-01-22,266
2016-01-25,448
2016-01-25,112
2016-01-25,1
2016-01-25,62
2016-01-25,52
2016-01-25,54
2016-01-26,103
2016-01-26,1
2016-01-26,1157
2016-01-27,1
2016-01-27,5
2016-01-28,224
2016-01-28,88
2016-01-29,232
2016-01-29,56
2016-01-29,123
2016-01-29,117
2016-01-29,18
2016-01-29,70
2016-02-01,50
2016-02-01,6
2016-02-01,82
2016-02-01,124
2016-02-01,56
2016-02-01,215
2016-02-02,131
2016-02-03,115
2016-02-04,186
2016-02-04,803
2016-02-04,1
2016-02-05,140
2016-02-05,176
2016-02-05,118
2016-02-08,52
2016-02-08,219
2016-02-08,70
2016-02-08,1200
2016-02-08,264
2016-02-08,66
2016-02-09,180
2016-02-09,859
2016-02-09,55
2016-02-10,69
2016-02-10,3984
2016-02-10,120
2016-02-11,51
2016-02-11,275
2016-02-11,59
2016-02-12,81
2016-02-12,71
2016-02-12,77
2016-02-12,76
2016-02-16,738
2016-02-16,2
2016-02-16,70
2016-02-16,57
2016-02-16,80
2016-02-16,204
2016-02-17,821
2016-02-17,58
2016-02-17,1
2016-02-17,266
2016-02-18,163
2016-02-18,1920
2016-02-18,121
2016-02-18,67
2016-02-19,430
2016-02-19,351
2016-02-19,379
2016-02-22,255
2016-02-22,523
2016-02-22,159
2016-02-23,4224
2016-02-23,151
2016-02-24,812
2016-02-24,126
2016-02-24,247
2016-02-25,87
2016-02-26,2
2016-02-26,71
2016-02-26,65
2016-02-26,69
2016-02-29,169
2016-02-29,290
2016-02-29,283
2016-02-29,120
2016-02-29,204
2016-02-29,84
2016-03-01,149
2016-03-01,187
2016-03-02,67
2016-03-03,339
2016-03-03,119
2016-03-03,51
2016-03-03,124
2016-03-04,226
2016-03-07,126
2016-03-07,661
2016-03-08,360
2016-03-09,2
2016-03-09,76
2016-03-09,62
2016-03-10,79
2016-03-11,72
2016-03-11,202
2016-03-11,70
2016-03-14,55
2016-03-14,201
2016-03-14,761
2016-03-15,190
2016-03-15,124
2016-03-15,53
2016-03-15,263
2016-03-15,259
2016-03-16,290
2016-03-16,204
2016-03-17,597
2016-03-18,193
2016-03-18,123
2016-03-18,162
2016-03-21,596
2016-03-21,259
2016-03-22,51
2016-03-22,104
2016-03-23,398
2016-03-23,6
2016-03-23,109
2016-03-24,393
2016-03-24,90
2016-03-24,142
2016-03-25,8
2016-03-25,73
2016-03-25,81
2016-03-28,51
2016-03-28,198
2016-03-29,55
2016-03-29,83
2016-03-29,205
2016-03-30,2459
2016-03-31,557
2016-03-31,346
2016-03-31,84
2016-03-31,4600
2016-03-31,162
2016-03-31,251
2016-03-31,157
2016-04-01,53
2016-04-01,97
2016-04-01,70
2016-04-01,152
2016-04-04,64
2016-04-04,55
2016-04-04,385
2016-04-05,347
2016-04-06,280
2016-04-07,78
2016-04-07,159
2016-04-08,96
2016-04-08,248
2016-04-08,72
2016-04-11,1
2016-04-11,88
2016-04-11,65
2016-04-12,160
2016-04-13,142
2016-04-13,140
2016-04-14,68
2016-04-14,330
2016-04-15,353
2016-04-15,149
2016-04-15,260
2016-04-15,291
2016-04-18,163
2016-04-18,181
2016-04-18,50
2016-04-18,85
2016-04-19,80
2016-04-20,211
2016-04-20,164
2016-04-21,433
2016-04-21,206
2016-04-22,353
2016-04-22,121
2016-04-22,1
2016-04-22,72
2016-04-25,71
2016-04-25,93
2016-04-25,4
2016-04-26,52
2016-04-28,151
2016-04-28,246
2016-04-28,5
2016-04-28,52
2016-04-28,224
2016-04-29,18
2016-04-29,58
2016-04-29,54
2016-04-29,165
2016-04-29,146
2016-04-29,175
2016-04-29,259
2016-05-02,39
2016-05-02,154
2016-05-02,1
2016-05-02,82
2016-05-02,51
2016-05-02,73
2016-05-03,117
2016-05-04,70
2016-05-04,66
2016-05-05,273
2016-05-06,318
2016-05-06,182
2016-05-06,1
2016-05-06,72
2016-05-09,140
2016-05-09,62
2016-05-10,97
2016-05-10,202
2016-05-10,608
2016-05-11,56
2016-05-12,248
2016-05-13,195
2016-05-13,55
2016-05-13,61
2016-05-16,52
2016-05-16,93
2016-05-16,149
2016-05-16,2
2016-05-16,506
2016-05-17,73
2016-05-17,88
2016-05-18,180
2016-05-19,70
2016-05-19,88
2016-05-20,96
2016-05-20,349
2016-05-20,71
2016-05-23,621
2016-05-23,58
2016-05-24,71
2016-05-24,164
2016-05-25,57
2016-05-25,135
2016-05-26,89
2016-05-26,494
2016-05-26,536
2016-05-27,117
2016-05-27,56
2016-05-27,99
2016-05-27,6
2016-05-27,359
2016-05-31,56
2016-05-31,106
2016-05-31,276
2016-05-31,56
2016-05-31,51
2016-05-31,122
2016-06-01,52
2016-06-01,57
2016-06-01,167
2016-06-01,190
2016-06-01,324
2016-06-02,425
2016-06-02,56
2016-06-02,60
2016-06-03,149
2016-06-03,71
2016-06-06,988
2016-06-06,222
2016-06-07,261
2016-06-07,399
2016-06-08,85
2016-06-09,75
2016-06-09,165
2016-06-10,88
2016-06-10,56
2016-06-10,229
2016-06-10,167
2016-06-13,52
2016-06-13,177
2016-06-14,99
2016-06-15,162
2016-06-15,201
2016-06-15,57
2016-06-15,52
2016-06-15,123
2016-06-16,493
2016-06-17,102
2016-06-17,71
2016-06-20,249
2016-06-20,55
2016-06-20,268
2016-06-21,198
2016-06-22,55
2016-06-22,134
2016-06-23,64
2016-06-23,514
2016-06-24,208
2016-06-24,290
2016-06-27,1314
2016-06-27,3
2016-06-27,190
2016-06-27,50
2016-06-28,52
2016-06-29,146
2016-06-29,485
2016-06-29,431
2016-06-29,2
2016-06-30,4
2016-06-30,338
2016-06-30,78
2016-06-30,922
2016-06-30,189
2016-06-30,64
2016-06-30,2813
2016-06-30,74
2016-07-01,9
2016-07-01,213
2016-07-01,167
2016-07-01,76
2016-07-01,91
2016-07-01,118
2016-07-05,62
2016-07-05,101
2016-07-05,276
2016-07-06,418
2016-07-06,54
2016-07-06,144
2016-07-07,267
2016-07-07,136
2016-07-08,72
2016-07-08,164
2016-07-08,91
2016-07-11,56
2016-07-11,73
2016-07-11,271
2016-07-12,57
2016-07-12,160
2016-07-12,1227
2016-07-13,95
2016-07-13,155
2016-07-13,196
2016-07-14,90
2016-07-14,52
2016-07-14,389
2016-07-15,73
2016-07-15,1
2016-07-15,145
2016-07-15,247
2016-07-18,302
2016-07-18,159
2016-07-19,197
2016-07-20,171
2016-07-21,545
2016-07-22,232
2016-07-22,145
2016-07-25,53
2016-07-25,103
2016-07-25,3
2016-07-27,202
2016-07-28,59
2016-07-28,1
2016-07-28,121
2016-07-28,124
2016-07-28,190
2016-07-29,73
2016-07-29,66
2016-07-29,162
2016-07-29,21
2016-07-29,75
2016-08-01,3
2016-08-01,51
2016-08-01,58
2016-08-01,3
2016-08-01,150
2016-08-01,64
2016-08-01,53
2016-08-01,297
2016-08-02,60
2016-08-02,64
2016-08-02,75
2016-08-02,1
2016-08-02,139
2016-08-03,118
2016-08-04,221
2016-08-05,56
2016-08-05,157
2016-08-05,212
2016-08-08,70
2016-08-08,455
2016-08-09,75
2016-08-09,271
2016-08-09,61
2016-08-10,79
2016-08-10,78
2016-08-10,51
2016-08-11,119
2016-08-12,60
2016-08-12,161
2016-08-12,90
2016-08-12,73
2016-08-15,62
2016-08-15,63
2016-08-15,74
2016-08-15,2
2016-08-16,78
2016-08-17,113
2016-08-18,169
2016-08-19,51
2016-08-19,120
2016-08-22,718
2016-08-22,96
2016-08-23,187
2016-08-24,250
