record_date,transaction_today_amt
2016-01-04,269
2016-01-05,374
2016-01-06,273
2016-01-07,65
2016-01-08,151
2016-01-11,171
2016-01-12,179
2016-01-13,173
2016-01-14,92
2016-01-15,143
2016-01-19,224
2016-01-20,179
2016-01-21,99
2016-01-22,105
2016-01-25,100
2016-01-26,110
2016-01-27,98
2016-01-28,77
2016-01-29,396
2016-02-01,198
2016-02-02,159
2016-02-03,172
2016-02-04,141
2016-02-05,165
2016-02-08,219
2016-02-09,164
2016-02-10,185
2016-02-11,120
2016-02-12,146
2016-02-16,251
2016-02-17,174
2016-02-18,115
2016-02-19,124
2016-02-22,134
2016-02-23,122
2016-02-24,154
2016-02-25,85
2016-02-26,121
2016-02-29,458
2016-03-01,157
2016-03-02,172
2016-03-03,123
2016-03-04,194
2016-03-07,205
2016-03-08,191
2016-03-09,184
2016-03-10,115
2016-03-11,145
2016-03-14,215
2016-03-15,170
2016-03-16,130
2016-03-17,107
2016-03-18,117
2016-03-21,122
2016-03-22,103
2016-03-23,116
2016-03-24,85
2016-03-25,119
2016-03-28,181
2016-03-29,138
2016-03-30,136
2016-03-31,360
2016-04-01,105
2016-04-04,226
2016-04-05,182
2016-04-06,193
2016-04-07,153
2016-04-08,193
2016-04-11,250
2016-04-12,161
2016-04-13,167
2016-04-14,102
2016-04-15,146
2016-04-18,147
2016-04-19,119
2016-04-20,118
2016-04-21,82
2016-04-22,110
2016-04-25,195
2016-04-26,174
2016-04-27,137
2016-04-28,85
2016-04-29,366
2016-05-02,145
2016-05-03,143
2016-05-04,190
2016-05-05,153
2016-05-06,197
2016-05-09,269
2016-05-10,168
2016-05-11,161
2016-05-12,115
2016-05-13,131
2016-05-16,140
2016-05-17,125
2016-05-18,112
2016-05-19,85
2016-05-20,124
2016-05-23,194
2016-05-24,140
2016-05-25,126
2016-05-26,90
2016-05-27,116
2016-05-31,398
2016-06-01,170
2016-06-02,139
2016-06-03,152
2016-06-06,237
2016-06-07,201
2016-06-08,192
2016-06-09,127
2016-06-10,143
2016-06-13,160
2016-06-14,132
2016-06-15,120
2016-06-16,103
2016-06-17,130
