record_date,transaction_today_amt
2021-07-19,57
2021-07-20,48
2021-07-21,20231
2021-07-22,58
2021-07-23,50
2021-07-26,52
2021-07-27,47
2021-07-28,20261
2021-07-29,-4
2021-07-30,-8
2021-08-02,296
2021-08-03,21626
2021-08-04,54
2021-08-05,44
2021-08-06,60
2021-08-09,59
2021-08-10,51
2021-08-11,21050
2021-08-12,54
2021-08-13,45
2021-08-16,55
2021-08-17,50
2021-08-18,20307
2021-08-19,50
2021-08-20,49
2021-08-23,48
2021-08-24,48
2021-08-25,20403
2021-08-26,55
2021-08-27,46
2021-08-30,-2
2021-08-31,-3
2021-09-01,224
2021-09-02,62
2021-09-03,21582
2021-09-07,56
2021-09-08,20985
2021-09-09,57
2021-09-10,54
2021-09-13,60
2021-09-14,50
2021-09-15,20362
2021-09-16,51
2021-09-17,58
2021-09-20,51
2021-09-21,48
2021-09-22,20461
2021-09-23,54
2021-09-24,57
2021-09-27,-6
2021-09-28,-4
2021-09-29,1
2021-09-30,-3
2021-10-01,21832
2021-10-04,36
2021-10-05,32
2021-10-06,114
2021-10-07,127
2021-10-08,118
2021-10-12,112
2021-10-13,21121
2021-10-14,94
2021-10-15,92
2021-10-18,104
2021-10-19,88
2021-10-20,20454
2021-10-21,88
2021-10-22,129
2021-10-25,121
2021-10-26,51
2021-10-27,20519
2021-10-28,-12
2021-10-29,-11
2021-11-01,480
2021-11-02,56
2021-11-03,21507
2021-11-04,48
2021-11-05,49
2021-11-08,57
2021-11-09,60
2021-11-10,21192
2021-11-12,52
2021-11-15,62
2021-11-16,41
2021-11-17,20525
2021-11-18,64
2021-11-19,53
2021-11-22,58
2021-11-23,-6
2021-11-24,20548
2021-11-26,-3
2021-11-29,-9
2021-11-30,-3
2021-12-01,403
2021-12-02,60
2021-12-03,21460
2021-12-06,36
2021-12-07,41
2021-12-08,21265
2021-12-09,56
2021-12-10,51
2021-12-13,59
2021-12-14,50
2021-12-15,20587
2021-12-16,54
2021-12-17,61
2021-12-20,54
2021-12-21,52
2021-12-22,20658
2021-12-23,-11
2021-12-24,0
2021-12-27,-15
2021-12-28,3
2021-12-29,-3
2021-12-30,-6
2021-12-31,0
2022-01-03,22894
2022-01-04,19
2022-01-05,20
2022-01-06,57
2022-01-07,59
2022-01-10,63
2022-01-11,56
