record_date,transaction_today_amt
2016-01-04,347
2016-01-05,13
2016-01-06,24
2016-01-07,43
2016-01-08,48
2016-01-11,44
2016-01-12,49
2016-01-13,14599
2016-01-14,47
2016-01-15,47
2016-01-19,59
2016-01-20,14292
2016-01-21,61
2016-01-22,52
2016-01-25,59
2016-01-26,47
2016-01-27,14528
2016-01-28,1
2016-01-29,-5
2016-02-01,189
2016-02-02,54
2016-02-03,23396
2016-02-04,44
2016-02-05,42
2016-02-08,45
2016-02-09,52
2016-02-10,14712
2016-02-11,56
2016-02-12,47
2016-02-16,102
2016-02-17,14390
2016-02-18,57
2016-02-19,52
2016-02-22,49
2016-02-23,47
2016-02-24,14661
2016-02-25,71
2016-02-26,-7
2016-02-29,6
2016-03-01,197
2016-03-02,87
2016-03-03,23318
2016-03-04,48
2016-03-07,42
2016-03-08,55
2016-03-09,14803
2016-03-10,58
2016-03-11,49
2016-03-14,46
2016-03-15,49
2016-03-16,14492
2016-03-17,55
2016-03-18,45
2016-03-21,46
2016-03-22,50
2016-03-23,14665
2016-03-24,1
2016-03-25,-4
2016-03-28,0
2016-03-29,5
2016-03-30,0
2016-03-31,0
2016-04-01,23722
2016-04-04,54
2016-04-05,50
2016-04-06,58
2016-04-07,52
2016-04-08,59
2016-04-11,53
2016-04-12,47
2016-04-13,14859
2016-04-14,48
2016-04-15,43
2016-04-18,60
2016-04-19,52
2016-04-20,14535
2016-04-21,62
2016-04-22,68
2016-04-25,51
2016-04-26,51
2016-04-27,14727
2016-04-28,5
2016-04-29,1
2016-05-02,264
2016-05-03,23221
2016-05-04,45
2016-05-05,42
2016-05-06,52
2016-05-09,57
2016-05-10,47
2016-05-11,14964
2016-05-12,51
2016-05-13,47
2016-05-16,50
2016-05-17,49
2016-05-18,14650
2016-05-19,54
2016-05-20,45
2016-05-23,50
2016-05-24,49
2016-05-25,14890
2016-05-26,58
2016-05-27,-6
2016-05-31,1
2016-06-01,181
2016-06-02,55
2016-06-03,23156
2016-06-06,40
2016-06-07,36
2016-06-08,15017
2016-06-09,50
2016-06-10,45
2016-06-13,44
2016-06-14,43
2016-06-15,14697
2016-06-16,50
2016-06-17,56
2016-06-20,45
2016-06-21,48
2016-06-22,14929
2016-06-23,57
2016-06-24,53
2016-06-27,1
2016-06-28,5
2016-06-29,1
2016-06-30,1
2016-07-01,23478
2016-07-05,37
2016-07-06,21
2016-07-07,33
2016-07-08,52
2016-07-11,48
2016-07-12,47
2016-07-13,15066
2016-07-14,47
2016-07-15,42
2016-07-18,52
2016-07-19,45
2016-07-20,14744
2016-07-21,55
2016-07-22,51
2016-07-25,52
2016-07-26,46
2016-07-27,14982
2016-07-28,6
2016-07-29,-5
2016-08-01,178
2016-08-02,54
2016-08-03,23050
2016-08-04,44
2016-08-05,38
2016-08-08,49
2016-08-09,47
2016-08-10,15140
2016-08-11,51
2016-08-12,44
