record_date,transaction_today_amt
2022-04-18,164773
2022-04-19,91978
2022-04-20,60683
2022-04-21,28367
2022-04-22,35439
2022-04-25,42469
2022-04-26,45406
2022-04-27,33880
2022-04-28,24565
2022-04-29,32927
2022-05-02,66958
2022-05-03,33627
2022-05-04,28590
2022-05-05,16881
2022-05-06,18679
2022-05-09,28388
2022-05-10,11130
2022-05-11,21773
2022-05-12,10411
2022-05-13,18318
2022-05-16,44016
2022-05-17,8788
2022-05-18,18957
2022-05-19,7294
2022-05-20,12639
2022-05-23,29819
2022-05-24,7942
2022-05-25,19044
2022-05-26,7125
2022-05-27,14368
2022-05-31,29136
2022-06-01,27131
2022-06-02,17395
2022-06-03,12976
2022-06-06,21607
2022-06-07,5702
2022-06-08,18918
2022-06-09,9910
2022-06-10,15234
2022-06-13,41353
2022-06-14,33032
2022-06-15,94400
2022-06-16,28897
2022-06-17,17371
2022-06-21,30569
2022-06-22,28415
2022-06-23,30624
2022-06-24,18779
2022-06-27,26971
2022-06-28,8360
2022-06-29,17453
2022-06-30,14187
2022-07-01,29722
2022-07-05,25373
2022-07-06,10194
2022-07-07,15496
2022-07-08,10990
2022-07-11,23455
2022-07-12,5508
2022-07-13,15010
2022-07-14,9219
2022-07-15,20188
2022-07-18,33410
2022-07-19,5278
2022-07-20,20318
2022-07-21,7257
2022-07-22,9986
2022-07-25,31320
2022-07-26,6235
2022-07-27,15339
2022-07-28,6024
2022-07-29,17441
2022-08-01,45270
2022-08-02,9446
2022-08-03,16674
2022-08-04,5221
2022-08-05,10135
2022-08-08,24400
2022-08-09,4686
2022-08-10,14137
2022-08-11,6510
2022-08-12,11414
2022-08-15,26559
2022-08-16,16479
2022-08-17,15204
2022-08-18,5384
2022-08-19,14485
2022-08-22,31952
2022-08-23,5300
2022-08-24,13202
2022-08-25,6488
2022-08-26,11021
2022-08-29,24262
2022-08-30,11316
2022-08-31,18018
2022-09-01,24236
2022-09-02,14778
2022-09-06,25416
2022-09-07,9565
2022-09-08,18413
2022-09-09,15629
2022-09-12,30319
2022-09-13,21588
2022-09-14,53279
2022-09-15,95859
2022-09-16,31440
2022-09-19,29550
2022-09-20,15957
2022-09-21,29906
2022-09-22,19651
2022-09-23,28607
2022-09-26,22741
2022-09-27,7074
2022-09-28,16580
2022-09-29,11217
2022-09-30,22798
2022-10-03,45402
2022-10-04,7204
2022-10-05,17225
2022-10-06,6895
2022-10-07,11911
2022-10-11,25318
2022-10-12,9884
2022-10-13,14187
2022-10-14,17521
2022-10-17,49661
2022-10-18,11496
2022-10-19,21684
2022-10-20,12299
2022-10-21,11437
2022-10-24,25752
2022-10-25,15158
2022-10-26,16019
2022-10-27,8945
2022-10-28,14277
2022-10-31,31748
2022-11-01,24774
2022-11-02,17487
2022-11-03,5958
2022-11-04,12323
2022-11-07,20717
2022-11-08,6098
2022-11-09,13023
2022-11-10,8629
2022-11-14,33558
2022-11-15,13094
2022-11-16,25400
2022-11-17,7204
2022-11-18,14327
2022-11-21,22797
2022-11-22,5746
2022-11-23,21467
2022-11-25,12841
2022-11-28,23443
2022-11-29,8461
2022-11-30,16988
2022-12-01,24206
2022-12-02,14116
2022-12-05,21919
2022-12-06,7129
2022-12-07,16223
2022-12-08,7484
2022-12-09,14908
2022-12-12,31483
2022-12-13,13161
2022-12-14,37108
2022-12-15,76880
2022-12-16,31075
2022-12-19,30204
2022-12-20,11707
2022-12-21,25248
2022-12-22,16983
2022-12-23,18133
2022-12-27,33795
2022-12-28,15292
2022-12-29,23434
2022-12-30,31968
2023-01-03,62364
2023-01-04,12632
2023-01-05,19742
2023-01-06,13542
2023-01-09,26996
2023-01-10,8241
2023-01-11,20717
2023-01-12,11278
2023-01-13,28165
2023-01-17,78559
2023-01-18,20416
2023-01-19,27172
2023-01-20,21578
