record_date,transaction_today_amt
2022-03-14,5
2022-03-15,17
2022-03-16,5
2022-03-17,4
2022-03-18,54
2022-03-21,19
2022-03-22,22
2022-03-23,67
2022-03-24,19
2022-03-25,23
2022-03-28,61
2022-03-29,13
2022-03-30,-17
2022-03-31,5
2022-04-01,4
2022-04-04,20
2022-04-05,1
2022-04-06,1
2022-04-07,6
2022-04-08,2
2022-04-11,-5
2022-04-12,2
2022-04-13,9
2022-04-14,5
2022-04-15,40
2022-04-18,2
2022-04-19,178
2022-04-20,1
2022-04-21,4
2022-04-22,1
2022-04-25,5
2022-04-26,1
2022-04-27,3
2022-04-28,-2
2022-04-29,12
2022-05-02,4
2022-05-03,6
2022-05-04,0
2022-05-05,2
2022-05-06,1
2022-05-09,2
2022-05-10,1
2022-05-11,1
2022-05-12,2
2022-05-13,2
2022-05-16,1
2022-05-17,50
2022-05-18,50
2022-05-19,37
2022-05-20,10
2022-05-23,16
2022-05-24,1
2022-05-25,6
2022-05-26,24
2022-05-27,0
2022-05-31,2
2022-06-01,0
2022-06-02,5
2022-06-03,2
2022-06-06,5
2022-06-07,0
2022-06-08,4
2022-06-09,0
2022-06-10,4
2022-06-13,26
2022-06-14,0
2022-06-15,199
2022-06-16,7
2022-06-17,8
2022-06-21,1
2022-06-22,36
2022-06-23,0
2022-06-24,11
2022-06-27,4
2022-06-28,6
2022-06-29,1
2022-06-30,0
2022-07-01,1
2022-07-05,3
2022-07-06,0
2022-07-07,0
2022-07-08,1
2022-07-11,1
2022-07-12,13
2022-07-13,2
2022-07-14,21
2022-07-15,9
2022-07-18,1
2022-07-19,1
2022-07-20,1
2022-07-21,19
2022-07-22,38
2022-07-25,5
2022-07-26,1
2022-07-27,0
2022-07-28,0
2022-07-29,17
2022-08-01,9
2022-08-02,0
2022-08-03,0
2022-08-04,2
2022-08-05,3
2022-08-08,0
2022-08-09,10
2022-08-10,1
2022-08-11,2
2022-08-12,20
2022-08-15,0
2022-08-16,1
2022-08-17,1
2022-08-18,1
2022-08-19,17
2022-08-22,2
2022-08-23,0
2022-08-24,3
2022-08-25,88
2022-08-26,3
2022-08-29,7
2022-08-30,1
2022-08-31,1
2022-09-01,22
2022-09-02,5
2022-09-06,4
2022-09-07,1
2022-09-08,1
2022-09-09,3
2022-09-12,1
2022-09-13,1
2022-09-14,1
2022-09-15,2
2022-09-16,7
2022-09-19,2
2022-09-20,18
2022-09-21,7
2022-09-22,7
2022-09-23,0
2022-09-26,8
2022-09-27,0
2022-09-28,12
2022-09-29,0
2022-09-30,3
2022-10-03,1
2022-10-04,0
2022-10-05,1
2022-10-06,1
2022-10-07,5
2022-10-11,-1
2022-10-12,19
2022-10-13,2
2022-10-14,1
2022-10-17,2
2022-10-18,58
2022-10-19,0
2022-10-20,0
2022-10-21,13
2022-10-24,2
2022-10-25,0
2022-10-26,0
2022-10-27,4
2022-10-28,5
2022-10-31,0
2022-11-01,4
2022-11-02,1
2022-11-03,0
2022-11-04,2
2022-11-07,0
2022-11-08,1
2022-11-09,5
2022-11-10,3
2022-11-14,11
2022-11-15,1
2022-11-16,2
2022-11-17,25
2022-11-18,1
2022-11-21,2
2022-11-22,1
2022-11-23,0
2022-11-25,1
2022-11-28,3
2022-11-29,13
2022-11-30,1
2022-12-01,-11
2022-12-02,2
2022-12-05,3
2022-12-06,3
2022-12-07,0
2022-12-08,1
2022-12-09,13
2022-12-12,0
2022-12-13,0
2022-12-14,1
2022-12-15,1
2022-12-16,0
2022-12-19,14
2022-12-20,1
2022-12-21,2
2022-12-22,2
2022-12-23,2
2022-12-27,27
2022-12-28,0
2022-12-29,1
2022-12-30,0
2023-01-03,36
2023-01-04,1
2023-01-05,1
2023-01-06,1
2023-01-09,0
2023-01-10,0
2023-01-11,1
2023-01-12,0
2023-01-13,22
2023-01-17,2
2023-01-18,3
2023-01-19,2
2023-01-20,2
2023-01-23,8
2023-01-24,42
2023-01-25,0
2023-01-26,0
2023-01-27,10
2023-01-30,2
2023-01-31,3
2023-02-01,1
2023-02-02,0
2023-02-03,3
2023-02-06,2
2023-02-07,12
2023-02-08,1
2023-02-09,31
2023-02-10,12
2023-02-13,3
2023-02-14,1
2023-02-15,2
2023-02-16,11
2023-02-17,0
2023-02-21,95
2023-02-22,3
2023-02-23,5
2023-02-24,10
2023-02-27,11
2023-02-28,1
2023-03-01,0
2023-03-02,1
2023-03-03,2
2023-03-06,1
2023-03-07,2
2023-03-08,83
2023-03-09,4
2023-03-10,1
2023-03-13,1
2023-03-14,1
2023-03-15,2
2023-03-16,1
2023-03-17,8
2023-03-20,27
2023-03-21,1
2023-03-22,2
2023-03-23,51
2023-03-24,5
2023-03-27,3
2023-03-28,1
2023-03-29,1
2023-03-30,3
2023-03-31,1
2023-04-03,1
2023-04-04,14
2023-04-05,15
2023-04-06,44
2023-04-07,2
2023-04-10,2
2023-04-11,64
2023-04-12,1
2023-04-13,60
2023-04-14,6
2023-04-17,63
2023-04-18,1
2023-04-19,12
2023-04-20,-1
2023-04-21,0
2023-04-24,3
2023-04-25,1
2023-04-26,40
2023-04-27,8
2023-04-28,5
2023-05-01,1
2023-05-02,-1
2023-05-03,1
2023-05-04,0
2023-05-05,0
2023-05-08,4
2023-05-09,0
2023-05-10,55
2023-05-11,14
2023-05-12,0
2023-05-15,4
2023-05-16,1
2023-05-17,0
2023-05-18,21
2023-05-19,1
2023-05-22,2
2023-05-23,2
2023-05-24,1
2023-05-25,1
2023-05-26,3
2023-05-30,9
2023-05-31,0
2023-06-01,0
2023-06-02,1
2023-06-05,3
2023-06-06,0
2023-06-07,0
2023-06-08,14
2023-06-09,12
2023-06-12,13
2023-06-13,18
2023-06-14,90
2023-06-15,4
2023-06-16,9
2023-06-20,37
2023-06-21,1
2023-06-22,17
2023-06-23,1
2023-06-26,1
2023-06-27,35
2023-06-28,0
2023-06-29,4
2023-06-30,0
2023-07-03,6
2023-07-05,1
2023-07-06,3
2023-07-07,3
2023-07-10,1
2023-07-11,0
2023-07-12,6
2023-07-13,2
2023-07-14,75
2023-07-17,1
2023-07-18,0
2023-07-19,0
2023-07-20,2
2023-07-21,1
2023-07-24,9
2023-07-25,0
2023-07-26,17
2023-07-27,9
2023-07-28,1
2023-07-31,60
2023-08-01,1
2023-08-02,1
2023-08-03,0
2023-08-04,-1
2023-08-07,0
2023-08-08,0
2023-08-09,112
2023-08-10,1
2023-08-11,3
2023-08-14,0
2023-08-15,2
2023-08-16,0
2023-08-17,0
2023-08-18,0
2023-08-21,2
2023-08-22,1
2023-08-23,80
2023-08-24,0
2023-08-25,1
2023-08-28,0
2023-08-29,4
2023-08-30,6
2023-08-31,4
2023-09-01,0
2023-09-05,1
2023-09-06,0
2023-09-07,9
2023-09-08,0
2023-09-11,1
2023-09-12,0
2023-09-13,3
2023-09-14,0
2023-09-15,1
2023-09-18,6
2023-09-19,2
2023-09-20,3
2023-09-21,3
2023-09-22,19
2023-09-25,4
2023-09-26,2
2023-09-27,3
2023-09-28,1
2023-09-29,43
2023-10-02,0
2023-10-03,0
2023-10-04,46
2023-10-05,2
2023-10-06,1
2023-10-10,4
2023-10-11,1
2023-10-12,3
2023-10-13,6
2023-10-16,2
2023-10-17,1
2023-10-18,0
2023-10-19,2
2023-10-20,6
2023-10-23,0
2023-10-24,1
2023-10-25,29
2023-10-26,6
2023-10-27,2
2023-10-30,2
2023-10-31,2
2023-11-01,1
2023-11-02,0
2023-11-03,0
2023-11-06,1
2023-11-07,29
2023-11-08,1
2023-11-09,2
2023-11-10,1
2023-11-13,0
2023-11-14,9
2023-11-15,3
2023-11-16,0
2023-11-17,0
2023-11-20,61
2023-11-21,1
2023-11-22,0
2023-11-24,2
2023-11-27,15
2023-11-28,3
2023-11-29,2
2023-11-30,49
2023-12-01,0
2023-12-04,1
2023-12-05,5
2023-12-06,2
2023-12-07,-2
2023-12-08,1
2023-12-11,266
2023-12-12,4
2023-12-13,0
2023-12-14,4
2023-12-15,25
2023-12-18,10
2023-12-19,3
2023-12-20,2
2023-12-21,2
2023-12-22,7
2023-12-26,1
2023-12-27,1
2023-12-28,0
2023-12-29,2
2024-01-02,1
2024-01-03,0
2024-01-04,1
2024-01-05,2
2024-01-08,1
2024-01-09,3
2024-01-10,2
2024-01-11,1
2024-01-12,1
