record_date,transaction_today_amt
2022-03-14,0
2022-03-14,30
2022-03-15,22
2022-03-15,62
2022-03-16,0
2022-03-16,2
2022-03-17,0
2022-03-17,14
2022-03-18,0
2022-03-18,20
2022-03-21,0
2022-03-21,24
2022-03-22,29
2022-03-22,0
2022-03-23,0
2022-03-23,2
2022-03-24,0
2022-03-24,47
2022-03-25,0
2022-03-25,7
2022-03-28,0
2022-03-28,5
2022-03-29,0
2022-03-29,8
2022-03-30,0
2022-03-30,10
2022-03-31,13
2022-03-31,279
2022-04-01,0
2022-04-01,8
2022-04-04,7
2022-04-04,7
2022-04-05,0
2022-04-05,19
2022-04-06,0
2022-04-06,0
2022-04-07,0
2022-04-07,32
2022-04-08,5
2022-04-08,0
2022-04-11,2
2022-04-11,0
2022-04-12,0
2022-04-12,10
2022-04-13,0
2022-04-13,4
2022-04-14,0
2022-04-14,15
2022-04-15,9
2022-04-15,44
2022-04-18,0
2022-04-18,23
2022-04-19,19
2022-04-19,0
2022-04-20,10
2022-04-20,0
2022-04-21,0
2022-04-21,9
2022-04-22,0
2022-04-22,7
2022-04-25,0
2022-04-25,0
2022-04-26,0
2022-04-26,6
2022-04-27,0
2022-04-27,28
2022-04-28,0
2022-04-28,151
2022-04-29,36
2022-04-29,0
2022-05-02,0
2022-05-02,15
2022-05-03,0
2022-05-03,43
2022-05-04,0
2022-05-04,0
2022-05-05,0
2022-05-05,69
2022-05-06,0
2022-05-06,4
2022-05-09,11
2022-05-09,0
2022-05-10,2
2022-05-10,0
2022-05-11,0
2022-05-11,8
2022-05-12,0
2022-05-12,19
2022-05-13,0
2022-05-13,6
2022-05-16,9
2022-05-16,29
2022-05-17,0
2022-05-17,23
2022-05-18,0
2022-05-18,8
2022-05-19,11
2022-05-19,0
2022-05-20,0
2022-05-20,82
2022-05-23,0
2022-05-23,1
2022-05-24,0
2022-05-24,26
2022-05-25,0
2022-05-25,0
2022-05-26,0
2022-05-26,10
2022-05-27,6
2022-05-27,0
2022-05-31,0
2022-05-31,3
2022-06-01,0
2022-06-01,19
2022-06-02,0
2022-06-02,23
2022-06-03,0
2022-06-03,115
2022-06-06,0
2022-06-06,73
2022-06-07,11
2022-06-07,0
2022-06-08,0
2022-06-08,54
2022-06-09,0
2022-06-09,7
2022-06-10,0
2022-06-10,59
2022-06-13,0
2022-06-13,3
2022-06-14,0
2022-06-14,23
2022-06-15,35
2022-06-15,171
2022-06-16,11
2022-06-16,0
2022-06-17,0
2022-06-17,16
2022-06-21,0
2022-06-21,23
2022-06-22,0
2022-06-22,28
2022-06-23,0
2022-06-23,58
2022-06-24,0
2022-06-24,45
2022-06-27,18
2022-06-27,0
2022-06-28,58
2022-06-28,0
2022-06-29,0
2022-06-29,2
2022-06-30,0
2022-06-30,0
2022-07-01,3
2022-07-01,77
2022-07-05,0
2022-07-05,3
2022-07-06,0
2022-07-06,16
2022-07-07,0
2022-07-07,0
2022-07-08,4
2022-07-08,0
2022-07-11,0
2022-07-11,16
2022-07-12,0
2022-07-12,34
2022-07-13,0
2022-07-13,0
2022-07-14,5
2022-07-14,9
2022-07-15,9
2022-07-15,12
2022-07-18,17
2022-07-18,0
2022-07-19,0
2022-07-19,0
2022-07-20,0
2022-07-20,1
2022-07-21,0
2022-07-21,5
2022-07-22,0
2022-07-22,15
2022-07-25,0
2022-07-25,26
2022-07-26,7
2022-07-26,0
2022-07-27,14
2022-07-27,0
2022-07-28,0
2022-07-28,6
2022-07-29,0
2022-07-29,21
2022-08-01,1
2022-08-01,27
2022-08-02,0
2022-08-02,19
2022-08-03,0
2022-08-03,1
2022-08-04,4
2022-08-04,0
2022-08-05,0
2022-08-05,100
2022-08-08,0
2022-08-08,6
2022-08-09,0
2022-08-09,4
2022-08-10,0
2022-08-10,26
2022-08-11,0
2022-08-11,27
2022-08-12,0
2022-08-12,21
2022-08-15,39
2022-08-15,9
2022-08-16,13
2022-08-16,0
2022-08-17,0
2022-08-17,0
2022-08-18,0
2022-08-18,0
2022-08-19,0
2022-08-19,40
2022-08-22,0
2022-08-22,10
2022-08-23,0
2022-08-23,3
2022-08-24,0
2022-08-24,51
2022-08-25,3
2022-08-25,0
2022-08-26,0
2022-08-26,3
2022-08-29,4
2022-08-29,120
