record_date,transaction_today_amt
2023-02-14,1362
2023-02-15,3275
2023-02-16,109
2023-02-17,175
2023-02-21,76
2023-02-22,113
2023-02-23,55
2023-02-24,118
2023-02-27,58
2023-02-28,49
2023-03-01,191
2023-03-02,40
2023-03-03,52
2023-03-06,72
2023-03-07,300
2023-03-08,97
2023-03-09,176
2023-03-10,482
2023-03-13,768
2023-03-14,2870
2023-03-15,5921
2023-03-16,336
2023-03-17,143
2023-03-20,177
2023-03-21,104
2023-03-22,105
2023-03-23,303
2023-03-24,210
2023-03-27,188
2023-03-28,145
2023-03-29,868
2023-03-30,95
2023-03-31,423
2023-04-03,211
2023-04-04,278
2023-04-05,410
2023-04-06,2330
2023-04-07,557
2023-04-10,2279
2023-04-11,1176
2023-04-12,3724
2023-04-13,8430
2023-04-14,21933
2023-04-17,19313
2023-04-18,24530
2023-04-19,2657
2023-04-20,1771
2023-04-21,1215
2023-04-24,101
2023-04-25,445
2023-04-26,1016
2023-04-27,34
2023-04-28,212
2023-05-01,107
2023-05-02,87
2023-05-03,112
2023-05-04,111
2023-05-05,133
2023-05-08,47
2023-05-09,61
2023-05-10,133
2023-05-11,319
2023-05-12,1737
2023-05-15,5075
2023-05-16,344
2023-05-17,126
2023-05-18,106
2023-05-19,153
2023-05-22,155
2023-05-23,35
2023-05-24,71
2023-05-25,169
2023-05-26,313
2023-05-30,133
2023-05-31,86
2023-06-01,154
2023-06-02,80
2023-06-05,122
2023-06-06,188
2023-06-07,736
2023-06-08,1011
2023-06-09,1128
2023-06-12,3015
2023-06-13,6809
2023-06-14,15506
2023-06-15,39459
2023-06-16,1772
2023-06-20,189
2023-06-21,132
2023-06-22,163
2023-06-23,594
2023-06-26,83
2023-06-27,87
2023-06-28,165
2023-06-29,313
2023-06-30,157
2023-07-03,252
2023-07-05,275
2023-07-06,198
2023-07-07,182
2023-07-10,159
2023-07-11,147
2023-07-12,783
2023-07-13,1673
2023-07-14,2651
2023-07-17,6741
2023-07-18,278
2023-07-19,219
2023-07-20,904
2023-07-21,154
2023-07-24,58
2023-07-25,92
2023-07-26,69
2023-07-27,228
2023-07-28,105
2023-07-31,229
2023-08-01,80
2023-08-02,39
2023-08-03,58
2023-08-04,33
2023-08-07,28
2023-08-08,93
2023-08-09,608
2023-08-10,55
2023-08-11,833
2023-08-14,793
2023-08-15,1361
2023-08-16,136
2023-08-17,95
2023-08-18,78
2023-08-21,57
2023-08-22,48
2023-08-23,521
2023-08-24,84
2023-08-25,318
2023-08-28,86
2023-08-29,100
2023-08-30,229
2023-08-31,147
2023-09-01,243
2023-09-05,283
2023-09-06,481
2023-09-07,965
2023-09-08,645
2023-09-11,4837
2023-09-12,3382
2023-09-13,9435
2023-09-14,16977
2023-09-15,45020
2023-09-18,1135
