record_date,transaction_today_amt
2023-02-14,3
2023-02-15,6
2023-02-16,3
2023-02-17,2
2023-02-21,4
2023-02-22,3
2023-02-23,2
2023-02-24,3
2023-02-27,3
2023-02-28,3
2023-03-01,3
2023-03-02,2
2023-03-03,3
2023-03-06,3
2023-03-07,2
2023-03-08,3
2023-03-09,2
2023-03-10,3
2023-03-13,3
2023-03-14,2
2023-03-15,5
2023-03-16,2
2023-03-17,3
2023-03-20,3
2023-03-21,2
2023-03-22,3
2023-03-23,2
2023-03-24,2
2023-03-27,2
2023-03-28,2
2023-03-29,3
2023-03-30,3
2023-03-31,8
2023-04-03,7
2023-04-04,8
2023-04-05,11
2023-04-06,8
2023-04-07,18
2023-04-10,18
2023-04-11,11
2023-04-12,12
2023-04-13,12
2023-04-14,33
2023-04-17,18
2023-04-18,19
2023-04-19,15
2023-04-20,18
2023-04-21,41
2023-04-24,48
2023-04-25,39
2023-04-26,48
2023-04-27,126
2023-04-28,434
2023-05-01,3061
2023-05-02,15
2023-05-03,5
2023-05-04,5
2023-05-05,4
2023-05-08,3
2023-05-09,2
2023-05-10,3
2023-05-11,2
2023-05-12,3
2023-05-15,3
2023-05-16,2
2023-05-17,2
2023-05-18,1
2023-05-19,2
2023-05-22,2
2023-05-23,1
2023-05-24,2
2023-05-25,1
2023-05-26,2
2023-05-30,2
2023-05-31,2
2023-06-01,1
2023-06-02,2
2023-06-05,1
2023-06-06,2
2023-06-07,2
2023-06-08,2
2023-06-09,2
2023-06-12,2
2023-06-13,1
2023-06-14,2
2023-06-15,2
2023-06-16,2
2023-06-20,2
2023-06-21,1
2023-06-22,2
2023-06-23,2
2023-06-26,24
2023-06-27,1
2023-06-28,2
2023-06-29,2
2023-06-30,4
2023-07-03,3
2023-07-05,3
2023-07-06,3
2023-07-07,6
2023-07-10,5
2023-07-11,6
2023-07-12,5
2023-07-13,4
2023-07-14,10
2023-07-17,7
2023-07-18,5
2023-07-19,5
2023-07-20,9
2023-07-21,10
2023-07-24,6
2023-07-25,20
2023-07-26,10
2023-07-27,16
2023-07-28,41
2023-07-31,616
2023-08-01,5
2023-08-02,2
2023-08-03,1
2023-08-04,2
2023-08-07,2
2023-08-08,1
2023-08-09,2
2023-08-10,2
2023-08-11,6
2023-08-14,2
2023-08-15,2
2023-08-16,1
2023-08-17,1
2023-08-18,1
2023-08-21,1
2023-08-22,1
2023-08-23,2
2023-08-24,2
2023-08-25,1
2023-08-28,1
2023-08-29,1
2023-08-30,1
2023-08-31,1
2023-09-01,2
2023-09-05,2
2023-09-06,1
2023-09-07,2
2023-09-08,2
2023-09-11,1
2023-09-12,1
2023-09-13,1
2023-09-14,1
2023-09-15,3
2023-09-18,1
2023-09-19,1
2023-09-20,1
2023-09-21,2
2023-09-22,2
2023-09-25,1
2023-09-26,1
2023-09-27,1
2023-09-28,1
2023-09-29,3
2023-10-02,2
2023-10-03,2
2023-10-04,3
2023-10-05,3
2023-10-06,4
2023-10-10,8
2023-10-11,4
2023-10-12,3
2023-10-13,6
2023-10-16,5
2023-10-17,3
2023-10-18,6
2023-10-19,4
2023-10-20,7
2023-10-23,5
2023-10-24,5
2023-10-25,9
2023-10-26,12
2023-10-27,25
2023-10-30,35
2023-10-31,501
2023-11-01,5
2023-11-02,2
2023-11-03,12
2023-11-06,2
2023-11-07,-8
2023-11-08,3
2023-11-09,1
2023-11-10,1
2023-11-13,1
2023-11-14,1
2023-11-15,2
2023-11-16,1
2023-11-17,1
2023-11-20,1
2023-11-21,1
2023-11-22,2
2023-11-24,1
2023-11-27,1
2023-11-28,3
2023-11-29,1
2023-11-30,2
2023-12-01,1
2023-12-04,1
2023-12-05,1
2023-12-06,2
2023-12-07,1
2023-12-08,1
2023-12-11,3
2023-12-12,2
2023-12-13,1
2023-12-14,1
2023-12-15,5
2023-12-18,1
2023-12-19,1
2023-12-20,3
2023-12-21,1
2023-12-22,3
2023-12-26,3
2023-12-27,2
2023-12-28,3
2023-12-29,10
2024-01-02,12
2024-01-03,9
2024-01-04,9
2024-01-05,14
2024-01-08,11
2024-01-09,8
2024-01-10,15
2024-01-11,20
2024-01-12,60
2024-01-16,63
2024-01-17,14
2024-01-18,14
2024-01-19,18
2024-01-22,19
2024-01-23,21
2024-01-24,24
2024-01-25,25
2024-01-26,39
2024-01-29,54
2024-01-30,83
2024-01-31,1716
2024-02-01,33
2024-02-02,8
2024-02-05,7
2024-02-06,6
2024-02-07,15
2024-02-08,7
2024-02-09,6
2024-02-12,4
2024-02-13,3
2024-02-14,5
2024-02-15,4
2024-02-16,3
2024-02-20,4
2024-02-21,3
2024-02-22,2
2024-02-23,3
2024-02-26,3
2024-02-27,2
2024-02-28,3
2024-02-29,3
2024-03-01,2
2024-03-04,3
2024-03-05,3
2024-03-06,3
2024-03-07,2
2024-03-08,3
2024-03-11,2
2024-03-12,2
2024-03-13,3
2024-03-14,3
2024-03-15,5
2024-03-18,3
2024-03-19,3
2024-03-20,4
2024-03-21,3
2024-03-22,3
2024-03-25,3
2024-03-26,3
2024-03-27,4
2024-03-28,3
2024-03-29,8
2024-04-01,6
2024-04-02,8
2024-04-03,10
2024-04-04,8
2024-04-05,13
2024-04-08,16
2024-04-09,18
2024-04-10,17
2024-04-11,13
2024-04-12,19
2024-04-15,32
2024-04-16,20
2024-04-17,13
2024-04-18,18
2024-04-19,24
2024-04-22,23
2024-04-23,35
2024-04-24,24
2024-04-25,36
2024-04-26,124
2024-04-29,132
2024-04-30,3466
2024-05-01,18
2024-05-02,6
2024-05-03,4
2024-05-06,4
2024-05-07,3
2024-05-08,4
2024-05-09,4
2024-05-10,3
2024-05-13,3
2024-05-14,2
2024-05-15,4
2024-05-16,2
2024-05-17,3
2024-05-20,2
2024-05-21,2
2024-05-22,2
2024-05-23,2
2024-05-24,2
2024-05-28,3
2024-05-29,2
2024-05-30,2
2024-05-31,3
2024-06-03,2
2024-06-04,1
2024-06-05,3
2024-06-06,1
2024-06-07,2
2024-06-10,2
2024-06-11,1
2024-06-12,2
2024-06-13,2
2024-06-14,2
2024-06-17,2
2024-06-18,3
2024-06-20,2
2024-06-21,2
2024-06-24,2
2024-06-25,1
2024-06-26,2
2024-06-27,2
2024-06-28,4
2024-07-01,4
2024-07-02,3
2024-07-03,4
2024-07-05,4
2024-07-08,3
2024-07-09,7
2024-07-10,7
2024-07-11,4
