record_date,transaction_today_amt
2023-02-14,752
2023-02-15,6585
2023-02-16,890
2023-02-17,696
2023-02-21,2072
2023-02-22,18626
2023-02-23,36387
2023-02-24,1273
2023-02-27,3404
2023-02-28,3400
2023-03-01,12049
2023-03-02,1348
2023-03-03,1863
2023-03-06,2454
2023-03-07,1948
2023-03-08,10754
2023-03-09,1230
2023-03-10,2123
2023-03-13,2181
2023-03-14,1422
2023-03-15,9346
2023-03-16,1033
2023-03-17,1714
2023-03-20,1580
2023-03-21,1036
2023-03-22,7558
2023-03-23,1067
2023-03-24,2021
2023-03-27,1724
2023-03-28,1049
2023-03-29,7537
2023-03-30,955
2023-03-31,1724
2023-04-03,1519
2023-04-04,1228
2023-04-05,7709
2023-04-06,1176
2023-04-07,1978
2023-04-10,1466
2023-04-11,1626
2023-04-12,8164
2023-04-13,1144
2023-04-14,-37
2023-04-17,3611
2023-04-18,1638
2023-04-19,8020
2023-04-20,1546
2023-04-21,1446
2023-04-24,-14
2023-04-25,4863
2023-04-26,9973
2023-04-27,2481
2023-04-28,1929
2023-05-01,157
2023-05-02,2055
2023-05-03,10002
2023-05-04,1512
2023-05-05,303
2023-05-08,347
2023-05-09,356
2023-05-10,5096
2023-05-11,239
2023-05-12,193
2023-05-15,257
2023-05-16,257
2023-05-17,2158
2023-05-18,-13
2023-05-19,-22
2023-05-22,529
2023-05-23,154
2023-05-24,1572
2023-05-25,-10
2023-05-26,119
2023-05-30,250
2023-05-31,107
2023-06-01,1463
2023-06-02,19
2023-06-05,194
2023-06-06,65
2023-06-07,1311
2023-06-08,23
2023-06-09,6
2023-06-12,-1
2023-06-13,292
2023-06-14,983
2023-06-15,31
2023-06-16,17
2023-06-20,84
2023-06-21,250
2023-06-22,1035
2023-06-23,-9
2023-06-26,352
2023-06-27,83
2023-06-28,1329
2023-06-29,32
2023-06-30,30
2023-07-03,143
2023-07-05,141
2023-07-06,1218
2023-07-07,89
2023-07-10,77
2023-07-11,156
2023-07-12,1191
2023-07-13,78
2023-07-14,61
2023-07-17,33
2023-07-18,88
2023-07-19,1026
2023-07-20,51
2023-07-21,78
2023-07-24,74
2023-07-25,85
2023-07-26,989
2023-07-27,-8
2023-07-28,88
2023-07-31,78
2023-08-01,306
2023-08-02,946
2023-08-03,-12
2023-08-04,46
2023-08-07,87
2023-08-08,83
2023-08-09,901
2023-08-10,43
2023-08-11,22
2023-08-14,63
2023-08-15,63
2023-08-16,798
2023-08-17,43
2023-08-18,43
2023-08-21,57
2023-08-22,57
2023-08-23,751
2023-08-24,46
2023-08-25,38
2023-08-28,58
2023-08-29,62
2023-08-30,736
2023-08-31,47
2023-09-01,42
2023-09-05,63
2023-09-06,64
2023-09-07,735
2023-09-08,57
2023-09-11,79
2023-09-12,58
2023-09-13,746
2023-09-14,36
2023-09-15,84
2023-09-18,56
2023-09-19,69
2023-09-20,759
2023-09-21,58
2023-09-22,43
2023-09-25,73
2023-09-26,65
2023-09-27,853
2023-09-28,61
2023-09-29,51
2023-10-02,77
2023-10-03,62
2023-10-04,948
2023-10-05,54
2023-10-06,47
2023-10-10,92
2023-10-11,87
2023-10-12,1098
2023-10-13,85
2023-10-16,169
2023-10-17,159
2023-10-18,1579
2023-10-19,123
2023-10-20,49
2023-10-23,237
2023-10-24,421
2023-10-25,2815
2023-10-26,205
2023-10-27,256
2023-10-30,576
2023-10-31,-6
2023-11-01,6358
2023-11-02,109
2023-11-03,24
2023-11-06,88
2023-11-07,29
2023-11-08,3343
2023-11-09,21
2023-11-10,0
2023-11-13,-38
2023-11-14,26
2023-11-15,25
2023-11-16,1035
2023-11-17,-9
2023-11-20,54
2023-11-21,20
2023-11-22,528
2023-11-24,12
2023-11-27,6
2023-11-28,38
2023-11-29,223
2023-11-30,36
2023-12-01,-4
2023-12-04,73
2023-12-05,23
2023-12-06,682
2023-12-07,5
2023-12-08,-8
2023-12-11,19
2023-12-12,17
2023-12-13,446
2023-12-14,-11
2023-12-15,-6
2023-12-18,4
2023-12-19,30
2023-12-20,295
2023-12-21,-3
2023-12-22,-1
2023-12-26,4
2023-12-27,8
2023-12-28,163
2023-12-29,1
2024-01-02,72
2024-01-03,-2
2024-01-04,-2
2024-01-05,0
2024-01-08,16
2024-01-09,0
2024-01-10,-16
2024-01-11,0
2024-01-12,0
2024-01-16,-1
2024-01-17,0
2024-01-18,2
2024-01-19,0
2024-01-22,-3
2024-01-23,0
2024-01-24,0
2024-01-25,0
2024-01-26,73
2024-01-29,131
2024-01-30,23
2024-01-31,448
2024-02-01,-7
2024-02-02,-7
2024-02-05,572
2024-02-06,541
2024-02-07,2054
2024-02-08,238
2024-02-09,266
2024-02-12,-1
2024-02-13,3062
2024-02-14,5269
2024-02-15,812
2024-02-16,1246
