record_date,transaction_today_amt
2023-02-14,542
2023-02-15,679
2023-02-16,381
2023-02-17,373
2023-02-21,537
2023-02-22,580
2023-02-23,369
2023-02-24,333
2023-02-27,446
2023-02-28,908
2023-03-01,775
2023-03-02,341
2023-03-03,453
2023-03-06,534
2023-03-07,604
2023-03-08,369
2023-03-09,321
2023-03-10,543
2023-03-13,811
2023-03-14,922
2023-03-15,1279
2023-03-16,573
2023-03-17,613
2023-03-20,892
2023-03-21,916
2023-03-22,567
2023-03-23,505
2023-03-24,634
2023-03-27,1040
2023-03-28,1131
2023-03-29,738
2023-03-30,749
2023-03-31,1236
2023-04-03,2587
2023-04-04,1909
2023-04-05,1708
2023-04-06,1734
2023-04-07,2209
2023-04-10,4669
2023-04-11,4694
2023-04-12,5747
2023-04-13,7610
2023-04-14,16788
2023-04-17,30712
2023-04-18,62100
2023-04-19,35084
2023-04-20,12996
2023-04-21,1327
2023-04-24,820
2023-04-25,635
2023-04-26,1396
2023-04-27,522
2023-04-28,522
2023-05-01,759
2023-05-02,516
2023-05-03,410
2023-05-04,333
2023-05-05,346
2023-05-08,471
2023-05-09,338
2023-05-10,354
2023-05-11,323
2023-05-12,511
2023-05-15,827
2023-05-16,438
2023-05-17,342
2023-05-18,274
2023-05-19,268
2023-05-22,494
2023-05-23,306
2023-05-24,269
2023-05-25,304
2023-05-26,292
2023-05-30,596
2023-05-31,411
2023-06-01,506
2023-06-02,541
2023-06-05,864
2023-06-06,797
2023-06-07,800
2023-06-08,963
2023-06-09,1296
2023-06-12,2922
2023-06-13,4042
2023-06-14,6113
2023-06-15,14670
2023-06-16,3743
2023-06-20,1571
2023-06-21,589
2023-06-22,439
2023-06-23,427
2023-06-26,724
2023-06-27,430
2023-06-28,519
2023-06-29,350
2023-06-30,415
2023-07-03,589
2023-07-05,426
2023-07-06,329
2023-07-07,332
2023-07-10,439
2023-07-11,357
2023-07-12,316
2023-07-13,278
2023-07-14,381
2023-07-17,705
2023-07-18,345
2023-07-19,285
2023-07-20,309
2023-07-21,288
2023-07-24,380
2023-07-25,306
2023-07-26,250
2023-07-27,248
2023-07-28,376
2023-07-31,422
2023-08-01,424
2023-08-02,287
2023-08-03,244
2023-08-04,264
2023-08-07,416
2023-08-08,283
2023-08-09,247
2023-08-10,265
2023-08-11,277
2023-08-14,432
2023-08-15,500
2023-08-16,338
2023-08-17,276
2023-08-18,293
2023-08-21,460
2023-08-22,312
2023-08-23,274
2023-08-24,276
2023-08-25,327
2023-08-28,600
2023-08-29,353
2023-08-30,377
2023-08-31,479
2023-09-01,645
2023-09-05,1243
2023-09-06,908
2023-09-07,932
2023-09-08,1379
2023-09-11,2571
2023-09-12,2653
2023-09-13,4421
2023-09-14,7247
2023-09-15,16878
2023-09-18,4734
2023-09-19,802
2023-09-20,647
2023-09-21,512
2023-09-22,502
2023-09-25,773
2023-09-26,586
2023-09-27,544
2023-09-28,708
2023-09-29,735
2023-10-02,1291
2023-10-03,986
2023-10-04,1016
2023-10-05,1026
2023-10-06,1150
2023-10-10,3071
2023-10-11,2891
2023-10-12,3535
2023-10-13,6682
2023-10-16,13172
2023-10-17,9278
2023-10-18,3959
2023-10-19,407
2023-10-20,441
2023-10-23,620
2023-10-24,392
2023-10-25,384
2023-10-26,315
2023-10-27,317
2023-10-30,558
2023-10-31,377
2023-11-01,441
2023-11-02,451
2023-11-03,341
2023-11-06,472
2023-11-07,296
2023-11-08,360
2023-11-09,336
2023-11-10,422
2023-11-13,615
2023-11-14,547
2023-11-15,1312
2023-11-16,1617
2023-11-17,1377
2023-11-20,955
2023-11-21,382
2023-11-22,301
2023-11-24,269
2023-11-27,482
2023-11-28,467
2023-11-29,340
2023-11-30,362
2023-12-01,504
2023-12-04,615
2023-12-05,354
2023-12-06,424
2023-12-07,337
2023-12-08,401
2023-12-11,747
2023-12-12,564
2023-12-13,789
2023-12-14,478
2023-12-15,1047
2023-12-18,887
2023-12-19,463
2023-12-20,637
2023-12-21,560
2023-12-22,674
2023-12-26,959
2023-12-27,966
2023-12-28,1020
2023-12-29,1545
2024-01-02,2206
2024-01-03,900
2024-01-04,843
2024-01-05,1011
2024-01-08,2013
2024-01-09,1635
2024-01-10,2619
2024-01-11,3696
2024-01-12,10398
2024-01-16,29398
2024-01-17,7451
2024-01-18,1092
2024-01-19,630
2024-01-22,875
2024-01-23,416
2024-01-24,421
2024-01-25,324
2024-01-26,351
2024-01-29,688
2024-01-30,415
2024-01-31,437
2024-02-01,467
2024-02-02,317
2024-02-05,507
2024-02-06,382
2024-02-07,312
2024-02-08,223
2024-02-09,318
2024-02-12,425
2024-02-13,424
2024-02-14,518
2024-02-15,939
2024-02-16,442
2024-02-20,766
2024-02-21,717
2024-02-22,301
2024-02-23,302
2024-02-26,544
2024-02-27,608
2024-02-28,555
2024-02-29,479
2024-03-01,980
2024-03-04,829
2024-03-05,804
2024-03-06,459
2024-03-07,429
2024-03-08,506
2024-03-11,753
2024-03-12,785
2024-03-13,471
2024-03-14,479
2024-03-15,1283
2024-03-18,951
2024-03-19,942
2024-03-20,800
2024-03-21,578
2024-03-22,767
2024-03-25,1167
2024-03-26,1317
2024-03-27,905
2024-03-28,991
2024-03-29,1174
2024-04-01,3036
2024-04-02,2196
2024-04-03,1786
2024-04-04,1905
2024-04-05,3089
2024-04-08,5385
2024-04-09,5558
2024-04-10,9770
2024-04-11,11272
2024-04-12,30304
2024-04-15,86638
2024-04-16,36170
2024-04-17,40929
2024-04-18,8074
2024-04-19,403
2024-04-22,1145
2024-04-23,1734
2024-04-24,452
2024-04-25,466
2024-04-26,536
2024-04-29,812
2024-04-30,568
2024-05-01,580
2024-05-02,452
2024-05-03,406
2024-05-06,569
2024-05-07,469
2024-05-08,397
2024-05-09,372
2024-05-10,388
2024-05-13,481
2024-05-14,826
2024-05-15,645
2024-05-16,386
2024-05-17,352
2024-05-20,566
2024-05-21,375
2024-05-22,355
2024-05-23,359
2024-05-24,334
2024-05-28,660
2024-05-29,407
2024-05-30,348
2024-05-31,485
2024-06-03,1108
2024-06-04,790
2024-06-05,872
2024-06-06,907
2024-06-07,1173
2024-06-10,2665
2024-06-11,2232
2024-06-12,3235
2024-06-13,5093
2024-06-14,11341
2024-06-17,22210
2024-06-18,5676
2024-06-20,1653
2024-06-21,745
2024-06-24,884
2024-06-25,535
2024-06-26,528
2024-06-27,460
2024-06-28,565
2024-07-01,742
2024-07-02,485
2024-07-03,415
2024-07-05,482
2024-07-08,502
2024-07-09,342
2024-07-10,384
2024-07-11,389
2024-07-12,340
2024-07-15,941
2024-07-16,482
2024-07-17,310
2024-07-18,457
2024-07-19,305
2024-07-22,522
2024-07-23,324
2024-07-24,319
2024-07-25,314
2024-07-26,333
2024-07-29,553
2024-07-30,307
2024-07-31,350
2024-08-01,379
2024-08-02,271
2024-08-05,456
2024-08-06,473
2024-08-07,271
2024-08-08,226
2024-08-09,311
2024-08-12,433
2024-08-13,345
2024-08-14,256
2024-08-15,569
2024-08-16,454
2024-08-19,560
2024-08-20,398
2024-08-21,317
2024-08-22,323
2024-08-23,326
2024-08-26,569
2024-08-27,434
2024-08-28,517
2024-08-29,351
2024-08-30,499
2024-09-03,1325
2024-09-04,897
2024-09-05,1047
2024-09-06,1199
2024-09-09,2255
2024-09-10,2585
2024-09-11,2935
2024-09-12,4972
2024-09-13,10415
2024-09-16,25030
2024-09-17,6626
2024-09-18,1267
2024-09-19,728
2024-09-20,669
2024-09-23,849
2024-09-24,573
2024-09-25,520
2024-09-26,510
2024-09-27,515
2024-09-30,1031
2024-10-01,800
2024-10-02,608
2024-10-03,582
2024-10-04,639
2024-10-07,811
2024-10-08,734
2024-10-09,775
2024-10-10,878
2024-10-11,1115
2024-10-15,4188
2024-10-16,5860
2024-10-17,3012
2024-10-18,518
2024-10-21,746
2024-10-22,474
2024-10-23,409
2024-10-24,390
2024-10-25,443
2024-10-28,647
2024-10-29,440
2024-10-30,877
2024-10-31,539
2024-11-01,674
2024-11-04,681
2024-11-05,557
2024-11-06,312
2024-11-07,296
2024-11-08,464
2024-11-12,735
2024-11-13,291
2024-11-14,351
2024-11-15,471
2024-11-18,789
2024-11-19,414
2024-11-20,450
2024-11-21,322
2024-11-22,380
2024-11-25,624
2024-11-26,394
2024-11-27,367
2024-11-29,524
2024-12-02,632
2024-12-03,521
2024-12-04,464
2024-12-05,451
2024-12-06,418
2024-12-09,719
2024-12-10,583
2024-12-11,555
2024-12-12,525
2024-12-13,680
2024-12-16,1333
2024-12-17,655
2024-12-18,595
2024-12-19,594
2024-12-20,812
2024-12-23,1159
2024-12-24,664
2024-12-26,584
2024-12-27,878
2024-12-30,2323
2024-12-31,1844
2025-01-02,1367
2025-01-03,1193
2025-01-06,1823
2025-01-07,1478
2025-01-08,1834
2025-01-09,2002
2025-01-10,3419
2025-01-13,8421
2025-01-14,12167
2025-01-15,28132
2025-01-16,9769
2025-01-17,1371
2025-01-21,1586
2025-01-22,578
2025-01-23,530
2025-01-24,555
2025-01-27,658
2025-01-28,624
2025-01-29,583
2025-01-30,619
2025-01-31,2414
2025-02-03,1584
2025-02-04,972
2025-02-05,445
2025-02-06,310
2025-02-07,366
2025-02-10,484
2025-02-11,486
2025-02-12,714
2025-02-13,230
2025-02-14,398
2025-02-18,972
2025-02-19,960
2025-02-20,654
2025-02-21,415
2025-02-24,776
2025-02-25,739
2025-02-26,399
2025-02-27,417
2025-02-28,845
2025-03-03,1206
2025-03-04,1033
2025-03-05,623
2025-03-06,468
2025-03-07,604
2025-03-10,894
2025-03-11,951
2025-03-12,621
2025-03-13,549
2025-03-14,829
2025-03-17,1713
2025-03-18,1302
2025-03-19,716
2025-03-20,786
2025-03-21,908
2025-03-24,1168
2025-03-25,1730
2025-03-26,929
