record_date,transaction_today_amt
2023-02-14,328
2023-02-15,566
2023-02-16,221
2023-02-17,181
2023-02-21,351
2023-02-22,431
2023-02-23,1218
2023-02-24,292
2023-02-27,202
2023-02-28,311
2023-03-01,785
2023-03-02,505
2023-03-03,262
2023-03-06,557
2023-03-07,829
2023-03-08,1464
2023-03-09,466
2023-03-10,298
2023-03-13,391
2023-03-14,347
2023-03-15,1008
2023-03-16,455
2023-03-17,315
2023-03-20,435
2023-03-21,619
2023-03-22,1573
2023-03-23,717
2023-03-24,358
2023-03-27,578
2023-03-28,618
2023-03-29,1569
2023-03-30,702
2023-03-31,532
2023-04-03,797
2023-04-04,948
2023-04-05,2654
2023-04-06,1465
2023-04-07,723
2023-04-10,1739
2023-04-11,2160
2023-04-12,4845
2023-04-13,3929
2023-04-14,2810
2023-04-17,3970
2023-04-18,17969
2023-04-19,9296
2023-04-20,9991
2023-04-21,9698
2023-04-24,10911
2023-04-25,45112
2023-04-26,13091
2023-04-27,9338
2023-04-28,7706
2023-05-01,5119
2023-05-02,6024
2023-05-03,3115
2023-05-04,1219
2023-05-05,961
2023-05-08,683
2023-05-09,688
2023-05-10,1188
2023-05-11,1009
2023-05-12,702
2023-05-15,745
2023-05-16,900
2023-05-17,1048
2023-05-18,702
2023-05-19,823
2023-05-22,606
2023-05-23,403
2023-05-24,1245
2023-05-25,672
2023-05-26,450
2023-05-30,364
2023-05-31,297
2023-06-01,1134
2023-06-02,268
2023-06-05,216
2023-06-06,450
2023-06-07,2146
2023-06-08,822
2023-06-09,675
2023-06-12,1121
2023-06-13,1479
2023-06-14,4961
2023-06-15,2334
2023-06-16,1530
2023-06-20,3825
2023-06-21,5348
2023-06-22,13601
2023-06-23,9417
2023-06-26,2486
2023-06-27,971
2023-06-28,1575
2023-06-29,620
2023-06-30,291
2023-07-03,387
2023-07-05,341
2023-07-06,1023
2023-07-07,409
2023-07-10,275
2023-07-11,215
2023-07-12,692
2023-07-13,284
2023-07-14,169
2023-07-17,240
2023-07-18,216
2023-07-19,763
2023-07-20,297
2023-07-21,189
2023-07-24,248
2023-07-25,236
2023-07-26,663
2023-07-27,232
2023-07-28,142
2023-07-31,265
2023-08-01,244
2023-08-02,664
2023-08-03,190
2023-08-04,173
2023-08-07,303
2023-08-08,104
2023-08-09,675
2023-08-10,287
2023-08-11,209
2023-08-14,206
2023-08-15,218
2023-08-16,681
2023-08-17,258
2023-08-18,155
2023-08-21,269
2023-08-22,268
2023-08-23,722
2023-08-24,327
2023-08-25,154
2023-08-28,302
2023-08-29,331
2023-08-30,867
2023-08-31,399
2023-09-01,266
2023-09-05,454
2023-09-06,469
2023-09-07,2269
2023-09-08,744
2023-09-11,565
2023-09-12,1307
2023-09-13,5034
2023-09-14,2229
2023-09-15,1967
2023-09-18,2918
2023-09-19,4148
2023-09-20,12496
2023-09-21,13520
2023-09-22,5535
2023-09-25,2242
2023-09-26,1440
2023-09-27,1723
2023-09-28,799
2023-09-29,438
2023-10-02,395
2023-10-03,501
2023-10-04,1497
2023-10-05,524
2023-10-06,430
2023-10-10,435
2023-10-11,1215
2023-10-12,1621
2023-10-13,914
2023-10-16,439
2023-10-17,671
2023-10-18,3648
2023-10-19,2476
2023-10-20,2843
2023-10-23,2996
2023-10-24,2696
2023-10-25,5349
2023-10-26,2191
2023-10-27,1146
2023-10-30,1279
2023-10-31,522
2023-11-01,842
2023-11-02,282
2023-11-03,220
2023-11-06,218
2023-11-07,258
2023-11-08,658
2023-11-09,321
2023-11-10,181
2023-11-13,105
2023-11-14,267
2023-11-15,666
2023-11-16,215
2023-11-17,225
2023-11-20,287
2023-11-21,311
2023-11-22,1064
2023-11-24,981
2023-11-27,572
2023-11-28,573
2023-11-29,876
2023-11-30,283
2023-12-01,114
2023-12-04,168
2023-12-05,244
2023-12-06,749
2023-12-07,275
2023-12-08,207
2023-12-11,316
2023-12-12,375
2023-12-13,1081
2023-12-14,424
2023-12-15,355
2023-12-18,364
2023-12-19,434
2023-12-20,1403
2023-12-21,506
2023-12-22,324
2023-12-26,350
2023-12-27,537
2023-12-28,1641
2023-12-29,713
2024-01-02,283
2024-01-03,437
2024-01-04,2443
2024-01-05,846
2024-01-08,491
2024-01-09,812
2024-01-10,3605
2024-01-11,1723
2024-01-12,1199
2024-01-16,1762
2024-01-17,2299
2024-01-18,10733
2024-01-19,6627
2024-01-22,5779
2024-01-23,6328
2024-01-24,12968
2024-01-25,3951
2024-01-26,2875
2024-01-29,1984
2024-01-30,752
2024-01-31,1420
2024-02-01,458
2024-02-02,244
2024-02-05,290
2024-02-06,279
2024-02-07,598
2024-02-08,364
2024-02-09,190
2024-02-12,245
2024-02-13,232
2024-02-14,672
2024-02-15,216
2024-02-16,122
2024-02-20,277
2024-02-21,351
2024-02-22,1394
2024-02-23,250
2024-02-26,260
2024-02-27,263
2024-02-28,733
2024-02-29,364
2024-03-01,193
