record_date,transaction_today_amt
2023-02-14,2
2023-02-15,7
2023-02-16,15
2023-02-17,52
2023-02-21,72
2023-02-22,4
2023-02-23,2
2023-02-24,62
2023-02-27,76
2023-02-28,25
2023-03-01,23
2023-03-02,11
2023-03-03,20
2023-03-06,55
2023-03-07,4
2023-03-08,3
2023-03-09,2
2023-03-10,56
2023-03-13,88
2023-03-14,2
2023-03-15,8
2023-03-16,15
2023-03-17,17
2023-03-20,49
2023-03-21,13
2023-03-22,5
2023-03-23,1
2023-03-24,58
2023-03-27,75
2023-03-28,8
2023-03-29,3
2023-03-30,2
2023-03-31,41
2023-04-03,59
2023-04-04,11
2023-04-05,3
2023-04-06,10
2023-04-07,83
2023-04-10,15
2023-04-11,50
2023-04-12,2
2023-04-13,8
2023-04-14,30
2023-04-17,41
2023-04-18,54
2023-04-19,3
2023-04-20,1
2023-04-21,31
2023-04-24,36
2023-04-25,38
2023-04-26,46
2023-04-27,2
2023-04-28,43
2023-05-01,64
2023-05-02,12
2023-05-03,3
2023-05-04,2
2023-05-05,23
2023-05-08,44
2023-05-09,2
2023-05-10,41
2023-05-11,46
2023-05-12,21
2023-05-15,59
2023-05-16,15
2023-05-17,2
2023-05-18,1
2023-05-19,23
2023-05-22,46
2023-05-23,1
2023-05-24,2
2023-05-25,38
2023-05-26,92
2023-05-30,28
2023-05-31,25
2023-06-01,10
2023-06-02,39
2023-06-05,35
2023-06-06,9
2023-06-07,5
2023-06-08,1
2023-06-09,60
2023-06-12,99
2023-06-13,10
2023-06-14,2
2023-06-15,6
2023-06-16,45
2023-06-20,28
2023-06-21,10
2023-06-22,4
2023-06-23,53
2023-06-26,95
2023-06-27,2
2023-06-28,10
2023-06-29,1
2023-06-30,39
2023-07-03,49
2023-07-05,9
2023-07-06,10
2023-07-07,20
2023-07-10,91
2023-07-11,49
2023-07-12,3
2023-07-13,9
2023-07-14,23
2023-07-17,50
2023-07-18,1
2023-07-19,2
2023-07-20,1
2023-07-21,25
2023-07-24,52
2023-07-25,40
2023-07-26,45
2023-07-27,2
2023-07-28,26
2023-07-31,59
2023-08-01,10
2023-08-02,10
2023-08-03,1
2023-08-04,18
2023-08-07,61
2023-08-08,2
2023-08-09,2
2023-08-10,44
2023-08-11,70
2023-08-14,41
2023-08-15,6
2023-08-16,15
2023-08-17,1
2023-08-18,17
2023-08-21,58
2023-08-22,4
2023-08-23,2
2023-08-24,1
2023-08-25,57
2023-08-28,82
2023-08-29,2
2023-08-30,4
2023-08-31,21
2023-09-01,50
2023-09-05,33
2023-09-06,9
2023-09-07,4
2023-09-08,58
2023-09-11,82
2023-09-12,3
2023-09-13,9
2023-09-14,1
2023-09-15,21
2023-09-18,63
2023-09-19,3
2023-09-20,3
2023-09-21,13
2023-09-22,15
2023-09-25,70
2023-09-26,42
2023-09-27,2
2023-09-28,8
2023-09-29,33
2023-10-02,62
2023-10-03,9
2023-10-04,2
2023-10-05,1
2023-10-06,31
2023-10-10,66
2023-10-11,41
2023-10-12,2
2023-10-13,25
2023-10-16,61
2023-10-17,2
2023-10-18,3
2023-10-19,1
