record_date,transaction_today_amt
2016-01-04,0
2016-01-05,9
2016-01-06,3
2016-01-07,3
2016-01-08,14
2016-01-11,4
2016-01-12,14
2016-01-13,60
2016-01-14,7
2016-01-15,26
2016-01-19,5
2016-01-20,3
2016-01-21,21
2016-01-22,13
2016-01-25,5
2016-01-26,2
2016-01-27,10
2016-01-28,6
2016-01-29,11
2016-02-01,0
2016-02-02,11
2016-02-03,9
2016-02-04,8
2016-02-05,4
2016-02-08,7
2016-02-09,5
2016-02-10,15
2016-02-11,15
2016-02-12,9
2016-02-16,9
2016-02-17,1
2016-02-18,3
2016-02-19,11
2016-02-22,3
2016-02-23,6
2016-02-24,46
2016-02-25,13
2016-02-26,12
2016-02-29,10
2016-03-01,0
2016-03-02,11
2016-03-03,6
2016-03-04,12
2016-03-07,15
2016-03-08,3
2016-03-09,13
2016-03-10,7
2016-03-11,7
2016-03-14,3
2016-03-15,2
2016-03-16,4
2016-03-17,31
2016-03-18,8
2016-03-21,13
2016-03-22,10
2016-03-23,3
2016-03-24,3
2016-03-25,6
2016-03-28,12
2016-03-29,6
2016-03-30,4
2016-03-31,9
2016-04-01,0
2016-04-04,30
2016-04-05,5
2016-04-06,2
2016-04-07,49
2016-04-08,4
2016-04-11,7
2016-04-12,7
2016-04-13,5
2016-04-14,20
2016-04-15,5
2016-04-18,6
2016-04-19,2
2016-04-20,22
2016-04-21,5
2016-04-22,4
2016-04-25,4
2016-04-26,10
2016-04-27,9
2016-04-28,7
2016-04-29,5
2016-05-02,0
2016-05-03,16
2016-05-04,6
2016-05-05,8
2016-05-06,7
2016-05-09,6
2016-05-10,4
2016-05-11,9
2016-05-12,19
2016-05-13,3
2016-05-16,26
2016-05-17,2
2016-05-18,7
2016-05-19,27
2016-05-20,12
2016-05-23,2
2016-05-24,2
2016-05-25,8
2016-05-26,5
2016-05-27,2
2016-05-31,26
2016-06-01,0
2016-06-02,35
2016-06-03,17
2016-06-06,2
2016-06-07,4
2016-06-08,14
2016-06-09,24
2016-06-10,19
2016-06-13,10
2016-06-14,1
2016-06-15,11
2016-06-16,18
2016-06-17,4
2016-06-20,5
2016-06-21,10
2016-06-22,7
2016-06-23,4
2016-06-24,11
2016-06-27,4
2016-06-28,6
2016-06-29,5
2016-06-30,5
2016-07-01,0
2016-07-05,22
2016-07-06,21
2016-07-07,2
2016-07-08,2
2016-07-11,9
2016-07-12,3
2016-07-13,17
2016-07-14,3
2016-07-15,6
2016-07-18,25
2016-07-19,7
2016-07-20,4
2016-07-21,12
2016-07-22,10
2016-07-25,6
2016-07-26,8
2016-07-27,3
2016-07-28,12
2016-07-29,16
2016-08-01,0
2016-08-02,11
2016-08-03,4
2016-08-04,10
2016-08-05,13
2016-08-08,7
2016-08-09,2
2016-08-10,4
2016-08-11,18
2016-08-12,17
2016-08-15,4
2016-08-16,3
2016-08-17,7
2016-08-18,8
2016-08-19,9
2016-08-22,18
2016-08-23,18
2016-08-24,4
2016-08-25,16
2016-08-26,16
2016-08-29,20
2016-08-30,4
2016-08-31,0
2016-09-01,0
2016-09-02,11
2016-09-06,1
2016-09-07,26
2016-09-08,24
2016-09-09,10
2016-09-12,6
2016-09-13,4
2016-09-14,7
2016-09-15,25
2016-09-16,4
2016-09-19,18
2016-09-20,3
2016-09-21,18
2016-09-22,12
2016-09-23,13
2016-09-26,6
2016-09-27,10
2016-09-28,2
2016-09-29,5
2016-09-30,17
2016-10-03,0
2016-10-04,9
2016-10-05,0
2016-10-06,4
2016-10-07,9
2016-10-11,14
2016-10-12,2
2016-10-13,8
2016-10-14,15
2016-10-17,9
2016-10-18,5
2016-10-19,4
2016-10-20,14
2016-10-21,24
2016-10-24,9
2016-10-25,12
2016-10-26,3
2016-10-27,10
2016-10-28,9
2016-10-31,10
2016-11-01,0
2016-11-02,22
2016-11-03,11
2016-11-04,4
2016-11-07,9
2016-11-08,1
2016-11-09,3
2016-11-10,8
2016-11-14,14
2016-11-15,2
2016-11-16,5
2016-11-17,5
2016-11-18,3
2016-11-21,1
2016-11-22,1
2016-11-23,11
2016-11-25,20
2016-11-28,6
2016-11-29,2
2016-11-30,26
2016-12-01,0
2016-12-02,15
2016-12-05,4
2016-12-06,4
2016-12-07,2
2016-12-08,38
2016-12-09,16
2016-12-12,7
2016-12-13,1
2016-12-14,6
2016-12-15,15
2016-12-16,10
2016-12-19,1
2016-12-20,30
2016-12-21,13
2016-12-22,10
2016-12-23,2
2016-12-27,5
2016-12-28,6
2016-12-29,21
2016-12-30,8
2017-01-03,0
2017-01-04,8
2017-01-05,2
2017-01-06,3
2017-01-09,2
2017-01-10,0
2017-01-11,8
2017-01-12,1
2017-01-13,37
2017-01-17,25
2017-01-18,8
2017-01-19,7
2017-01-20,14
2017-01-23,20
2017-01-24,6
2017-01-25,3
2017-01-26,6
2017-01-27,9
2017-01-30,10
2017-01-31,5
2017-02-01,0
2017-02-02,7
2017-02-03,6
2017-02-06,10
2017-02-07,14
2017-02-08,4
2017-02-09,6
2017-02-10,7
2017-02-13,23
2017-02-14,16
2017-02-15,3
2017-02-16,4
2017-02-17,4
2017-02-21,19
2017-02-22,1
2017-02-23,7
2017-02-24,5
2017-02-27,11
2017-02-28,5
2017-03-01,0
2017-03-02,16
2017-03-03,7
2017-03-06,9
2017-03-07,6
2017-03-08,3
2017-03-09,4
2017-03-10,11
2017-03-13,4
2017-03-14,15
2017-03-15,3
2017-03-16,19
2017-03-17,4
2017-03-20,11
2017-03-21,9
2017-03-22,1
2017-03-23,5
2017-03-24,6
2017-03-27,26
2017-03-28,13
2017-03-29,1
2017-03-30,37
2017-03-31,5
2017-04-03,0
2017-04-04,27
2017-04-05,5
2017-04-06,7
2017-04-07,8
2017-04-10,4
2017-04-11,15
2017-04-12,4
2017-04-13,16
2017-04-14,6
2017-04-17,3
2017-04-18,2
2017-04-19,10
2017-04-20,5
2017-04-21,8
2017-04-24,3
2017-04-25,18
2017-04-26,1
2017-04-27,16
2017-04-28,11
2017-05-01,0
2017-05-02,15
2017-05-03,5
2017-05-04,7
2017-05-05,8
2017-05-08,8
2017-05-09,3
2017-05-10,19
2017-05-11,25
2017-05-12,9
2017-05-15,10
2017-05-16,2
2017-05-17,7
2017-05-18,2
2017-05-19,4
2017-05-22,3
2017-05-23,16
2017-05-24,56
2017-05-25,14
2017-05-26,4
2017-05-30,21
2017-05-31,1
2017-06-01,0
2017-06-02,15
2017-06-05,13
2017-06-06,3
2017-06-07,2
2017-06-08,2
2017-06-09,6
2017-06-12,10
2017-06-13,15
2017-06-14,1
2017-06-15,10
2017-06-16,8
2017-06-19,5
2017-06-20,12
2017-06-21,3
2017-06-22,23
2017-06-23,3
2017-06-26,8
2017-06-27,6
2017-06-28,1
2017-06-29,6
2017-06-30,36
2017-07-03,0
2017-07-05,18
2017-07-06,2
2017-07-07,1
2017-07-10,1
2017-07-11,1
2017-07-12,2
2017-07-13,46
2017-07-14,17
2017-07-17,8
2017-07-18,7
2017-07-19,3
2017-07-20,21
2017-07-21,5
2017-07-24,7
2017-07-25,24
2017-07-26,1
2017-07-27,2
2017-07-28,5
2017-07-31,6
2017-08-01,0
2017-08-02,20
2017-08-03,18
2017-08-04,7
2017-08-07,8
2017-08-08,4
2017-08-09,4
2017-08-10,15
2017-08-11,13
2017-08-14,5
2017-08-15,5
2017-08-16,3
2017-08-17,6
2017-08-18,4
2017-08-21,10
2017-08-22,5
2017-08-23,4
2017-08-24,39
2017-08-25,4
2017-08-28,7
2017-08-29,8
2017-08-30,4
2017-08-31,8
2017-09-01,0
2017-09-05,43
2017-09-06,2
2017-09-07,4
2017-09-08,11
2017-09-11,5
2017-09-12,21
2017-09-13,3
2017-09-14,14
2017-09-15,11
2017-09-18,5
2017-09-19,3
2017-09-20,30
2017-09-21,11
2017-09-22,6
2017-09-25,4
2017-09-26,21
2017-09-27,5
2017-09-28,14
2017-09-29,12
2017-10-02,0
2017-10-03,0
2017-10-04,5
2017-10-05,33
2017-10-06,5
2017-10-10,6
2017-10-11,2
2017-10-12,7
2017-10-13,12
2017-10-16,25
2017-10-17,6
2017-10-18,2
2017-10-19,4
2017-10-20,8
2017-10-23,2
2017-10-24,17
2017-10-25,9
2017-10-26,15
2017-10-27,9
2017-10-30,14
2017-10-31,14
2017-11-01,0
2017-11-02,15
2017-11-03,4
2017-11-06,3
2017-11-07,4
2017-11-08,4
2017-11-09,13
2017-11-10,0
2017-11-13,14
2017-11-14,4
2017-11-15,2
2017-11-16,18
2017-11-17,14
2017-11-20,6
2017-11-21,11
2017-11-22,2
2017-11-24,16
2017-11-27,6
2017-11-28,17
2017-11-29,4
2017-11-30,8
2017-12-01,0
2017-12-04,37
2017-12-05,5
2017-12-06,2
2017-12-07,13
2017-12-08,3
2017-12-11,6
2017-12-12,20
2017-12-13,5
2017-12-14,5
2017-12-15,6
2017-12-18,2
2017-12-19,12
2017-12-20,1
2017-12-21,6
2017-12-22,32
2017-12-26,11
2017-12-27,21
2017-12-28,4
2017-12-29,15
2018-01-02,0
2018-01-03,14
2018-01-04,2
2018-01-05,0
2018-01-08,0
2018-01-09,1
2018-01-10,2
2018-01-11,9
2018-01-12,17
2018-01-16,31
2018-01-17,6
2018-01-18,2
2018-01-19,13
2018-01-22,8
2018-01-23,0
2018-01-24,16
2018-01-25,25
2018-01-26,3
2018-01-29,28
2018-01-30,11
2018-01-31,5
2018-02-01,0
2018-02-02,19
2018-02-05,7
2018-02-06,3
2018-02-07,4
2018-02-08,16
2018-02-09,4
2018-02-12,5
2018-02-13,10
2018-02-14,1
2018-02-15,20
2018-02-16,2
2018-02-20,35
2018-02-21,3
2018-02-22,2
2018-02-23,2
2018-02-26,31
2018-02-27,5
2018-02-28,2
2018-03-01,0
2018-03-02,22
2018-03-05,20
2018-03-06,24
2018-03-07,2
2018-03-08,3
2018-03-09,4
2018-03-12,8
2018-03-13,12
2018-03-14,3
2018-03-15,11
2018-03-16,9
2018-03-19,31
2018-03-20,9
2018-03-21,5
2018-03-22,7
2018-03-23,5
2018-03-26,5
2018-03-27,12
2018-03-28,3
2018-03-29,20
2018-03-30,5
2018-04-02,0
2018-04-03,11
2018-04-04,3
2018-04-05,1
2018-04-06,3
2018-04-09,7
2018-04-10,1
2018-04-11,12
2018-04-12,6
2018-04-13,6
2018-04-16,40
2018-04-17,4
2018-04-18,3
2018-04-19,5
2018-04-20,11
2018-04-23,16
2018-04-24,12
2018-04-25,3
2018-04-26,6
2018-04-27,16
2018-04-30,8
2018-05-01,0
2018-05-02,8
2018-05-03,10
2018-05-04,9
2018-05-07,7
2018-05-08,2
2018-05-09,5
2018-05-10,2
2018-05-11,25
2018-05-14,6
2018-05-15,7
2018-05-16,3
2018-05-17,16
2018-05-18,21
2018-05-21,6
2018-05-22,10
2018-05-23,1
2018-05-24,20
2018-05-25,9
2018-05-29,15
2018-05-30,2
2018-05-31,12
2018-06-01,0
2018-06-04,11
2018-06-05,8
2018-06-06,6
2018-06-07,1
2018-06-08,2
2018-06-11,24
2018-06-12,5
2018-06-13,9
2018-06-14,16
2018-06-15,12
2018-06-18,10
2018-06-19,11
2018-06-20,2
2018-06-21,23
2018-06-22,3
2018-06-25,3
2018-06-26,4
2018-06-27,3
2018-06-28,11
2018-06-29,26
2018-07-02,0
2018-07-03,28
2018-07-05,12
2018-07-06,8
2018-07-09,2
2018-07-10,15
2018-07-11,7
2018-07-12,19
2018-07-13,7
2018-07-16,2
2018-07-17,21
2018-07-18,2
2018-07-19,10
2018-07-20,7
2018-07-23,9
2018-07-24,23
2018-07-25,6
2018-07-26,6
2018-07-27,20
2018-07-30,4
2018-07-31,9
2018-08-01,0
2018-08-02,14
2018-08-03,7
2018-08-06,11
2018-08-07,3
2018-08-08,9
2018-08-09,15
2018-08-10,4
2018-08-13,16
2018-08-14,2
2018-08-15,10
2018-08-16,16
2018-08-17,6
2018-08-20,7
2018-08-21,38
2018-08-22,9
2018-08-23,10
2018-08-24,14
2018-08-27,6
2018-08-28,11
2018-08-29,5
2018-08-30,2
2018-08-31,12
2018-09-04,1
2018-09-05,24
2018-09-06,5
2018-09-07,17
2018-09-10,4
2018-09-11,7
2018-09-12,6
2018-09-13,3
2018-09-14,12
2018-09-17,0
2018-09-18,15
2018-09-19,25
2018-09-20,22
2018-09-21,9
2018-09-24,14
2018-09-25,11
2018-09-26,8
2018-09-27,13
2018-09-28,6
2018-10-01,0
2018-10-02,0
2018-10-03,33
2018-10-04,14
2018-10-05,10
2018-10-09,5
2018-10-10,1
2018-10-11,9
2018-10-12,17
2018-10-15,15
2018-10-16,11
2018-10-17,9
2018-10-18,8
2018-10-19,8
2018-10-22,3
2018-10-23,13
2018-10-24,28
2018-10-25,6
2018-10-26,4
2018-10-29,13
2018-10-30,5
2018-10-31,18
2018-11-01,0
2018-11-02,9
2018-11-05,17
2018-11-06,31
2018-11-07,2
2018-11-08,8
2018-11-09,7
2018-11-13,6
2018-11-14,22
2018-11-15,11
2018-11-16,15
2018-11-19,11
2018-11-20,16
2018-11-21,2
2018-11-23,5
2018-11-26,0
2018-11-27,16
2018-11-28,9
2018-11-29,10
2018-11-30,9
2018-12-03,0
2018-12-04,6
2018-12-05,0
2018-12-06,18
2018-12-07,11
2018-12-10,4
2018-12-11,7
2018-12-12,12
2018-12-13,10
2018-12-14,7
2018-12-17,4
2018-12-18,19
2018-12-19,1
2018-12-20,23
2018-12-21,10
2018-12-24,0
2018-12-26,25
2018-12-27,0
2018-12-28,0
2018-12-31,0
2019-01-02,0
2019-01-03,0
2019-01-04,0
2019-01-07,0
2019-01-08,0
2019-01-09,0
2019-01-10,0
2019-01-11,0
2019-01-14,0
2019-01-15,0
2019-01-16,0
2019-01-17,0
2019-01-18,0
2019-01-22,0
2019-01-23,0
2019-01-24,0
2019-01-25,0
2019-01-28,0
2019-01-29,21
2019-01-30,13
2019-01-31,81
2019-02-01,0
2019-02-04,82
2019-02-05,19
2019-02-06,19
2019-02-07,11
2019-02-08,13
2019-02-11,8
2019-02-12,24
2019-02-13,10
2019-02-14,20
2019-02-15,9
2019-02-19,14
2019-02-20,2
2019-02-21,5
2019-02-22,15
2019-02-25,7
2019-02-26,5
2019-02-27,0
2019-02-28,2
2019-03-01,0
2019-03-04,11
2019-03-05,4
2019-03-06,36
2019-03-07,7
2019-03-08,14
2019-03-11,7
2019-03-12,8
2019-03-13,3
2019-03-14,6
2019-03-15,2
2019-03-18,23
2019-03-19,5
2019-03-20,7
2019-03-21,31
2019-03-22,12
2019-03-25,4
2019-03-26,5
2019-03-27,2
2019-03-28,29
2019-03-29,6
2019-04-01,0
2019-04-02,11
2019-04-03,2
2019-04-04,13
2019-04-05,3
2019-04-08,5
2019-04-09,4
2019-04-10,6
2019-04-11,18
2019-04-12,4
2019-04-15,3
2019-04-16,16
2019-04-17,3
2019-04-18,4
2019-04-19,10
2019-04-22,7
2019-04-23,10
2019-04-24,1
2019-04-25,15
2019-04-26,12
2019-04-29,23
2019-04-30,5
2019-05-01,0
2019-05-02,12
2019-05-03,11
2019-05-06,17
2019-05-07,1
2019-05-08,14
2019-05-09,26
2019-05-10,5
2019-05-13,16
2019-05-14,8
2019-05-15,1
2019-05-16,27
2019-05-17,5
2019-05-20,6
2019-05-21,30
2019-05-22,1
2019-05-23,2
2019-05-24,6
2019-05-28,17
2019-05-29,8
2019-05-30,2
2019-05-31,7
2019-06-03,0
2019-06-04,26
2019-06-05,4
2019-06-06,1
2019-06-07,12
2019-06-10,4
2019-06-11,24
2019-06-12,2
2019-06-13,9
2019-06-14,14
2019-06-17,9
2019-06-18,4
2019-06-19,6
2019-06-20,10
2019-06-21,13
2019-06-24,3
2019-06-25,10
2019-06-26,2
2019-06-27,34
2019-06-28,8
2019-07-01,0
2019-07-02,13
2019-07-03,4
2019-07-05,3
2019-07-08,1
2019-07-09,2
2019-07-10,10
2019-07-11,14
2019-07-12,4
2019-07-15,14
2019-07-16,5
2019-07-17,6
2019-07-18,5
2019-07-19,45
2019-07-22,9
2019-07-23,3
2019-07-24,10
2019-07-25,14
2019-07-26,7
2019-07-29,2
2019-07-30,2
2019-07-31,3
2019-08-01,0
2019-08-02,22
2019-08-05,5
2019-08-06,4
2019-08-07,23
2019-08-08,7
2019-08-09,6
2019-08-12,6
2019-08-13,4
2019-08-14,22
2019-08-15,2
2019-08-16,6
2019-08-19,28
2019-08-20,3
2019-08-21,1
2019-08-22,1
2019-08-23,1
2019-08-26,13
2019-08-27,7
2019-08-28,42
2019-08-29,7
2019-08-30,20
2019-09-03,1
2019-09-04,21
2019-09-05,19
2019-09-06,10
2019-09-09,0
2019-09-10,6
2019-09-11,5
