record_date,transaction_today_amt
2020-11-16,124
2020-11-17,98
2020-11-18,255
2020-11-19,81
2020-11-20,123
2020-11-23,93
2020-11-24,155
2020-11-25,156
2020-11-27,19
2020-11-30,134
2020-12-01,66
2020-12-02,83
2020-12-03,51
2020-12-04,85
2020-12-07,187
2020-12-08,49
2020-12-09,101
2020-12-10,79
2020-12-11,128
2020-12-14,116
2020-12-15,109
2020-12-16,158
2020-12-17,90
2020-12-18,192
2020-12-21,141
2020-12-22,98
2020-12-23,171
2020-12-24,44
2020-12-28,90
2020-12-29,36
2020-12-30,41
2020-12-31,62
2021-01-04,102
2021-01-05,30
2021-01-06,33
2021-01-07,101
2021-01-08,82
2021-01-11,150
2021-01-12,41
2021-01-13,142
2021-01-14,95
2021-01-15,306
2021-01-19,40
2021-01-20,137
2021-01-21,99
2021-01-22,112
2021-01-25,76
2021-01-26,139
2021-01-27,59
2021-01-28,188
2021-01-29,66
2021-02-01,130
2021-02-02,16
2021-02-03,89
2021-02-04,37
2021-02-05,75
2021-02-08,109
2021-02-09,42
2021-02-10,201
2021-02-11,65
2021-02-12,193
2021-02-16,93
2021-02-17,80
2021-02-18,93
2021-02-19,87
2021-02-22,101
2021-02-23,91
2021-02-24,119
2021-02-25,122
2021-02-26,153
2021-03-01,178
2021-03-02,23
2021-03-03,165
2021-03-04,169
2021-03-05,90
2021-03-08,62
2021-03-09,63
2021-03-10,171
2021-03-11,63
2021-03-12,87
2021-03-15,231
2021-03-16,77
2021-03-17,214
2021-03-18,53
2021-03-19,134
2021-03-22,151
2021-03-23,56
2021-03-24,105
2021-03-25,54
2021-03-26,142
2021-03-29,70
2021-03-30,49
2021-03-31,101
2021-04-01,13
2021-04-02,50
2021-04-05,117
2021-04-06,29
2021-04-07,161
2021-04-08,43
2021-04-09,93
2021-04-12,153
2021-04-13,24
2021-04-14,148
2021-04-15,151
2021-04-16,143
2021-04-19,82
2021-04-20,76
2021-04-21,194
2021-04-22,172
2021-04-23,228
2021-04-26,108
2021-04-27,84
2021-04-28,148
2021-04-29,43
2021-04-30,113
2021-05-03,198
2021-05-04,27
2021-05-05,89
2021-05-06,88
2021-05-07,180
2021-05-10,195
2021-05-11,77
2021-05-12,243
2021-05-13,78
2021-05-14,205
2021-05-17,144
2021-05-18,49
2021-05-19,212
2021-05-20,70
2021-05-21,94
2021-05-24,123
2021-05-25,130
2021-05-26,354
2021-05-27,42
2021-05-28,186
2021-06-01,68
2021-06-02,120
2021-06-03,58
2021-06-04,83
2021-06-07,156
2021-06-08,36
2021-06-09,158
2021-06-10,112
2021-06-11,120
2021-06-14,127
2021-06-15,83
2021-06-16,153
2021-06-17,107
2021-06-18,137
2021-06-21,304
2021-06-22,48
2021-06-23,274
2021-06-24,188
2021-06-25,208
2021-06-28,68
2021-06-29,64
2021-06-30,133
2021-07-01,11
2021-07-02,146
2021-07-06,19
2021-07-07,50
2021-07-08,117
2021-07-09,157
2021-07-12,51
2021-07-13,161
2021-07-14,59
2021-07-15,76
2021-07-16,88
2021-07-19,176
2021-07-20,55
2021-07-21,65
2021-07-22,58
2021-07-23,90
2021-07-26,79
2021-07-27,64
2021-07-28,92
2021-07-29,19
2021-07-30,56
2021-08-02,229
2021-08-03,9
2021-08-04,53
2021-08-05,29
2021-08-06,123
2021-08-09,79
2021-08-10,15
2021-08-11,86
2021-08-12,207
2021-08-13,88
2021-08-16,78
2021-08-17,53
2021-08-18,41
2021-08-19,70
2021-08-20,94
2021-08-23,85
2021-08-24,35
2021-08-25,81
2021-08-26,16
2021-08-27,65
2021-08-30,54
2021-08-31,57
2021-09-01,33
2021-09-02,42
2021-09-03,97
2021-09-07,29
2021-09-08,51
2021-09-09,95
2021-09-10,114
2021-09-13,48
2021-09-14,63
2021-09-15,158
2021-09-16,55
2021-09-17,74
2021-09-20,64
2021-09-21,40
2021-09-22,150
2021-09-23,53
2021-09-24,50
2021-09-27,116
2021-09-28,113
2021-09-29,95
2021-09-30,113
2021-10-01,58
2021-10-04,112
2021-10-05,92
2021-10-06,91
2021-10-07,128
2021-10-08,135
2021-10-12,121
2021-10-13,156
2021-10-14,48
2021-10-15,337
2021-10-18,69
2021-10-19,135
2021-10-20,264
2021-10-21,121
2021-10-22,205
2021-10-25,127
2021-10-26,181
2021-10-27,355
2021-10-28,39
2021-10-29,99
2021-11-01,284
2021-11-02,80
2021-11-03,125
2021-11-04,131
2021-11-05,95
2021-11-08,363
2021-11-09,98
2021-11-10,127
2021-11-12,155
2021-11-15,185
2021-11-16,192
2021-11-17,289
2021-11-18,217
2021-11-19,188
2021-11-22,208
2021-11-23,170
2021-11-24,176
2021-11-26,32
2021-11-29,69
2021-11-30,277
2021-12-01,256
2021-12-02,107
2021-12-03,115
2021-12-06,309
2021-12-07,85
2021-12-08,261
2021-12-09,69
2021-12-10,201
2021-12-13,312
2021-12-14,110
2021-12-15,241
2021-12-16,187
2021-12-17,174
2021-12-20,528
2021-12-21,104
2021-12-22,265
2021-12-23,111
2021-12-24,32
2021-12-27,149
2021-12-28,87
2021-12-29,234
2021-12-30,146
2021-12-31,78
2022-01-03,97
2022-01-04,20
2022-01-05,104
2022-01-06,48
2022-01-07,122
2022-01-10,135
2022-01-11,64
2022-01-12,191
2022-01-13,124
2022-01-14,149
2022-01-18,196
2022-01-19,181
2022-01-20,142
2022-01-21,126
2022-01-24,170
2022-01-25,102
2022-01-26,94
2022-01-27,93
2022-01-28,237
2022-01-31,171
2022-02-01,30
2022-02-02,117
2022-02-03,31
2022-02-04,41
2022-02-07,153
2022-02-08,24
2022-02-09,165
2022-02-10,349
2022-02-11,208
2022-02-14,222
2022-02-15,52
2022-02-16,284
2022-02-17,210
2022-02-18,289
2022-02-22,98
2022-02-23,188
2022-02-24,219
2022-02-25,116
2022-02-28,206
2022-03-01,77
2022-03-02,182
2022-03-03,34
2022-03-04,69
2022-03-07,144
2022-03-08,158
2022-03-09,188
2022-03-10,117
2022-03-11,161
2022-03-14,170
2022-03-15,53
2022-03-16,224
2022-03-17,170
