record_date,transaction_today_amt
2020-11-16,56
2020-11-17,21
2020-11-18,39
2020-11-19,137
2020-11-20,78
2020-11-23,29
2020-11-24,28
2020-11-25,61
2020-11-27,33
2020-11-30,24
2020-12-01,12
2020-12-02,38
2020-12-03,51
2020-12-04,41
2020-12-07,27
2020-12-08,30
2020-12-09,27
2020-12-10,78
2020-12-11,27
2020-12-14,56
2020-12-15,60
2020-12-16,43
2020-12-17,87
2020-12-18,61
2020-12-21,42
2020-12-22,55
2020-12-23,63
2020-12-24,46
2020-12-28,0
2020-12-29,44
2020-12-30,32
2020-12-31,28
2021-01-04,20
2021-01-05,7
2021-01-06,41
2021-01-07,24
2021-01-08,19
2021-01-11,34
2021-01-12,47
2021-01-13,40
2021-01-14,21
2021-01-15,35
2021-01-19,34
2021-01-20,16
2021-01-21,32
2021-01-22,50
2021-01-25,62
2021-01-26,49
2021-01-27,29
2021-01-28,33
2021-01-29,25
2021-02-01,51
2021-02-02,57
2021-02-03,47
2021-02-04,33
2021-02-05,36
2021-02-08,55
2021-02-09,19
2021-02-10,25
2021-02-11,26
2021-02-12,21
2021-02-16,17
2021-02-17,18
2021-02-18,40
2021-02-19,25
2021-02-22,25
2021-02-23,19
2021-02-24,58
2021-02-25,41
2021-02-26,32
2021-03-01,24
2021-03-02,14
2021-03-03,49
2021-03-04,37
2021-03-05,22
2021-03-08,22
2021-03-09,50
2021-03-10,39
2021-03-11,24
2021-03-12,26
2021-03-15,34
2021-03-16,16
2021-03-17,28
2021-03-18,29
2021-03-19,34
2021-03-22,27
2021-03-23,22
2021-03-24,43
2021-03-25,145
2021-03-26,106
2021-03-29,37
2021-03-30,73
2021-03-31,26
2021-04-01,30
2021-04-02,23
2021-04-05,45
2021-04-06,56
2021-04-07,24
2021-04-08,24
2021-04-09,30
2021-04-12,22
2021-04-13,23
2021-04-14,26
2021-04-15,35
2021-04-16,23
2021-04-19,19
2021-04-20,17
2021-04-21,31
2021-04-22,77
2021-04-23,36
2021-04-26,4
2021-04-27,51
2021-04-28,28
2021-04-29,27
2021-04-30,28
2021-05-03,22
2021-05-04,22
2021-05-05,48
2021-05-06,50
2021-05-07,31
2021-05-10,56
2021-05-11,23
2021-05-12,25
2021-05-13,30
2021-05-14,24
2021-05-17,23
2021-05-18,19
2021-05-19,23
2021-05-20,45
2021-05-21,24
2021-05-24,54
2021-05-25,30
2021-05-26,37
2021-05-27,44
2021-05-28,25
2021-06-01,30
2021-06-02,56
2021-06-03,32
2021-06-04,46
2021-06-07,25
2021-06-08,15
2021-06-09,31
2021-06-10,68
2021-06-11,29
2021-06-14,22
2021-06-15,15
2021-06-16,22
2021-06-17,41
2021-06-18,24
2021-06-21,21
2021-06-22,43
2021-06-23,64
2021-06-24,50
2021-06-25,69
2021-06-28,48
2021-06-29,26
2021-06-30,38
2021-07-01,30
2021-07-02,47
2021-07-06,49
2021-07-07,18
2021-07-08,24
2021-07-09,19
2021-07-12,20
2021-07-13,16
2021-07-14,61
2021-07-15,43
2021-07-16,25
2021-07-19,22
2021-07-20,21
2021-07-21,20
2021-07-22,59
2021-07-23,34
2021-07-26,30
2021-07-27,23
2021-07-28,37
2021-07-29,29
2021-07-30,19
2021-08-02,19
2021-08-03,14
2021-08-04,48
2021-08-05,26
2021-08-06,24
2021-08-09,22
2021-08-10,16
2021-08-11,32
2021-08-12,22
2021-08-13,48
2021-08-16,31
2021-08-17,19
2021-08-18,24
2021-08-19,26
2021-08-20,22
2021-08-23,28
2021-08-24,32
2021-08-25,58
2021-08-26,33
2021-08-27,35
2021-08-30,24
2021-08-31,15
2021-09-01,27
2021-09-02,29
2021-09-03,29
2021-09-07,50
2021-09-08,22
2021-09-09,35
2021-09-10,56
2021-09-13,24
2021-09-14,16
2021-09-15,19
2021-09-16,26
2021-09-17,26
2021-09-20,34
2021-09-21,44
2021-09-22,52
2021-09-23,79
2021-09-24,37
2021-09-27,38
2021-09-28,28
2021-09-29,23
2021-09-30,2
2021-10-01,46
2021-10-04,46
2021-10-05,19
2021-10-06,41
2021-10-07,22
2021-10-08,22
2021-10-12,35
2021-10-13,13
2021-10-14,55
2021-10-15,24
2021-10-18,50
2021-10-19,14
2021-10-20,51
2021-10-21,29
2021-10-22,54
2021-10-25,41
2021-10-26,32
2021-10-27,59
2021-10-28,28
2021-10-29,44
2021-11-01,28
2021-11-02,24
2021-11-03,40
2021-11-04,36
2021-11-05,27
2021-11-08,22
2021-11-09,44
2021-11-10,38
2021-11-12,25
2021-11-15,24
2021-11-16,18
2021-11-17,35
2021-11-18,33
2021-11-19,28
2021-11-22,17
2021-11-23,30
2021-11-24,56
2021-11-26,30
2021-11-29,29
2021-11-30,13
2021-12-01,35
2021-12-02,30
2021-12-03,50
2021-12-06,49
2021-12-07,35
2021-12-08,20
2021-12-09,38
2021-12-10,24
2021-12-13,29
2021-12-14,36
2021-12-15,164
2021-12-16,66
2021-12-17,48
2021-12-20,92
2021-12-21,26
2021-12-22,70
2021-12-23,120
2021-12-24,35
2021-12-27,-1
2021-12-28,45
2021-12-29,55
2021-12-30,26
2021-12-31,13
2022-01-03,1
2022-01-04,13
2022-01-05,44
2022-01-06,43
2022-01-07,10
2022-01-10,27
2022-01-11,23
2022-01-12,17
2022-01-13,22
2022-01-14,16
2022-01-18,19
2022-01-19,18
2022-01-20,49
2022-01-21,31
2022-01-24,57
2022-01-25,24
2022-01-26,31
2022-01-27,32
2022-01-28,26
2022-01-31,25
2022-02-01,14
2022-02-02,29
2022-02-03,47
2022-02-04,26
2022-02-07,25
2022-02-08,50
2022-02-09,31
2022-02-10,25
2022-02-11,18
2022-02-14,27
2022-02-15,15
2022-02-16,21
2022-02-17,29
2022-02-18,21
2022-02-22,28
2022-02-23,27
2022-02-24,77
2022-02-25,51
2022-02-28,38
2022-03-01,58
2022-03-02,22
2022-03-03,48
2022-03-04,27
2022-03-07,29
2022-03-08,54
2022-03-09,25
2022-03-10,27
2022-03-11,26
2022-03-14,25
2022-03-15,34
2022-03-16,33
2022-03-17,38
2022-03-18,24
2022-03-21,32
2022-03-22,26
2022-03-23,68
2022-03-24,54
2022-03-25,53
2022-03-28,78
2022-03-29,25
2022-03-30,47
2022-03-31,24
2022-04-01,23
2022-04-04,42
2022-04-05,40
2022-04-06,64
2022-04-07,22
2022-04-08,27
2022-04-11,20
2022-04-12,15
2022-04-13,27
2022-04-14,20
2022-04-15,25
2022-04-18,17
2022-04-19,28
2022-04-20,22
2022-04-21,38
2022-04-22,58
2022-04-25,45
2022-04-26,25
2022-04-27,28
2022-04-28,22
2022-04-29,19
2022-05-02,35
2022-05-03,16
2022-05-04,49
2022-05-05,33
2022-05-06,26
2022-05-09,54
2022-05-10,23
2022-05-11,19
2022-05-12,28
2022-05-13,23
2022-05-16,27
2022-05-17,20
2022-05-18,26
2022-05-19,23
2022-05-20,34
2022-05-23,532
2022-05-24,201
2022-05-25,47
2022-05-26,33
2022-05-27,37
2022-05-31,34
2022-06-01,20
2022-06-02,29
2022-06-03,25
2022-06-06,21
2022-06-07,82
2022-06-08,30
2022-06-09,36
2022-06-10,23
2022-06-13,27
2022-06-14,20
2022-06-15,25
2022-06-16,29
2022-06-17,23
2022-06-21,29
2022-06-22,97
2022-06-23,88
2022-06-24,54
2022-06-27,45
2022-06-28,46
2022-06-29,54
2022-06-30,46
2022-07-01,29
2022-07-05,35
2022-07-06,39
2022-07-07,26
2022-07-08,23
2022-07-11,56
2022-07-12,13
2022-07-13,27
2022-07-14,26
2022-07-15,20
2022-07-18,21
2022-07-19,23
2022-07-20,21
2022-07-21,24
2022-07-22,53
2022-07-25,39
2022-07-26,35
2022-07-27,47
2022-07-28,44
2022-07-29,34
2022-08-01,18
2022-08-02,22
2022-08-03,42
2022-08-04,35
2022-08-05,23
2022-08-08,22
2022-08-09,46
2022-08-10,27
2022-08-11,31
2022-08-12,25
2022-08-15,14
2022-08-16,32
2022-08-17,18
2022-08-18,27
2022-08-19,25
2022-08-22,13
2022-08-23,29
2022-08-24,59
2022-08-25,50
2022-08-26,26
2022-08-29,26
2022-08-30,20
2022-08-31,29
2022-09-01,34
2022-09-02,16
2022-09-06,46
2022-09-07,15
2022-09-08,63
2022-09-09,29
2022-09-12,25
2022-09-13,19
2022-09-14,29
2022-09-15,37
2022-09-16,30
2022-09-19,30
2022-09-20,48
2022-09-21,19
2022-09-22,61
2022-09-23,54
2022-09-26,35
2022-09-27,33
2022-09-28,41
2022-09-29,31
2022-09-30,3
2022-10-03,37
2022-10-04,11
2022-10-05,16
2022-10-06,51
2022-10-07,61
2022-10-11,22
2022-10-12,17
2022-10-13,31
2022-10-14,86
2022-10-17,31
2022-10-18,20
2022-10-19,32
2022-10-20,59
2022-10-21,27
2022-10-24,61
2022-10-25,31
2022-10-26,32
2022-10-27,66
2022-10-28,26
2022-10-31,31
2022-11-01,19
2022-11-02,25
2022-11-03,50
2022-11-04,30
2022-11-07,27
2022-11-08,51
2022-11-09,26
2022-11-10,47
2022-11-14,32
2022-11-15,27
2022-11-16,34
2022-11-17,25
2022-11-18,28
2022-11-21,28
2022-11-22,30
2022-11-23,54
2022-11-25,42
2022-11-28,34
2022-11-29,14
2022-11-30,25
2022-12-01,33
2022-12-02,26
2022-12-05,90
2022-12-06,47
2022-12-07,29
2022-12-08,59
2022-12-09,29
2022-12-12,39
2022-12-13,24
2022-12-14,29
2022-12-15,85
2022-12-16,26
2022-12-19,12
2022-12-20,44
2022-12-21,75
2022-12-22,69
2022-12-23,31
2022-12-27,61
2022-12-28,6
2022-12-29,145
2022-12-30,47
2023-01-03,20
2023-01-04,17
2023-01-05,31
2023-01-06,61
2023-01-09,50
2023-01-10,22
2023-01-11,27
2023-01-12,50
2023-01-13,32
2023-01-17,29
2023-01-18,27
2023-01-19,33
2023-01-20,34
2023-01-23,32
2023-01-24,30
2023-01-25,65
2023-01-26,46
2023-01-27,39
2023-01-30,34
2023-01-31,27
2023-02-01,32
2023-02-02,26
2023-02-03,54
2023-02-06,82
