record_date,transaction_today_amt
2016-01-04,134
2016-01-05,318
2016-01-06,209
2016-01-07,97
2016-01-08,70
2016-01-11,148
2016-01-12,269
2016-01-13,181
2016-01-14,110
2016-01-15,78
2016-01-19,171
2016-01-20,318
2016-01-21,184
2016-01-22,76
2016-01-25,117
2016-01-26,299
2016-01-27,185
2016-01-28,110
2016-01-29,77
2016-02-01,141
2016-02-02,309
2016-02-03,204
2016-02-04,113
2016-02-05,55
2016-02-08,125
2016-02-09,306
2016-02-10,181
2016-02-11,132
2016-02-12,72
2016-02-16,165
2016-02-17,336
2016-02-18,165
2016-02-19,124
2016-02-22,219
2016-02-23,271
2016-02-24,177
2016-02-25,157
2016-02-26,-90
2016-02-29,108
2016-03-01,307
2016-03-02,217
2016-03-03,89
2016-03-04,56
2016-03-07,106
2016-03-08,294
2016-03-09,187
2016-03-10,101
2016-03-11,64
2016-03-14,104
2016-03-15,286
2016-03-16,192
2016-03-17,106
2016-03-18,56
2016-03-21,93
2016-03-22,302
2016-03-23,158
2016-03-24,125
2016-03-25,67
2016-03-28,90
2016-03-29,276
2016-03-30,175
2016-03-31,76
2016-04-01,67
2016-04-04,107
2016-04-05,278
2016-04-06,179
2016-04-07,91
2016-04-08,51
2016-04-11,98
2016-04-12,240
2016-04-13,153
2016-04-14,87
2016-04-15,70
2016-04-18,85
2016-04-19,246
2016-04-20,128
2016-04-21,84
2016-04-22,55
2016-04-25,108
2016-04-26,240
2016-04-27,134
2016-04-28,89
2016-04-29,51
2016-05-02,300
2016-05-03,232
2016-05-04,158
2016-05-05,93
2016-05-06,58
2016-05-09,112
2016-05-10,208
2016-05-11,134
2016-05-12,73
2016-05-13,172
2016-05-16,113
2016-05-17,268
2016-05-18,380
2016-05-19,77
2016-05-20,42
2016-05-23,115
2016-05-24,209
2016-05-25,119
2016-05-26,83
2016-05-27,45
2016-05-31,163
2016-06-01,245
2016-06-02,118
2016-06-03,52
2016-06-06,108
2016-06-07,211
2016-06-08,130
2016-06-09,69
2016-06-10,71
2016-06-13,102
2016-06-14,191
2016-06-15,124
2016-06-16,67
2016-06-17,50
2016-06-20,109
2016-06-21,204
2016-06-22,124
2016-06-23,84
2016-06-24,47
2016-06-27,110
2016-06-28,233
2016-06-29,135
