record_date,transaction_today_amt
2016-01-04,233
2016-01-05,142
2016-01-06,141
2016-01-07,212
2016-01-08,207
2016-01-11,173
2016-01-12,165
2016-01-13,175
2016-01-14,201
2016-01-15,173
2016-01-19,271
2016-01-20,205
2016-01-21,163
2016-01-22,289
2016-01-25,194
2016-01-26,182
2016-01-27,236
2016-01-28,222
2016-01-29,239
2016-02-01,474
2016-02-02,171
2016-02-03,162
2016-02-04,299
2016-02-05,186
2016-02-08,209
2016-02-09,179
2016-02-10,248
2016-02-11,213
2016-02-12,173
2016-02-16,274
2016-02-17,186
2016-02-18,198
2016-02-19,234
2016-02-22,209
2016-02-23,180
2016-02-24,166
2016-02-25,150
2016-02-26,251
2016-02-29,210
2016-03-01,750
2016-03-02,123
2016-03-03,171
2016-03-04,292
2016-03-07,210
2016-03-08,176
2016-03-09,205
2016-03-10,205
2016-03-11,179
2016-03-14,194
2016-03-15,172
2016-03-16,167
2016-03-17,210
2016-03-18,192
2016-03-21,183
2016-03-22,223
2016-03-23,160
2016-03-24,223
2016-03-25,173
2016-03-28,179
2016-03-29,193
2016-03-30,210
2016-03-31,178
2016-04-01,705
2016-04-04,153
2016-04-05,158
2016-04-06,216
2016-04-07,184
2016-04-08,175
2016-04-11,200
2016-04-12,179
2016-04-13,166
2016-04-14,168
2016-04-15,180
2016-04-18,213
2016-04-19,182
2016-04-20,184
2016-04-21,176
2016-04-22,183
2016-04-25,165
2016-04-26,188
2016-04-27,197
2016-04-28,178
2016-04-29,780
2016-05-02,218
2016-05-03,169
2016-05-04,172
2016-05-05,248
2016-05-06,178
2016-05-09,193
2016-05-10,171
2016-05-11,169
2016-05-12,177
2016-05-13,149
2016-05-16,276
2016-05-17,162
2016-05-18,163
2016-05-19,196
2016-05-20,205
2016-05-23,195
2016-05-24,178
2016-05-25,153
2016-05-26,154
2016-05-27,228
2016-05-31,241
2016-06-01,521
2016-06-02,164
2016-06-03,159
2016-06-06,279
2016-06-07,151
2016-06-08,169
2016-06-09,170
2016-06-10,174
2016-06-13,170
2016-06-14,175
2016-06-15,194
2016-06-16,206
2016-06-17,180
2016-06-20,200
2016-06-21,172
2016-06-22,199
2016-06-23,196
2016-06-24,172
2016-06-27,172
2016-06-28,182
2016-06-29,218
2016-06-30,300
2016-07-01,486
2016-07-05,275
2016-07-06,150
2016-07-07,211
2016-07-08,195
2016-07-11,194
2016-07-12,160
2016-07-13,189
2016-07-14,181
2016-07-15,181
2016-07-18,174
2016-07-19,182
