record_date,tax_deposit_type,tax_deposit_type_desc,tax_deposit_today_amt,tax_deposit_mtd_amt,tax_deposit_fytd_amt,table_nbr,table_nm,sub_table_name,src_line_nbr,record_fiscal_year,record_fiscal_quarter,record_calendar_year,record_calendar_quarter,record_calendar_month,record_calendar_day
2016-01-04,Withheld Income and Employment Taxes,null,40248,40246,602563,IV,Federal Tax Deposits,Classification,1,2016,2,2016,1,01,04
2016-01-04,Individual Income Taxes,null,768,768,9733,IV,Federal Tax Deposits,Classification,2,2016,2,2016,1,01,04
2016-01-04,Railroad Retirement Taxes,null,24,24,1383,IV,Federal Tax Deposits,Classification,3,2016,2,2016,1,01,04
2016-01-04,Excise Taxes,null,14,11,19196,IV,Federal Tax Deposits,Classification,4,2016,2,2016,1,01,04
2016-01-04,Corporation Income Taxes,null,110,109,94771,IV,Federal Tax Deposits,Classification,5,2016,2,2016,1,01,04
2016-01-04,Federal Unemployment Taxes,null,10,10,802,IV,Federal Tax Deposits,Classification,6,2016,2,2016,1,01,04
2016-01-04,Estate and Gift Taxes & Misc IRS Rcpts.,null,2,2,287,IV,Federal Tax Deposits,Classification,7,2016,2,2016,1,01,04
2016-01-04,Cash Federal Tax Deposits,Direct,31,25,8150,IV,Federal Tax Deposits,Classification,9,2016,2,2016,1,01,04
2016-01-04,Cash Federal Tax Deposits,Through Depositaries,39429,39429,695325,IV,Federal Tax Deposits,Classification,10,2016,2,2016,1,01,04
2016-01-04,Inter-agency Transfers,null,1716,1716,25260,IV,Federal Tax Deposits,Classification,12,2016,2,2016,1,01,04
2016-01-05,Withheld Income and Employment Taxes,null,4682,44928,607245,IV,Federal Tax Deposits,Classification,1,2016,2,2016,1,01,05
2016-01-05,Individual Income Taxes,null,164,933,9897,IV,Federal Tax Deposits,Classification,2,2016,2,2016,1,01,05
2016-01-05,Railroad Retirement Taxes,null,14,37,1396,IV,Federal Tax Deposits,Classification,3,2016,2,2016,1,01,05
2016-01-05,Excise Taxes,null,14,25,19209,IV,Federal Tax Deposits,Classification,4,2016,2,2016,1,01,05
2016-01-05,Corporation Income Taxes,null,47,156,94819,IV,Federal Tax Deposits,Classification,5,2016,2,2016,1,01,05
2016-01-05,Federal Unemployment Taxes,null,8,18,810,IV,Federal Tax Deposits,Classification,6,2016,2,2016,1,01,05
2016-01-05,Estate and Gift Taxes & Misc IRS Rcpts.,null,2,4,290,IV,Federal Tax Deposits,Classification,7,2016,2,2016,1,01,05
2016-01-05,Cash Federal Tax Deposits,Direct,46,72,8196,IV,Federal Tax Deposits,Classification,9,2016,2,2016,1,01,05
2016-01-05,Cash Federal Tax Deposits,Through Depositaries,4837,44266,700162,IV,Federal Tax Deposits,Classification,10,2016,2,2016,1,01,05
